Date,rate_AVY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.0001,-1.8027
2016-03,14.782,4.5695
2016-04,11.5855,3.6217
2016-05,14.3826,4.6859
2016-06,12.5933,4.2011
2016-07,15.8849,7.3141
2016-08,13.2083,6.5393
2016-09,14.6072,5.8417
2016-10,1.5438,3.4057
2016-11,4.7611,7.0013
2016-12,2.4053,8.6582
2017-01,6.2899,9.9058
2017-02,16.9018,13.4199
2017-03,15.5187,12.5861
2017-04,18.2513,12.9516
2017-05,18.6262,13.7442
2017-06,23.8339,14.6714
2017-07,28.8906,16.2352
2017-08,29.2399,15.7466
2017-09,35.7643,17.3266
2017-10,44.7785,19.2474
2017-11,53.4745,22.0133
2017-12,52.8682,22.6523
2018-01,60.9814,28.4864
2018-02,52.8617,22.6807
2018-03,36.3814,18.8927
2018-04,33.2556,18.6249
2018-05,32.3628,20.8091
2018-06,28.2403,20.9812
2018-07,42.9927,24.5763
2018-08,29.9582,27.7899
2018-09,33.5679,27.6747
2018-10,11.0358,18.1983
2018-11,17.5595,19.8597
2018-12,10.3744,8.8011
2019-01,27.9921,17.1215
2019-02,31.6198,20.4441
2019-03,37.3886,22.1999
2019-04,33.6025,26.5012
2019-05,24.9378,17.9266
2019-06,38.8967,25.7011
2019-07,36.9532,26.9004
2019-08,37.021,24.2426
2019-09,34.5291,26.142
2019-10,50.6338,28.3311
2019-11,52.462,32.3256
2019-12,52.5623,35.5485
2020-01,51.9747,34.7719
2020-02,31.7063,23.2511
2020-03,17.3211,7.5779
2020-04,26.9289,21.2186
2020-05,26.7803,26.5774
2020-06,30.8016,28.3766
2020-07,29.3873,35.3325
2020-08,31.1907,44.0777
2020-09,45.3782,37.914
2020-10,56.554,33.7633
2020-11,67.8817,47.7098
2020-12,73.8558,52.3667
2021-01,67.9324,49.9654
2021-02,93.7037,53.2453
2021-03,102.1134,60.4049
2021-04,133.7477,67.83
2021-05,138.559,67.8968
2021-06,126.1066,70.6358
2021-07,124.6929,73.7106
2021-08,139.1094,77.7187
2021-09,117.9827,68.3779
2021-10,127.2401,79.119
2021-11,113.065,76.6949
2021-12,123.3714,83.6042
2022-01,110.2871,72.9303
2022-02,79.1358,66.8181
2022-03,76.6214,72.1992
2022-04,82.2886,56.2223
2022-05,73.9109,55.8933
2022-06,62.253,42.4002
2022-07,89.9269,54.8512
2022-08,82.0314,47.8158
2022-09,61.1333,33.7039
2022-10,67.1286,44.0824
2022-11,89.6183,51.4429
2022-12,77.2757,42.1877
2023-01,84.5774,50.5828
2023-02,77.2927,46.2373
2023-03,73.2632,52.2586
2023-04,68.1475,54.0684
2023-05,54.5853,54.1996
2023-06,64.9485,63.548
2023-07,75.8938,68.1942
2023-08,79.2136,64.7317
2023-09,73.7209,56.2636
2023-10,64.8026,52.2886
2023-11,83.3688,65.5989
2023-12,90.4375,72.448
2024-01,86.9677,74.4576
2024-02,101.9925,82.7177
2024-03,107.9435,89.0282
2024-04,101.3325,80.6052
2024-05,109.8205,88.8335
2024-06,101.3553,96.0415
2024-07,98.7454,97.3583
2024-08,102.3852,101.128
2024-09,101.2197,105.7758
2024-10,87.8242,102.865
2024-11,86.0326,113.7798
2024-12,69.1234,107.7813
2025-01,67.2297,112.3595
2025-02,68.6263,108.6721
2025-03,59.8658,96.0839
2025-04,53.1852,93.6359
2025-05,58.6229,104.9003
2025-06,56.9357,114.5225
2025-07,49.5297,118.4064
2025-08,52.558,121.8959
2025-09,44.5468,128.6764
2025-10,55.4623,133.0211
2025-11,52.7664,132.409
2025-12,61.548,131.4906
2026-01,64.2485,133.7386
2026-02,73.2823,130.7823
2026-03,42.5855,117.6607
