Date,rate_NI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.0625,-0.6039
2016-03,10.2153,5.2168
2016-04,4.1011,3.9893
2016-05,8.1579,4.6886
2016-06,18.4765,4.1237
2016-07,12.6643,7.1795
2016-08,3.5242,6.3603
2016-09,3.8594,5.6281
2016-10,0.691,3.196
2016-11,-4.7431,6.7601
2016-12,-3.4296,8.3626
2017-01,-2.4272,10.2536
2017-02,5.3497,13.6522
2017-03,4.4053,12.7005
2017-04,6.8863,12.9818
2017-05,14.4526,13.693
2017-06,10.4445,13.5288
2017-07,13.6323,15.0481
2017-08,16.3487,14.5515
2017-09,10.0107,16.1037
2017-10,13.6089,17.9557
2017-11,17.8886,20.6805
2017-12,9.2117,21.3029
2018-01,5.0021,28.0338
2018-02,-0.905,22.1441
2018-03,2.4403,18.3021
2018-04,5.224,18.0902
2018-05,8.9001,20.2208
2018-06,12.8516,20.3415
2018-07,12.7668,23.8746
2018-08,16.1834,27.0072
2018-09,6.9599,27.7347
2018-10,9.4544,18.1437
2018-11,13.6989,19.7418
2018-12,8.6256,8.5778
2019-01,16.8953,17.1263
2019-02,16.0104,20.3748
2019-03,22.7347,22.0514
2019-04,19.2395,26.2651
2019-05,19.0495,17.5943
2019-06,22.5495,25.308
2019-07,26.5916,26.4355
2019-08,25.2785,23.7232
2019-09,26.8464,26.1617
2019-10,19.1104,28.2707
2019-11,11.9569,32.1761
2019-12,17.5582,35.3247
2020-01,23.763,35.2749
2020-02,14.4336,23.5454
2020-03,5.2915,7.7105
2020-04,6.8203,21.425
2020-05,1.2993,26.7132
2020-06,-3.4018,28.4357
2020-07,4.75,35.3124
2020-08,-5.1088,43.9511
2020-09,-5.6349,37.6938
2020-10,-0.4712,33.4637
2020-11,4.7929,47.2943
2020-12,-0.7748,51.8455
2021-01,-4.1908,50.305
2021-02,-5.5574,53.4604
2021-03,5.4557,59.4101
2021-04,14.659,66.6882
2021-05,12.1191,66.6274
2021-06,7.5217,69.2184
2021-07,9.5151,72.1455
2021-08,8.7804,75.992
2021-09,6.7445,66.6118
2021-10,9.529,77.1553
2021-11,8.6427,74.6519
2021-12,22.23,81.397
2022-01,28.82,70.7122
2022-02,28.3346,64.6001
2022-03,40.6167,69.8532
2022-04,29.2467,54.0273
2022-05,39.1586,53.6333
2022-06,29.9672,40.2902
2022-07,34.5469,52.5094
2022-08,30.1419,45.531
2022-09,10.7335,31.5965
2022-10,13.7662,41.7445
2022-11,23.5054,48.9584
2022-12,20.9098,39.838
2023-01,22.3648,48.5632
2023-02,21.7586,44.2258
2023-03,23.8707,48.9578
2023-04,26.8892,50.6836
2023-05,19.5618,50.7741
2023-06,21.368,59.884
2023-07,24.3778,64.3798
2023-08,19.2922,60.953
2023-09,9.8134,52.6248
2023-10,13.0129,48.7132
2023-11,14.9831,61.6976
2023-12,18.8563,68.3392
2024-01,16.2601,71.0275
2024-02,17.6419,79.0476
2024-03,24.6374,83.99
2024-04,26.4588,75.7344
2024-05,31.5732,83.6813
2024-06,30.1162,89.2836
2024-07,41.9786,90.5002
2024-08,49.6841,94.0822
2024-09,56.8826,98.2932
2024-10,59.7745,95.412
2024-11,72.4536,105.8418
2024-12,65.7337,99.9875
2025-01,68.1681,105.351
2025-02,84.5742,101.7087
2025-03,80.4727,89.4719
2025-04,76.5264,87.0451
2025-05,77.7061,97.8575
2025-06,80.5255,107.0685
2025-07,90.4024,110.7404
2025-08,88.7201,114.0337
2025-09,93.3178,121.6081
2025-10,88.3943,125.7153
2025-11,96.5287,125.0226
2025-12,85.1474,124.0393
2026-01,96.3637,127.2713
2026-02,63.8862,125.3185
