Date,rate_WEC_5D,rate_VOO_20D
2016-01,4.1902,1.4254
2016-02,2.5946,0.6142
2016-03,6.8432,6.1243
2016-04,1.8932,4.6014
2016-05,5.703,5.2878
2016-06,13.6336,4.687
2016-07,11.0592,7.7174
2016-08,2.5897,6.8637
2016-09,2.166,5.9421
2016-10,2.0339,3.4868
2016-11,-3.4523,6.843
2016-12,1.4859,8.2789
2017-01,1.9652,9.3935
2017-02,6.8747,12.821
2017-03,7.1561,12.0413
2017-04,6.5266,12.4367
2017-05,10.8304,13.2406
2017-06,7.7766,14.1802
2017-07,10.1564,15.6892
2017-08,14.4684,15.2834
2017-09,9.4523,16.8657
2017-10,16.9237,18.7799
2017-11,20.6484,21.509
2017-12,14.5295,22.1709
2018-01,10.2948,27.9258
2018-02,3.4353,22.2578
2018-03,8.0706,18.4465
2018-04,10.4987,18.162
2018-05,11.0626,20.337
2018-06,13.3652,20.5057
2018-07,15.9557,24.0401
2018-08,18.5698,27.2093
2018-09,16.5125,27.1082
2018-10,18.8372,17.9327
2018-11,26.2664,19.5577
2018-12,19.9562,8.5722
2019-01,25.9411,16.8959
2019-02,31.8779,20.2219
2019-03,35.8229,21.9603
2019-04,33.8565,26.2654
2019-05,37.5637,20.4953
2019-06,37.6557,25.3574
2019-07,38.1177,26.514
2019-08,54.7323,24.0717
2019-09,51.4583,25.9454
2019-10,49.233,27.4086
2019-11,40.1068,31.384
2019-12,44.8933,34.5804
2020-01,55.9253,33.8021
2020-02,53.7445,22.3336
2020-03,25.8777,15.1867
2020-04,33.3539,29.6272
2020-05,38.7117,28.2305
2020-06,34.9122,28.0341
2020-07,43.109,33.4885
2020-08,39.9155,42.106
2020-09,41.1858,38.2475
2020-10,45.3147,34.0563
2020-11,33.718,42.9575
2020-12,29.2016,47.5016
2021-01,24.3475,45.1166
2021-02,13.3844,43.0879
2021-03,31.2922,49.8512
2021-04,35.8074,56.911
2021-05,31.9731,54.6413
2021-06,25.4434,57.2758
2021-07,32.338,60.2291
2021-08,33.2295,64.0213
2021-09,23.9004,55.5224
2021-10,26.1433,65.5435
2021-11,22.2967,65.5034
2021-12,36.1379,68.4598
2022-01,32.6,58.7763
2022-02,28.6253,53.2596
2022-03,40.8524,58.2953
2022-04,43.6959,52.2757
2022-05,48.1656,51.0659
2022-06,41.422,38.0304
2022-07,45.3473,50.1558
2022-08,44.8457,43.3725
2022-09,25.0814,29.6913
2022-10,27.4966,39.7003
2022-11,39.1117,46.8631
2022-12,30.0289,40.5677
2023-01,25.3085,48.7988
2023-02,18.7492,45.5387
2023-03,26.7097,49.6635
2023-04,28.4619,48.4614
2023-05,25.2234,48.1923
2023-06,26.4153,57.2072
2023-07,28.4238,61.7125
2023-08,25.0672,59.5229
2023-09,19.4933,51.3631
2023-10,20.5095,47.5518
2023-11,24.7352,60.474
2023-12,25.2787,67.125
2024-01,19.9475,69.1001
2024-02,17.6129,77.1309
2024-03,22.8663,83.2841
2024-04,23.4196,75.177
2024-05,21.9723,83.1784
2024-06,17.8844,90.182
2024-07,29.1215,90.9416
2024-08,40.497,97.1965
2024-09,43.1943,98.31
2024-10,36.7613,95.5089
2024-11,43.26,105.9957
2024-12,32.959,100.2436
2025-01,40.0192,104.6582
2025-02,55.3782,101.1287
2025-03,50.5261,89.045
2025-04,47.8011,88.6819
2025-05,45.7835,99.6712
2025-06,40.9968,109.046
2025-07,47.2244,112.823
2025-08,44.5506,112.1707
2025-09,55.0781,118.6779
2025-10,50.7633,122.8639
2025-11,54.4088,122.3204
2025-12,44.8937,121.4705
2026-01,51.6608,123.6468
2026-02,65.1487,120.852
