Date,rate_MELI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.049,-3.7423
2016-03,0.6307,0.3764
2016-04,15.5193,5.1946
2016-05,15.5656,3.5695
2016-06,22.7404,4.8356
2016-07,22.0915,4.3651
2016-08,30.098,7.2005
2016-09,43.4444,6.5176
2016-10,47.7359,5.8316
2016-11,31.2205,2.6321
2016-12,14.3935,6.5262
2017-01,16.9186,8.6002
2017-02,39.6287,9.8701
2017-03,53.1771,14.9815
2017-04,49.9442,12.5254
2017-05,63.2149,13.1716
2017-06,90.2298,14.581
2017-07,65.8118,14.626
2017-08,86.9322,16.4591
2017-09,59.2145,15.9061
2017-10,60.8413,17.2911
2017-11,45.9165,19.4181
2017-12,64.3212,21.7575
2018-01,86.4532,22.6249
2018-02,120.2685,28.3844
2018-03,119.4079,21.0506
2018-04,98.8098,18.8566
2018-05,86.0008,18.843
2018-06,59.9547,22.0592
2018-07,59.1615,20.962
2018-08,82.0843,24.4135
2018-09,77.5816,27.7869
2018-10,70.1511,28.1445
2018-11,72.7155,19.3954
2018-12,75.7894,19.8359
2019-01,44.5083,8.7501
2019-02,78.442,17.203
2019-03,118.4448,21.2677
2019-04,147.1073,23.6016
2019-05,127.744,25.5902
2019-06,164.3813,17.8911
2019-07,182.7396,26.7327
2019-08,181.6982,25.8061
2019-09,163.4544,24.2046
2019-10,140.5191,24.595
2019-11,111.3919,29.5299
2019-12,147.6586,32.3145
2020-01,140.9405,35.5516
2020-02,175.9646,34.7733
2020-03,153.1422,23.2161
2020-04,81.6413,2.6957
2020-05,143.7421,17.923
2020-06,235.9872,27.1545
2020-07,283.8907,29.2791
2020-08,335.8887,35.3897
2020-09,362.2427,45.4969
2020-10,320.4784,38.8421
2020-11,351.6753,33.8054
2020-12,458.6455,49.4413
2021-01,506.6045,52.4925
2021-02,577.4307,52.5474
2021-03,503.4771,57.1165
2021-04,425.0036,62.2404
2021-05,439.1164,68.0147
2021-06,363.8701,67.9506
2021-07,417.3278,71.7835
2021-08,418.941,73.9065
2021-09,519.9336,78.108
2021-10,438.4802,70.559
2021-11,375.4252,79.7147
2021-12,248.4851,74.8714
2022-01,321.3384,83.8439
2022-02,251.9119,74.2485
2022-03,244.3449,64.4857
2022-04,271.299,72.8765
2022-05,192.4779,56.3809
2022-06,127.0185,54.7432
2022-07,95.1423,43.9638
2022-08,139.1979,54.5402
2022-09,150.5319,48.4061
2022-10,139.693,33.808
2022-11,164.3118,43.6413
2022-12,168.5144,51.6237
2023-01,139.6669,42.3283
2023-02,241.5444,52.4008
2023-03,237.1807,45.8599
2023-04,264.7078,52.4428
2023-05,254.4513,54.1535
2023-06,242.437,55.8684
2023-07,219.9142,63.7729
2023-08,224.4114,67.9151
2023-09,278.1617,65.3142
2023-10,234.5925,56.4671
2023-11,240.5116,54.158
2023-12,329.4924,66.8181
2024-01,305.3057,72.7134
2024-02,347.3849,77.0248
2024-03,309.4319,84.7703
2024-04,285.1933,89.0895
2024-05,264.2255,80.3005
2024-06,328.4106,89.1407
2024-07,293.6551,96.817
2024-08,292.8726,94.9948
2024-09,400.7047,101.4737
2024-10,397.9625,104.2286
2024-11,391.5234,104.0979
2024-12,371.3085,114.1559
2025-01,300.7636,108.1307
2025-02,349.906,112.719
2025-03,393.1306,109.0154
2025-04,341.856,97.097
2025-05,425.7659,95.2965
2025-06,483.1417,105.2137
2025-07,464.9252,114.7559
2025-08,432.7455,115.142
2025-09,450.6095,122.2543
2025-10,381.3121,129.8729
2025-11,411.0988,133.4127
2025-12,350.3386,131.7276
2026-01,336.5197,131.8756
2026-02,276.0338,131.1612
