Date,rate_EOG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.7049,-3.7423
2016-03,-6.2697,0.3764
2016-04,6.1287,5.1946
2016-05,20.1731,3.5695
2016-06,13.4901,4.8356
2016-07,16.776,4.3651
2016-08,6.3901,7.2005
2016-09,18.7928,6.5176
2016-10,27.447,5.8316
2016-11,17.7531,2.6321
2016-12,33.4424,6.5262
2017-01,26.0948,8.6002
2017-02,24.1633,9.8701
2017-03,21.2785,14.9815
2017-04,16.8584,12.5254
2017-05,9.4453,13.1716
2017-06,6.9551,14.581
2017-07,6.7046,14.626
2017-08,11.1728,16.4591
2017-09,0.2928,15.9061
2017-10,13.2576,17.2911
2017-11,19.3089,19.4181
2017-12,19.1829,21.7575
2018-01,24.131,22.6249
2018-02,33.1804,28.3844
2018-03,14.5354,21.0506
2018-04,18.6013,18.8566
2018-05,32.3236,18.843
2018-06,32.0866,22.0592
2018-07,37.7443,20.962
2018-08,37.9773,24.4135
2018-09,28.7915,27.7869
2018-10,40.0985,28.1445
2018-11,14.9071,19.3954
2018-12,10.6439,19.8359
2019-01,-6.8509,8.7501
2019-02,6.024,17.203
2019-03,3.2602,21.2677
2019-04,3.7305,23.6016
2019-05,-1.5288,25.5902
2019-06,-12.2249,17.8911
2019-07,0.1204,26.7327
2019-08,-12.5021,25.8061
2019-09,-19.6699,24.2046
2019-10,-22.0763,24.595
2019-11,-21.7541,29.5299
2019-12,-21.5703,32.3145
2020-01,-6.8161,35.5516
2020-02,-18.4466,34.7733
2020-03,-28.9225,23.2161
2020-04,-60.8151,2.6957
2020-05,-47.5826,17.923
2020-06,-38.0269,27.1545
2020-07,-39.6835,29.2791
2020-08,-42.1895,35.3897
2020-09,-43.4883,45.4969
2020-10,-55.8387,38.8421
2020-11,-55.1948,33.8054
2020-12,-37.8442,49.4413
2021-01,-32.7083,52.4925
2021-02,-29.678,52.5474
2021-03,-10.3743,57.1165
2021-04,4.1041,62.2404
2021-05,2.2612,68.0147
2021-06,17.4247,67.9506
2021-07,19.0982,71.7835
2021-08,2.6224,73.9065
2021-09,-6.571,78.108
2021-10,18.2565,70.559
2021-11,32.0042,79.7147
2021-12,20.1361,74.8714
2022-01,27.5505,83.8439
2022-02,63.102,74.2485
2022-03,66.8772,64.4857
2022-04,72.9994,72.8765
2022-05,68.0044,56.3809
2022-06,100.2821,54.7432
2022-07,61.2952,43.9638
2022-08,55.7843,54.5402
2022-09,71.1294,48.4061
2022-10,62.3908,33.808
2022-11,100.4384,43.6413
2022-12,105.4062,51.6237
2023-01,90.3213,42.3283
2023-02,90.8189,52.4008
2023-03,75.9228,45.8599
2023-04,71.5187,52.4428
2023-05,77.9035,54.1535
2023-06,61.3734,55.8684
2023-07,70.0361,63.7729
2023-08,98.5289,67.9151
2023-09,96.2992,65.3142
2023-10,88.9716,56.4671
2023-11,85.4802,54.158
2023-12,83.6568,66.8181
2024-01,81.0837,72.7134
2024-02,69.1572,77.0248
2024-03,73.6851,84.7703
2024-04,93.2874,89.0895
2024-05,93.9842,80.3005
2024-06,85.0292,89.1407
2024-07,87.1376,96.817
2024-08,82.5807,94.9948
2024-09,90.2157,101.4737
2024-10,86.6215,104.2286
2024-11,78.1787,104.0979
2024-12,95.6837,114.1559
2025-01,79.1851,108.1307
2025-02,88.8087,112.719
2025-03,89.7135,109.0154
2025-04,92.4164,97.097
2025-05,66.9266,95.2965
2025-06,61.7001,105.2137
2025-07,79.8908,114.7559
2025-08,73.85,115.142
2025-09,85.422,122.2543
2025-10,64.6416,129.8729
2025-11,60.5979,133.4127
2025-12,65.9367,131.7276
2026-01,58.3012,131.8756
2026-02,42.4154,120.852
