Date,rate_NCLH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.8529,-0.6039
2016-03,14.3449,5.2168
2016-04,-1.8175,3.9893
2016-05,-6.8897,4.6886
2016-06,-19.1354,4.1237
2016-07,-11.1733,7.1795
2016-08,-23.9732,6.3603
2016-09,-17.7713,5.6281
2016-10,-13.4667,3.196
2016-11,-9.8737,6.7601
2016-12,-2.6807,8.3626
2017-01,7.5258,10.2536
2017-02,15.1297,13.6522
2017-03,14.0342,12.7005
2017-04,20.2624,12.9818
2017-05,10.144,13.693
2017-06,18.8576,13.5288
2017-07,19.4467,15.0481
2017-08,27.6369,14.5515
2017-09,14.8392,16.1037
2017-10,17.6607,17.9557
2017-11,13.6308,20.6805
2017-12,11.0706,21.3029
2018-01,26.6694,28.0338
2018-02,17.6113,22.1441
2018-03,8.8321,18.3021
2018-04,9.5695,18.0902
2018-05,6.8627,20.2208
2018-06,-3.7971,20.3415
2018-07,1.9958,23.8746
2018-08,9.2581,27.0072
2018-09,17.0382,27.7347
2018-10,-10.555,18.1437
2018-11,4.3253,19.7418
2018-12,-13.9369,8.5778
2019-01,4.3897,17.1263
2019-02,12.5516,20.3748
2019-03,11.0408,22.0514
2019-04,13.5424,26.2651
2019-05,9.7246,17.5943
2019-06,7.3156,25.308
2019-07,-1.2147,26.4355
2019-08,1.4638,23.7232
2019-09,3.5012,26.1617
2019-10,1.4352,28.2707
2019-11,7.1099,32.1761
2019-12,16.4612,35.3247
2020-01,7.373,35.2749
2020-02,-25.811,23.5454
2020-03,-77.9751,7.7105
2020-04,-64.0513,21.425
2020-05,-64.0073,26.7132
2020-06,-61.0537,28.4357
2020-07,-66.638,35.3124
2020-08,-56.3854,43.9511
2020-09,-55.27,37.6938
2020-10,-55.5249,33.4637
2020-11,-37.3376,47.2943
2020-12,-29.5735,51.8455
2021-01,-37.27,50.305
2021-02,-17.2459,53.4604
2021-03,-22.4982,59.4101
2021-04,-12.3591,66.6882
2021-05,-9.7589,66.6274
2021-06,-16.6995,69.2184
2021-07,-31.714,72.1455
2021-08,-25.9869,75.992
2021-09,-23.0268,66.6118
2021-10,-25.6196,77.1553
2021-11,-43.3336,74.6519
2021-12,-38.9045,81.397
2022-01,-38.1536,70.7122
2022-02,-41.6552,64.6001
2022-03,-33.7329,69.8532
2022-04,-38.8912,54.0273
2022-05,-50.7064,53.6333
2022-06,-65.2232,40.2902
2022-07,-61.0481,52.5094
2022-08,-57.1533,45.531
2022-09,-62.1145,31.5965
2022-10,-42.4589,41.7445
2022-11,-43.4467,48.9584
2022-12,-57.4884,39.838
2023-01,-47.1744,48.5632
2023-02,-48.0156,44.2258
2023-03,-52.2978,48.9578
2023-04,-52.0004,50.6836
2023-05,-46.0126,50.7741
2023-06,-20.1244,59.884
2023-07,-18.792,64.3798
2023-08,-38.743,60.953
2023-09,-38.6161,52.6248
2023-10,-48.9734,48.7132
2023-11,-42.0342,61.6976
2023-12,-23.4129,68.3392
2024-01,-31.9733,71.0275
2024-02,-25.5109,79.0476
2024-03,-19.2897,83.99
2024-04,-26.8543,75.7344
2024-05,-35.4043,83.6813
2024-06,-26.5004,89.2836
2024-07,-27.5713,90.5002
2024-08,-29.3536,94.0822
2024-09,-19.0088,98.2932
2024-10,0.3391,95.412
2024-11,6.4871,105.8418
2024-12,1.7758,99.9875
2025-01,12.1382,105.351
2025-02,-10.2114,101.7087
2025-03,-24.9579,89.4719
2025-04,-36.354,87.0451
2025-05,-29.5505,97.8575
2025-06,-18.7316,107.0685
2025-07,2.6032,110.7404
2025-08,-0.2753,114.0337
2025-09,-1.1183,121.6081
2025-10,-9.9688,125.7153
2025-11,-25.7879,125.0226
2025-12,-9.9942,124.0393
2026-01,-11.4458,127.2713
2026-02,12.4775,125.3185
