Date,rate_JD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.0702,-1.8027
2016-03,-2.1519,4.5695
2016-04,-5.3093,3.6217
2016-05,-7.8014,4.6859
2016-06,-18.8279,4.2011
2016-07,-14.5363,7.3141
2016-08,2.2608,6.5393
2016-09,4.5992,5.8417
2016-10,3.582,3.4057
2016-11,7.152,7.0013
2016-12,1.0639,8.6582
2017-01,12.7081,9.9058
2017-02,20.3928,13.4199
2017-03,21.1098,12.5861
2017-04,35.0116,12.9516
2017-05,51.668,13.7442
2017-06,45.7553,14.6714
2017-07,65.0489,16.2352
2017-08,50.1,15.7466
2017-09,34.6493,17.3266
2017-10,30.7097,19.2474
2017-11,29.0934,22.0133
2017-12,41.4489,22.6523
2018-01,66.1262,28.4864
2018-02,56.8065,22.6807
2018-03,32.9456,18.8927
2018-04,18.8339,18.6249
2018-05,13.7977,20.8091
2018-06,25.3701,20.9812
2018-07,14.6835,24.5763
2018-08,-0.3187,27.7899
2018-09,-16.8864,27.6747
2018-10,-24.5526,18.1983
2018-11,-31.4465,19.8597
2018-12,-31.5522,8.8011
2019-01,-17.7423,17.1215
2019-02,-7.7466,20.4441
2019-03,0.4813,22.1999
2019-04,0.7794,26.5012
2019-05,-14.2271,17.9266
2019-06,1.2332,25.7011
2019-07,-0.1298,26.9004
2019-08,1.9463,24.2426
2019-09,-5.7405,26.142
2019-10,4.2092,28.3311
2019-11,9.1039,32.3256
2019-12,17.5088,35.5485
2020-01,25.3246,34.7719
2020-02,27.5307,23.2511
2020-03,33.5461,7.5779
2020-04,41.402,21.2186
2020-05,77.3371,26.5774
2020-06,94.8174,28.3766
2020-07,104.6704,35.3325
2020-08,149.9765,44.0777
2020-09,144.0279,37.914
2020-10,153.6845,33.7633
2020-11,162.8683,47.7098
2020-12,167.9225,52.3667
2021-01,167.5514,49.9654
2021-02,180.2596,53.2453
2021-03,149.1667,60.4049
2021-04,126.449,67.83
2021-05,114.5856,67.8968
2021-06,129.6436,70.6358
2021-07,102.2841,73.7106
2021-08,122.5211,77.7187
2021-09,102.965,68.3779
2021-10,118.3728,79.119
2021-11,132.753,76.6949
2021-12,92.3788,83.6042
2022-01,104.2254,72.9303
2022-02,94.0165,66.8181
2022-03,55.7471,72.1992
2022-04,65.1278,56.2223
2022-05,52.8872,55.8933
2022-06,74.186,42.4002
2022-07,60.4939,54.8512
2022-08,70.4566,47.8158
2022-09,34.3884,33.7039
2022-10,-0.6503,44.0824
2022-11,52.2336,51.4429
2022-12,48.8578,42.1877
2023-01,57.2589,50.5828
2023-02,16.9205,46.2373
2023-03,15.2507,52.2586
2023-04,-4.6985,54.0684
2023-05,-12.9485,54.1996
2023-06,-8.7835,63.548
2023-07,10.5017,68.1942
2023-08,-11.2028,64.7317
2023-09,-22.0174,56.2636
2023-10,-31.7291,52.2886
2023-11,-25.975,65.5989
2023-12,-21.7444,72.448
2024-01,-38.7167,74.4576
2024-02,-38.1153,82.7177
2024-03,-24.6418,89.0282
2024-04,-18.1802,80.6052
2024-05,-15.9739,88.8335
2024-06,-26.5459,96.0415
2024-07,-24.7196,97.3583
2024-08,-22.695,101.128
2024-09,14.7878,105.7758
2024-10,16.3587,102.865
2024-11,6.9503,113.7798
2024-12,-0.8552,107.7813
2025-01,16.4368,112.3595
2025-02,19.6536,108.6721
2025-03,17.2545,96.0839
2025-04,-4.2387,93.6359
2025-05,-4.8459,104.9003
2025-06,-4.1286,114.5225
2025-07,-7.4693,118.4064
2025-08,-8.6225,121.8959
2025-09,2.9473,128.6764
2025-10,-2.8049,133.0211
2025-11,-12.2172,132.409
2025-12,-15.442,131.4906
2026-01,-15.9628,133.7386
2026-02,-21.5877,130.7823
2026-03,-12.4183,117.6098
2026-04,-7.1153,139.3863
2026-05,-11.5805,150.8374
2026-06,-21.7663,146.5232
2026-07,1.5098,145.3136
