Date,rate_AVAV_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.5215,-1.8027
2016-03,7.7232,4.5695
2016-04,8.0968,3.6217
2016-05,6.2191,4.6859
2016-06,0.8309,4.2011
2016-07,2.6121,7.3141
2016-08,-10.7019,6.5393
2016-09,-10.5236,5.8417
2016-10,-11.0255,3.4057
2016-11,6.1538,7.0013
2016-12,0.2907,8.6582
2017-01,-2.1195,9.9058
2017-02,1.2193,13.4199
2017-03,4.8072,12.5861
2017-04,6.5148,12.9516
2017-05,15.2912,13.7442
2017-06,40.6605,14.6714
2017-07,37.0357,16.2352
2017-08,75.4039,15.7466
2017-09,89.6508,17.3266
2017-10,75.4445,19.2474
2017-11,53.4365,22.0133
2017-12,86.3825,22.6523
2018-01,67.3177,28.4864
2018-02,59.4008,22.6807
2018-03,43.9794,18.8927
2018-04,70.5024,18.6249
2018-05,78.4671,20.8091
2018-06,117.0228,20.9812
2018-07,119.7526,24.5763
2018-08,158.0242,27.7899
2018-09,222.8577,27.6747
2018-10,153.8169,18.1983
2018-11,112.2987,19.8597
2018-12,85.5839,8.8011
2019-01,109.4352,17.1215
2019-02,111.9969,20.4441
2019-03,79.5969,22.1999
2019-04,77.9517,26.5012
2019-05,66.2843,17.9266
2019-06,44.4331,25.7011
2019-07,38.6241,26.9004
2019-08,29.4998,24.2426
2019-09,33.9146,26.142
2019-10,44.2245,28.3311
2019-11,51.4861,32.3256
2019-12,51.3933,35.5485
2020-01,62.1915,34.7719
2020-02,24.2065,23.2511
2020-03,46.7374,7.5779
2020-04,44.4011,21.2186
2020-05,68.7652,26.5774
2020-06,88.3281,28.3766
2020-07,79.5872,35.3325
2020-08,77.7939,44.0777
2020-09,38.586,37.914
2020-10,75.3989,33.7633
2020-11,94.691,47.7098
2020-12,96.4873,52.3667
2021-01,157.3617,49.9654
2021-02,144.3743,53.2453
2021-03,155.1428,60.4049
2021-04,140.3019,67.83
2021-05,136.5483,67.8968
2021-06,114.2158,70.6358
2021-07,114.5199,73.7106
2021-08,115.4856,77.7187
2021-09,80.3185,68.3779
2021-10,84.9454,79.119
2021-11,66.5093,76.6949
2021-12,27.2478,83.6042
2022-01,16.4375,72.9303
2022-02,45.0105,66.8181
2022-03,91.2811,72.1992
2022-04,62.2018,56.2223
2022-05,84.7646,55.8933
2022-06,64.2069,42.4002
2022-07,72.1551,54.8512
2022-08,75.2072,47.8158
2022-09,63.9584,33.7039
2022-10,79.1011,44.0824
2022-11,79.1294,51.4429
2022-12,65.9419,42.1877
2023-01,71.5408,50.5828
2023-02,64.4992,46.2373
2023-03,75.067,52.2586
2023-04,91.3606,54.0684
2023-05,76.573,54.1996
2023-06,92.3413,63.548
2023-07,78.2045,68.1942
2023-08,80.6167,64.7317
2023-09,106.5717,56.2636
2023-10,111.1984,52.2886
2023-11,152.0171,65.5989
2023-12,129.3753,72.448
2024-01,118.277,74.4576
2024-02,128.1171,82.7177
2024-03,174.1681,89.0282
2024-04,184.0114,80.6052
2024-05,256.9114,88.8335
2024-06,219.3709,96.0415
2024-07,210.9772,97.3583
2024-08,252.5985,101.128
2024-09,244.5918,105.7758
2024-10,266.9083,102.865
2024-11,229.7416,113.7798
2024-12,159.2542,107.7813
2025-01,201.7605,112.3595
2025-02,149.1356,108.6721
2025-03,97.4317,96.0839
2025-04,149.8011,93.6359
2025-05,191.9007,104.9003
2025-06,364.3845,114.5225
2025-07,333.317,118.4064
2025-08,288.2016,121.8959
2025-09,403.2138,128.6764
2025-10,487.0034,133.0211
2025-11,340.4713,132.409
2025-12,278.8957,131.4906
2026-01,333.392,133.7386
2026-02,290.2495,130.7823
2026-03,181.558,117.6098
2026-04,198.3941,139.3863
2026-05,215.449,150.8374
2026-06,149.9588,146.5232
2026-07,114.1916,139.5994
