Date,rate_SMCI_5D,rate_VOO_20D
2016-01,21.002,1.4254
2016-02,12.2562,0.6142
2016-03,12.0172,6.1243
2016-04,-14.1759,4.6014
2016-05,-13.611,5.2878
2016-06,-15.2959,4.687
2016-07,-25.6903,7.7174
2016-08,-22.2096,6.8637
2016-09,-13.5744,5.9421
2016-10,-10.9874,3.4868
2016-11,-0.3554,6.843
2016-12,1.873,8.2789
2017-01,-4.1797,9.3935
2017-02,-5.5275,12.821
2017-03,-7.3304,12.0413
2017-04,-10.3675,12.4367
2017-05,-9.0276,13.2406
2017-06,-8.3558,14.1802
2017-07,0.3007,15.6892
2017-08,-0.5842,15.2834
2017-09,-16.6239,16.8657
2017-10,-24.2669,18.7799
2017-11,-14.9443,21.509
2017-12,-18.6685,22.1709
2018-01,-10.5938,27.9258
2018-02,-28.1858,22.2578
2018-03,-31.5808,18.4465
2018-04,-27.517,18.162
2018-05,-0.1567,20.337
2018-06,-2.3334,20.5057
2018-07,-8.7674,24.0401
2018-08,-14.7018,27.2093
2018-09,-13.8412,27.1082
2018-10,-45.0553,17.9327
2018-11,-36.2048,19.5577
2018-12,-39.9858,8.5722
2019-01,-33.508,16.8959
2019-02,-14.7278,20.2219
2019-03,-5.6158,21.9603
2019-04,-0.0098,26.2654
2019-05,-15.3851,20.4953
2019-06,-13.4013,25.3574
2019-07,-17.8067,26.514
2019-08,-18.0511,24.0717
2019-09,-19.5171,25.9454
2019-10,-14.0189,27.4086
2019-11,-11.1169,31.384
2019-12,0.4145,34.5804
2020-01,16.685,33.8021
2020-02,14.9592,22.3336
2020-03,11.0861,15.1867
2020-04,19.4149,29.6272
2020-05,26.1265,28.2305
2020-06,45.7812,28.0341
2020-07,55.1496,33.4885
2020-08,39.3113,42.106
2020-09,30.9923,38.2475
2020-10,25.3585,34.0563
2020-11,35.8799,42.9575
2020-12,37.3809,47.5016
2021-01,36.592,45.1166
2021-02,30.2035,43.0879
2021-03,50.5452,49.8512
2021-04,41.0908,56.911
2021-05,32.2411,54.6413
2021-06,33.3532,57.2758
2021-07,43.6421,60.2291
2021-08,37.3638,64.0213
2021-09,36.8921,55.5224
2021-10,32.0082,65.5435
2021-11,53.5467,65.5034
2021-12,56.5083,68.4598
2022-01,43.5769,58.7763
2022-02,35.0304,53.2596
2022-03,30.3324,58.2953
2022-04,43.7343,52.2757
2022-05,70.8482,51.0659
2022-06,47.2363,38.0304
2022-07,95.7384,50.1558
2022-08,134.2484,43.3725
2022-09,97.0059,29.6913
2022-10,147.3956,39.7003
2022-11,194.3409,46.8631
2022-12,185.822,40.5677
2023-01,138.7926,48.7988
2023-02,169.3083,45.5387
2023-03,163.6397,49.6635
2023-04,156.648,48.4614
2023-05,357.405,48.1923
2023-06,417.5829,57.2072
2023-07,579.2405,61.7125
2023-08,553.6644,59.5229
2023-09,545.6552,51.3631
2023-10,532.699,47.5518
2023-11,583.5819,60.474
2023-12,604.1525,67.125
2024-01,1200.0746,69.1001
2024-02,1870.5489,77.1309
2024-03,1847.4588,83.2841
2024-04,1497.0472,75.177
2024-05,1348.3785,83.1784
2024-06,1398.7974,90.182
2024-07,1297.5967,90.9416
2024-08,868.1408,97.1965
2024-09,813.1421,98.31
2024-10,649.486,95.5089
2024-11,727.4246,105.9957
2024-12,666.3405,100.2436
2025-01,611.2671,104.6582
2025-02,1092.7092,101.1287
2025-03,863.6633,89.045
2025-04,787.6353,88.6819
2025-05,858.8395,99.6712
2025-06,914.4842,109.046
2025-07,1035.0058,112.823
2025-08,722.1884,112.1707
2025-09,841.7417,118.6779
2025-10,941.3866,122.8639
2025-11,888.4669,122.3204
2025-12,748.3312,121.4705
2026-01,737.5379,123.6468
2026-02,825.0614,120.852
