Date,rate_ROST_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.9633,-1.8027
2016-03,4.0038,4.5695
2016-04,0.7279,3.6217
2016-05,-5.3673,4.6859
2016-06,2.1477,4.2011
2016-07,11.1064,7.3141
2016-08,10.7286,6.5393
2016-09,13.1256,5.8417
2016-10,8.7684,3.4057
2016-11,16.7105,7.0013
2016-12,12.1904,8.6582
2017-01,12.1152,9.9058
2017-02,15.4205,13.4199
2017-03,10.3203,12.5861
2017-04,8.2285,12.9516
2017-05,6.0405,13.7442
2017-06,-3.6954,14.6714
2017-07,-7.5228,16.2352
2017-08,-1.9292,15.7466
2017-09,8.651,17.3266
2017-10,6.451,19.2474
2017-11,27.3745,22.0133
2017-12,33.2492,22.6523
2018-01,35.4289,28.4864
2018-02,27.105,22.6807
2018-03,27.018,18.8927
2018-04,30.6849,18.6249
2018-05,26.5357,20.8091
2018-06,35.2627,20.9812
2018-07,38.3609,24.5763
2018-08,50.2695,27.7899
2018-09,54.2461,27.6747
2018-10,52.5133,18.1983
2018-11,33.6689,19.8597
2018-12,26.413,8.8011
2019-01,39.1512,17.1215
2019-02,42.19,20.4441
2019-03,39.6748,22.1999
2019-04,45.4182,26.5012
2019-05,37.4628,17.9266
2019-06,45.9354,25.7011
2019-07,54.9624,26.9004
2019-08,53.7347,24.2426
2019-09,58.4281,26.142
2019-10,56.9126,28.3311
2019-11,64.8587,32.3256
2019-12,64.2456,35.5485
2020-01,57.0207,34.7719
2020-02,51.1471,23.2511
2020-03,20.4735,7.5779
2020-04,26.3105,21.2186
2020-05,33.5666,26.5774
2020-06,16.9015,28.3766
2020-07,22.6005,35.3325
2020-08,24.1155,44.0777
2020-09,26.7265,37.914
2020-10,15.2372,33.7633
2020-11,45.0945,47.7098
2020-12,64.7712,52.3667
2021-01,48.3746,49.9654
2021-02,54.6624,53.2453
2021-03,58.4228,60.4049
2021-04,71.976,67.83
2021-05,64.9398,67.8968
2021-06,61.2703,70.6358
2021-07,58.6494,73.7106
2021-08,52.2793,77.7187
2021-09,40.7827,68.3779
2021-10,45.7339,79.119
2021-11,39.8175,76.6949
2021-12,46.2979,83.6042
2022-01,24.6271,72.9303
2022-02,16.2035,66.8181
2022-03,15.2283,72.1992
2022-04,26.846,56.2223
2022-05,7.8204,55.8933
2022-06,-10.5663,42.4002
2022-07,3.5851,54.8512
2022-08,9.8999,47.8158
2022-09,8.7818,33.7039
2022-10,23.3798,44.0824
2022-11,51.3677,51.4429
2022-12,49.1024,42.1877
2023-01,51.2329,50.5828
2023-02,40.8932,46.2373
2023-03,35.2508,52.2586
2023-04,35.6114,54.0684
2023-05,31.2865,54.1996
2023-06,42.1334,63.548
2023-07,44.8365,68.1942
2023-08,53.3725,64.7317
2023-09,43.3426,56.2636
2023-10,46.697,52.2886
2023-11,64.3469,65.5989
2023-12,74.1279,72.448
2024-01,75.7287,74.4576
2024-02,85.7503,82.7177
2024-03,82.6069,89.0282
2024-04,60.4911,80.6052
2024-05,72.4898,88.8335
2024-06,79.0555,96.0415
2024-07,75.7275,97.3583
2024-08,84.006,101.128
2024-09,83.5316,105.7758
2024-10,69.6744,102.865
2024-11,87.3285,113.7798
2024-12,82.6294,107.7813
2025-01,81.0183,112.3595
2025-02,68.031,108.6721
2025-03,52.9664,96.0839
2025-04,65.8408,93.6359
2025-05,66.553,104.9003
2025-06,51.645,114.5225
2025-07,61.7744,118.4064
2025-08,73.7633,121.8959
2025-09,79.7552,128.6764
2025-10,86.7364,133.0211
2025-11,106.4078,132.409
2025-12,110.3884,131.4906
2026-01,119.3641,133.7386
2026-02,138.0356,130.7823
2026-03,144.2293,121.4547
