Date,rate_UHS_5D,rate_VOO_20D
2016-01,1.1168,1.4254
2016-02,-4.0174,0.6142
2016-03,8.6916,6.1243
2016-04,14.1901,4.6014
2016-05,12.6342,5.2878
2016-06,6.2661,4.687
2016-07,1.6649,7.7174
2016-08,-5.2299,6.8637
2016-09,-2.3867,5.9421
2016-10,-4.1504,3.4868
2016-11,-2.1905,6.843
2016-12,-15.3351,8.2789
2017-01,-9.1221,9.3935
2017-02,1.8923,12.821
2017-03,1.0071,12.0413
2017-04,-2.0551,12.4367
2017-05,-7.6269,13.2406
2017-06,-0.334,14.1802
2017-07,-9.507,15.6892
2017-08,-11.023,15.2834
2017-09,-8.2205,16.8657
2017-10,-14.7006,18.7799
2017-11,-8.9959,21.509
2017-12,-4.3209,22.1709
2018-01,2.6184,27.9258
2018-02,-6.1403,22.2578
2018-03,-1.1222,18.4465
2018-04,-5.4594,18.162
2018-05,-4.6497,20.337
2018-06,-7.4792,20.5057
2018-07,1.6117,24.0401
2018-08,8.3604,27.2093
2018-09,6.5032,27.1082
2018-10,-0.6221,17.9327
2018-11,11.6003,19.5577
2018-12,-5.8698,8.5722
2019-01,7.2023,16.8959
2019-02,12.1168,20.2219
2019-03,7.6929,21.9603
2019-04,1.9365,26.2654
2019-05,-3.8723,20.4953
2019-06,5.052,25.3574
2019-07,21.4115,26.514
2019-08,15.1381,24.0717
2019-09,16.8115,25.9454
2019-10,7.6418,27.4086
2019-11,9.0273,31.384
2019-12,12.0671,34.5804
2020-01,6.8476,33.8021
2020-02,-3.4439,22.3336
2020-03,1.1222,15.1867
2020-04,3.6381,29.6272
2020-05,1.5296,28.2305
2020-06,-4.7957,28.0341
2020-07,12.0034,33.4885
2020-08,13.2539,42.106
2020-09,7.4914,38.2475
2020-10,5.7002,34.0563
2020-11,20.3222,42.9575
2020-12,21.1691,47.5016
2021-01,16.0157,45.1166
2021-02,12.5439,43.0879
2021-03,15.7634,49.8512
2021-04,26.2413,56.911
2021-05,34.3141,54.6413
2021-06,30.5224,57.2758
2021-07,39.1844,60.2291
2021-08,34.7629,64.0213
2021-09,19.2685,55.5224
2021-10,6.7718,65.5435
2021-11,2.171,65.5034
2021-12,7.643,68.4598
2022-01,6.5239,58.7763
2022-02,17.1494,53.2596
2022-03,18.4137,58.2953
2022-04,7.5508,52.2757
2022-05,6.547,51.0659
2022-06,-13.9271,38.0304
2022-07,-3.7494,50.1558
2022-08,-16.0364,43.3725
2022-09,-24.1938,29.6913
2022-10,-0.1285,39.7003
2022-11,1.5529,46.8631
2022-12,6.0324,40.5677
2023-01,10.1565,48.7988
2023-02,-2.932,45.5387
2023-03,-7.3314,49.6635
2023-04,9.7029,48.4614
2023-05,1.5003,48.1923
2023-06,20.246,57.2072
2023-07,12.5403,61.7125
2023-08,15.2015,59.5229
2023-09,7.4244,51.3631
2023-10,7.4804,47.5518
2023-11,17.4555,60.474
2023-12,29.9737,67.125
2024-01,35.0403,69.1001
2024-02,41.8198,77.1309
2024-03,54.4034,83.2841
2024-04,47.0543,75.177
2024-05,63.2601,83.1784
2024-06,58.6363,90.182
2024-07,82.7112,90.9416
2024-08,102.5123,97.1965
2024-09,88.3959,98.31
2024-10,67.9256,95.5089
2024-11,65.3727,105.9957
2024-12,44.3558,100.2436
2025-01,51.2809,104.6582
2025-02,40.1683,101.1287
2025-03,49.3344,89.045
2025-04,41.3156,88.6819
2025-05,51.532,99.6712
2025-06,51.5959,109.046
2025-07,38.7561,112.823
2025-08,51.0217,112.1707
2025-09,69.6766,118.6779
2025-10,74.9931,122.8639
2025-11,95.7506,122.3204
2025-12,74.6168,121.4705
2026-01,60.6695,123.6468
2026-02,64.0219,120.852
