Date,rate_KEI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.6247,-1.8027
2016-03,0.17,4.5695
2016-04,1.2883,3.6217
2016-05,-1.1223,4.6859
2016-06,-4.4867,4.2011
2016-07,-3.3839,7.3141
2016-08,-10.2956,6.5393
2016-09,-7.203,5.8417
2016-10,-7.9097,3.4057
2016-11,-4.1985,7.0013
2016-12,-1.73,8.6582
2017-01,-7.5196,9.9058
2017-02,-4.5178,13.4199
2017-03,-4.0206,13.0748
