Date,rate_SMH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.6294,-1.8027
2016-03,6.8949,4.5695
2016-04,0.0757,3.6217
2016-05,8.4961,4.6859
2016-06,7.2189,4.2011
2016-07,18.3452,7.3141
2016-08,20.9613,6.5393
2016-09,24.3477,5.8417
2016-10,19.8126,3.4057
2016-11,22.9161,7.0013
2016-12,23.3848,8.6582
2017-01,26.3234,9.9058
2017-02,27.6219,13.4199
2017-03,31.159,12.5861
2017-04,29.1952,12.9516
2017-05,37.4622,13.7442
2017-06,28.8773,14.6714
2017-07,33.5369,16.2352
2017-08,36.0378,15.7466
2017-09,41.4762,17.3266
2017-10,51.9693,19.2474
2017-11,47.7198,22.0133
2017-12,44.2517,22.6523
2018-01,55.1295,28.4864
2018-02,53.0758,22.6807
2018-03,47.9681,18.8927
2018-04,36.2869,18.6249
2018-05,48.8999,20.8091
2018-06,40.9997,20.9812
2018-07,44.0501,24.5763
2018-08,46.763,27.7899
2018-09,42.0296,27.6747
2018-10,23.6311,18.1983
2018-11,27.1398,19.8597
2018-12,16.1717,8.8011
2019-01,28.0619,17.1215
2019-02,36.1595,20.4441
2019-03,39.1283,22.1999
2019-04,50.959,26.5012
2019-05,26.5502,17.9266
2019-06,41.2112,25.7011
2019-07,48.9697,26.9004
2019-08,44.5345,24.2426
2019-09,49.448,26.142
2019-10,58.7925,28.3311
2019-11,64.1881,32.3256
2019-12,75.8517,35.5485
2020-01,69.5716,34.7719
2020-02,61.3426,23.2511
2020-03,42.1693,7.5779
2020-04,61.484,21.2186
2020-05,69.1593,26.5774
2020-06,81.8745,28.3766
2020-07,96.2436,35.3325
2020-08,105.2272,44.0777
2020-09,101.9921,37.914
2020-10,101.0541,33.7633
2020-11,137.651,47.7098
2020-12,148.0793,52.3667
2021-01,154.8539,49.9654
2021-02,168.2464,53.2453
2021-03,168.3919,60.4049
2021-04,165.1026,67.83
2021-05,169.2476,67.8968
2021-06,180.645,70.6358
2021-07,178.9222,73.7106
2021-08,184.3597,77.7187
2021-09,166.5602,68.3779
2021-10,182.0706,79.119
2021-11,211.3891,76.6949
2021-12,213.982,83.6042
2022-01,177.4304,72.9303
2022-02,167.7918,66.8181
2022-03,167.2233,72.1992
2022-04,125.8389,56.2223
2022-05,138.5615,55.8933
2022-06,97.2912,42.4002
2022-07,128.2739,54.8512
2022-08,105.0947,47.8158
2022-09,75.8667,33.7039
2022-10,78.8116,44.0824
2022-11,114.0202,51.4429
2022-12,91.7703,42.1877
2023-01,122.7586,50.5828
2023-02,123.4241,46.2373
2023-03,144.0446,52.2586
2023-04,127.7356,54.0684
2023-05,164.1657,54.1996
2023-06,176.7127,63.548
2023-07,189.8645,68.1942
2023-08,179.9244,64.7317
2023-09,157.9994,56.2636
2023-10,145.6634,52.2886
2023-11,181.9067,65.5989
2023-12,206.9191,72.448
2024-01,223.949,74.4576
2024-02,266.7629,82.7177
2024-03,286.4125,89.0282
2024-04,264.9598,80.6052
2024-05,307.0212,88.8335
2024-06,337.969,96.0415
2024-07,311.832,97.3583
2024-08,303.0537,101.128
2024-09,303.4367,105.7758
2024-10,294.4495,102.865
2024-11,292.415,113.7798
2024-12,291.4943,107.7813
2025-01,291.145,112.3595
2025-02,271.2072,108.6721
2025-03,235.0292,96.0839
2025-04,232.6282,93.6359
2025-05,275.084,104.9003
2025-06,333.4598,114.5225
2025-07,345.8511,118.4064
2025-08,345.1967,121.8959
2025-09,397.1835,128.6764
2025-10,449.2549,133.0211
2025-11,429.3518,132.409
2025-12,439.13,131.4906
2026-01,499.8854,133.7386
2026-02,500.0836,130.7823
2026-03,462.3474,117.6098
2026-04,638.2075,139.3863
2026-05,766.4694,150.8374
2026-06,842.1579,146.5232
2026-07,671.0808,145.3136
2026-08,672.8207,147.6545
