Date,rate_RMD_5D,rate_VOO_20D
2016-01,8.531,-3.28
2016-02,4.734,-1.8027
2016-03,4.5406,4.5695
2016-04,-0.6775,3.6217
2016-05,5.7945,4.6859
2016-06,12.1644,4.2011
2016-07,20.2048,7.3141
2016-08,14.3476,6.5393
2016-09,9.4939,5.8417
2016-10,0.1606,3.4057
2016-11,3.8041,7.0013
2016-12,4.734,8.6582
2017-01,13.5761,9.9058
2017-02,20.6914,13.4199
2017-03,19.1201,12.5861
2017-04,11.433,12.9516
2017-05,16.2631,13.7442
2017-06,26.2373,14.6714
2017-07,23.6563,16.2352
2017-08,23.7339,15.7466
2017-09,21.6253,17.3266
2017-10,31.9318,19.2474
2017-11,32.8904,22.0133
2017-12,30.4902,22.6523
2018-01,53.8069,28.4864
2018-02,44.0063,22.6807
2018-03,47.2105,18.8927
2018-04,39.8752,18.6249
2018-05,50.9386,20.8091
2018-06,50.3292,20.9812
2018-07,51.8568,24.5763
2018-08,58.711,27.7899
2018-09,62.4574,27.6747
2018-10,47.5199,18.1983
2018-11,54.7536,19.8597
2018-12,56.0804,8.8011
2019-01,29.2442,17.1215
2019-02,38.7998,20.4441
2019-03,39.8525,22.1999
2019-04,39.5601,26.5012
2019-05,51.814,17.9266
2019-06,60.9948,25.7011
2019-07,68.2461,26.9004
2019-08,80.8552,24.2426
2019-09,73.676,26.142
2019-10,88.3886,28.3311
2019-11,89.1225,32.3256
2019-12,93.9779,35.5485
2020-01,97.007,34.7719
2020-02,95.5325,23.2511
2020-03,79.4488,7.5779
2020-04,87.686,21.2186
2020-05,93.035,26.5774
2020-06,128.3767,28.3766
2020-07,138.4166,35.3325
2020-08,111.0989,44.0777
2020-09,98.3624,37.914
2020-10,120.2021,33.7633
2020-11,138.6623,47.7098
2020-12,139.6656,52.3667
2021-01,125.1251,49.9654
2021-02,113.8174,53.2453
2021-03,113.3407,60.4049
2021-04,104.9777,67.83
2021-05,123.0943,67.8968
2021-06,164.853,70.6358
2021-07,189.2491,73.7106
2021-08,206.6298,77.7187
2021-09,175.4961,68.3779
2021-10,172.3347,79.119
2021-11,162.0622,76.6949
2021-12,165.5534,83.6042
2022-01,131.0998,72.9303
2022-02,147.9041,66.8181
2022-03,141.6731,72.1992
2022-04,97.7521,56.2223
2022-05,100.3215,55.8933
2022-06,105.0684,42.4002
2022-07,133.6905,54.8512
2022-08,112.5968,47.8158
2022-09,109.6555,33.7039
2022-10,113.4584,44.0824
2022-11,118.6867,51.4429
2022-12,96.4706,42.1877
2023-01,114.3136,50.5828
2023-02,99.0757,46.2373
2023-03,103.4905,52.2586
2023-04,122.5869,54.0684
2023-05,93.9809,54.1996
2023-06,99.925,63.548
2023-07,102.3259,68.1942
2023-08,44.8744,64.7317
2023-09,33.8092,56.2636
2023-10,27.4574,52.2886
2023-11,42.3975,65.5989
2023-12,54.7836,72.448
2024-01,70.5058,74.4576
2024-02,55.4994,82.7177
2024-03,76.5892,89.0282
2024-04,90.0234,80.6052
2024-05,82.7858,88.8335
2024-06,68.8325,96.0415
2024-07,87.3455,97.3583
2024-08,114.7307,101.128
2024-09,112.8533,105.7758
2024-10,110.3785,102.865
2024-11,115.4475,113.7798
2024-12,96.8905,107.7813
2025-01,102.4128,112.3595
2025-02,99.6674,108.6721
2025-03,90.5451,96.0839
2025-04,100.5258,93.6359
2025-05,106.999,104.9003
2025-06,117.1726,114.5225
2025-07,127.833,118.4064
2025-08,129.3522,121.8959
2025-09,127.5981,128.6764
2025-10,104.3183,133.0211
2025-11,111.3064,132.409
2025-12,98.1235,131.4906
2026-01,111.5817,133.7386
2026-02,109.4857,130.7823
2026-03,109.5138,129.7769
