Date,rate_AVB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.3754,-1.8027
2016-03,8.0372,4.5695
2016-04,-1.304,3.6217
2016-05,0.6258,4.6859
2016-06,1.8879,4.2011
2016-07,4.5179,7.3141
2016-08,-1.9667,6.5393
2016-09,0.519,5.8417
2016-10,-3.2641,3.4057
2016-11,-6.6344,7.0013
2016-12,1.9063,8.6582
2017-01,-0.4274,9.9058
2017-02,5.7438,13.4199
2017-03,6.0791,12.5861
2017-04,9.2848,12.9516
2017-05,9.5024,13.7442
2017-06,10.3234,14.6714
2017-07,9.8811,16.2352
2017-08,6.7822,15.7466
2017-09,2.0192,17.3266
2017-10,3.5792,19.2474
2017-11,3.3786,22.0133
2017-12,2.387,22.6523
2018-01,-2.2916,28.4864
2018-02,-10.2994,22.6807
2018-03,-4.2074,18.8927
2018-04,-4.9086,18.6249
2018-05,-3.2915,20.8091
2018-06,1.3482,20.9812
2018-07,4.2157,24.5763
2018-08,7.8415,27.7899
2018-09,7.212,27.6747
2018-10,3.6292,18.1983
2018-11,12.4663,19.8597
2018-12,5.0221,8.8011
2019-01,16.2056,17.1215
2019-02,16.8363,20.4441
2019-03,20.9623,22.1999
2019-04,20.5577,26.5012
2019-05,21.2911,17.9266
2019-06,21.7858,25.7011
2019-07,24.6321,26.9004
2019-08,26.3725,24.2426
2019-09,30.1189,26.142
2019-10,30.8884,28.3311
2019-11,28.2922,32.3256
2019-12,25.8088,35.5485
2020-01,29.4464,34.7719
2020-02,19.2937,23.2511
2020-03,-11.7763,7.5779
2020-04,-1.9068,21.2186
2020-05,-5.9887,26.5774
2020-06,-5.7945,28.3766
2020-07,-6.6853,35.3325
2020-08,-3.5581,44.0777
2020-09,-7.8378,37.914
2020-10,-14.0962,33.7633
2020-11,3.0841,47.7098
2020-12,0.2057,52.3667
2021-01,2.2196,49.9654
2021-02,9.6893,53.2453
2021-03,15.9632,60.4049
2021-04,20.3642,67.83
2021-05,29.3823,67.8968
2021-06,30.9893,70.6358
2021-07,42.445,73.7106
2021-08,42.9091,77.7187
2021-09,37.3561,68.3779
2021-10,49.0766,79.119
2021-11,49.7751,76.6949
2021-12,58.6918,83.6042
2022-01,52.6645,72.9303
2022-02,48.4454,66.8181
2022-03,54.8572,72.1992
2022-04,41.132,56.2223
2022-05,28.5563,55.8933
2022-06,20.734,42.4002
2022-07,32.6356,54.8512
2022-08,24.22,47.8158
2022-09,14.5812,33.7039
2022-10,8.7834,44.0824
2022-11,8.54,51.4429
2022-12,1.1447,42.1877
2023-01,11.0755,50.5828
2023-02,7.8704,46.2373
2023-03,6.0557,52.2586
2023-04,13.7355,54.0684
2023-05,9.5604,54.1996
2023-06,20.0705,63.548
2023-07,19.4571,68.1942
2023-08,16.2002,64.7317
2023-09,9.4672,56.2636
2023-10,5.5483,52.2886
2023-11,10.0793,65.5989
2023-12,20.0538,72.448
2024-01,14.5983,74.4576
2024-02,13.1896,82.7177
2024-03,19.5711,89.0282
2024-04,22.0035,80.6052
2024-05,23.789,88.8335
2024-06,35.9179,96.0415
2024-07,34.3292,97.3583
2024-08,47.5465,101.128
2024-09,47.8873,105.7758
2024-10,45.0834,102.865
2024-11,53.6499,113.7798
2024-12,44.2611,107.7813
2025-01,45.9607,112.3595
2025-02,48.6079,108.6721
2025-03,41.7537,96.0839
2025-04,38.3274,93.6359
2025-05,35.8847,104.9003
2025-06,34.5753,114.5225
2025-07,22.9254,118.4064
2025-08,29.0304,121.8959
2025-09,28.1717,128.6764
2025-10,15.2106,133.0211
2025-11,20.38,132.409
2025-12,20.9607,131.4906
2026-01,19.4848,133.7386
2026-02,19.0301,130.7823
2026-03,14.7285,122.952
