Date,rate_ANET_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.1262,-1.8027
2016-03,-6.9322,4.5695
2016-04,0.4883,3.6217
2016-05,10.429,4.6859
2016-06,-4.6664,4.2011
2016-07,6.4412,7.3141
2016-08,17.9203,6.5393
2016-09,23.7793,5.8417
2016-10,20.9309,3.4057
2016-11,33.2147,7.0013
2016-12,33.2783,8.6582
2017-01,26.9802,9.9058
2017-02,58.2439,13.4199
2017-03,71.4734,12.5861
2017-04,76.3052,12.9516
2017-05,81.2688,13.7442
2017-06,79.5989,14.6714
2017-07,74.8244,16.2352
2017-08,101.9054,15.7466
2017-09,112.0632,17.3266
2017-10,118.184,19.2474
2017-11,148.5096,22.0133
2017-12,144.96,22.6523
2018-01,179.9951,28.4864
2018-02,167.0665,22.6807
2018-03,146.9993,18.8927
2018-04,150.5038,18.6249
2018-05,133.2666,20.8091
2018-06,134.0892,20.9812
2018-07,128.1943,24.5763
2018-08,161.9839,27.7899
2018-09,128.6096,27.6747
2018-10,94.8765,18.1983
2018-11,98.8128,19.8597
2018-12,73.2411,8.8011
2019-01,74.5759,17.1215
2019-02,129.1187,20.4441
2019-03,148.9069,22.1999
2019-04,143.4629,26.5012
2019-05,87.9852,17.9266
2019-06,97.306,25.7011
2019-07,105.397,26.9004
2019-08,68.2684,24.2426
2019-09,75.7953,26.142
2019-10,78.3468,28.3311
2019-11,41.5268,32.3256
2019-12,46.6186,35.5485
2020-01,59.9355,34.7719
2020-02,37.273,23.2511
2020-03,43.2044,7.5779
2020-04,54.2445,21.2186
2020-05,63.2205,26.5774
2020-06,45.7886,28.3766
2020-07,79.2648,35.3325
2020-08,53.001,44.0777
2020-09,40.8317,37.914
2020-10,41.4596,33.7633
2020-11,82.3672,47.7098
2020-12,94.2561,52.3667
2021-01,103.972,49.9654
2021-02,84.0314,53.2453
2021-03,97.0362,60.4049
2021-04,104.0832,67.83
2021-05,118.0275,67.8968
2021-06,130.862,70.6358
2021-07,140.3208,73.7106
2021-08,131.4587,77.7187
2021-09,113.516,68.3779
2021-10,152.5643,79.119
2021-11,203.2941,76.6949
2021-12,248.1742,83.6042
2022-01,198.1651,72.9303
2022-02,191.7332,66.8181
2022-03,227.5113,72.1992
2022-04,169.8691,56.2223
2022-05,136.8975,55.8933
2022-06,115.5247,42.4002
2022-07,166.3081,54.8512
2022-08,171.578,47.8158
2022-09,153.7811,33.7039
2022-10,169.6827,44.0824
2022-11,208.3812,51.4429
2022-12,166.4918,42.1877
2023-01,174.7082,50.5828
2023-02,200.0567,46.2373
2023-03,260.335,52.2586
2023-04,240.9879,54.0684
2023-05,251.3276,54.1996
2023-06,239.5686,63.548
2023-07,222.4503,68.1942
2023-08,302.6059,64.7317
2023-09,276.2333,56.2636
2023-10,306.6512,52.2886
2023-11,342.2953,65.5989
2023-12,370.2865,72.448
2024-01,412.3493,74.4576
2024-02,445.162,82.7177
2024-03,464.856,89.0282
2024-04,395.6333,80.6052
2024-05,470.4535,88.8335
2024-06,566.2442,96.0415
2024-07,553.3231,97.3583
2024-08,560.794,101.128
2024-09,611.9048,105.7758
2024-10,610.956,102.865
2024-11,640.5875,113.7798
2024-12,700.3574,107.7813
2025-01,727.6859,112.3595
2025-02,563.0481,108.6721
2025-03,447.9056,96.0839
2025-04,477.5102,93.6359
2025-05,503.6683,104.9003
2025-06,607.6069,114.5225
2025-07,745.8683,118.4064
2025-08,830.2708,121.8959
2025-09,885.0944,128.6764
2025-10,957.9329,133.0211
2025-11,770.0735,132.409
2025-12,765.984,131.4906
2026-01,829.9058,133.7386
2026-02,769.4487,130.7823
2026-03,793.7726,126.4154
