Date,rate_AMD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.3401,-1.8027
2016-03,22.2409,4.5695
2016-04,45.5221,3.6217
2016-05,75.5653,4.6859
2016-06,83.8758,4.2011
2016-07,129.6368,7.3141
2016-08,130.6658,6.5393
2016-09,101.9149,5.8417
2016-10,100.5969,3.4057
2016-11,136.1359,7.0013
2016-12,186.7252,8.6582
2017-01,149.0742,9.9058
2017-02,231.0096,13.4199
2017-03,217.3476,12.5861
2017-04,177.6774,12.9516
2017-05,124.7394,13.7442
2017-06,143.0543,14.6714
2017-07,156.8405,16.2352
2017-08,137.8081,15.7466
2017-09,126.7352,17.3266
2017-10,90.4864,19.2474
2017-11,84.9313,22.0133
2017-12,71.298,22.6523
2018-01,125.107,28.4864
2018-02,94.3001,22.6807
2018-03,58.424,18.8927
2018-04,69.238,18.6249
2018-05,110.427,20.8091
2018-06,125.5383,20.9812
2018-07,170.8129,24.5763
2018-08,264.4587,27.7899
2018-09,337.4088,27.6747
2018-10,152.0409,18.1983
2018-11,189.3719,19.8597
2018-12,146.2448,8.8011
2019-01,220.3499,17.1215
2019-02,203.2046,20.4441
2019-03,223.1694,22.1999
2019-04,243.7535,26.5012
2019-05,235.1929,17.9266
2019-06,265.1695,25.7011
2019-07,259.8861,26.9004
2019-08,265.6479,24.2426
2019-09,231.6187,26.142
2019-10,282.2297,28.3311
2019-11,334.0187,32.3256
2019-12,400.2269,35.5485
2020-01,404.2872,34.7719
2020-02,380.1594,23.2511
2020-03,372.7053,7.5779
2020-04,436.3396,21.2186
2020-05,442.4132,26.5774
2020-06,422.4123,28.3766
2020-07,657.5178,35.3325
2020-08,774.7031,44.0777
2020-09,677.3864,37.914
2020-10,603.0954,33.7633
2020-11,752.6775,47.7098
2020-12,731.5216,52.3667
2021-01,665.2974,49.9654
2021-02,644.578,53.2453
2021-03,582.1,60.4049
2021-04,599.6956,67.83
2021-05,577.4458,67.8968
2021-06,684.3087,70.6358
2021-07,775.1123,73.7106
2021-08,800.553,77.7187
2021-09,726.185,68.3779
2021-10,853.1947,79.119
2021-11,1139.6341,76.6949
2021-12,1012.0823,83.6042
2022-01,771.9846,72.9303
2022-02,830.0528,66.8181
2022-03,714.7902,72.1992
2022-04,529.9769,56.2223
2022-05,642.1214,55.8933
2022-06,450.9917,42.4002
2022-07,573.6531,54.8512
2022-08,498.7496,47.8158
2022-09,342.4612,33.7039
2022-10,315.4666,44.0824
2022-11,432.0602,51.4429
2022-12,339.6546,42.1877
2023-01,405.449,50.5828
2023-02,423.4434,46.2373
2023-03,546.7739,52.2586
2023-04,484.1061,54.0684
2023-05,665.345,54.1996
2023-06,630.3781,63.548
2023-07,626.5621,68.1942
2023-08,565.1212,64.7317
2023-09,540.935,56.2636
2023-10,508.4974,52.2886
2023-11,641.7575,65.5989
2023-12,794.2933,72.448
2024-01,907.9938,74.4576
2024-02,1046.6361,82.7177
2024-03,964.9996,89.0282
2024-04,826.0773,80.6052
2024-05,867.3699,88.8335
2024-06,831.9264,96.0415
2024-07,722.918,97.3583
2024-08,739.0989,101.128
2024-09,818.9719,105.7758
2024-10,700.1582,102.865
2024-11,655.6825,113.7798
2024-12,560.0735,107.7813
2025-01,528.697,112.3595
2025-02,437.3411,108.6721
2025-03,448.7793,96.0839
2025-04,416.2001,93.6359
2025-05,482.9523,104.9003
2025-06,641.5927,114.5225
2025-07,814.5022,118.4064
2025-08,737.0996,121.8959
2025-09,726.5091,128.6764
2025-10,1198.5462,133.0211
2025-11,994.3569,132.409
2025-12,969.2414,131.4906
2026-01,1073.0551,133.7386
2026-02,884.683,130.7823
2026-03,832.2896,127.7382
