Date,rate_QLD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.4862,-0.6039
2016-03,7.8918,5.2168
2016-04,-1.6139,3.9893
2016-05,6.7621,4.6886
2016-06,0.2373,4.1237
2016-07,14.5848,7.1795
2016-08,14.7237,6.3603
2016-09,17.6368,5.6281
2016-10,12.3016,3.196
2016-11,11.9061,6.7601
2016-12,13.465,8.3626
2017-01,25.1221,10.2536
2017-02,33.8251,13.6522
2017-03,36.2647,12.7005
2017-04,40.947,12.9818
2017-05,48.7877,13.693
2017-06,38.3304,13.5288
2017-07,47.4594,15.0481
2017-08,50.0917,14.5515
2017-09,46.6498,16.1037
2017-10,57.5725,17.9557
2017-11,60.6829,20.6805
2017-12,59.4734,21.3029
2018-01,87.9153,28.0338
2018-02,77.9883,22.1441
2018-03,59.7787,18.3021
2018-04,58.1079,18.0902
2018-05,73.4208,20.2208
2018-06,73.5834,20.3415
2018-07,79.599,23.8746
2018-08,97.7325,27.0072
2018-09,96.0966,27.7347
2018-10,58.7216,18.1437
2018-11,54.9481,19.7418
2018-12,25.7579,8.5778
2019-01,48.175,17.1263
2019-02,55.0196,20.3748
2019-03,64.9668,22.0514
2019-04,80.755,26.2651
2019-05,49.186,17.5943
2019-06,70.6323,25.308
2019-07,76.0193,26.4355
2019-08,65.9293,23.7232
2019-09,68.1893,26.1617
2019-10,80.6033,28.2707
2019-11,92.9846,32.1761
2019-12,105.2943,35.3247
2020-01,116.8298,35.2749
2020-02,88.8901,23.5454
2020-03,47.2671,7.7105
2020-04,91.2134,21.425
2020-05,112.8551,26.7132
2020-06,136.4364,28.4357
2020-07,168.3665,35.3124
2020-08,225.2643,43.9511
2020-09,182.2517,37.6938
2020-10,159.9829,33.4637
2020-11,214.9797,47.2943
2020-12,241.4948,51.8455
2021-01,242.2661,50.305
2021-02,235.3404,53.4604
2021-03,238.687,59.4101
2021-04,274.038,66.6882
2021-05,258.9252,66.6274
2021-06,299.7353,69.2184
2021-07,316.6619,72.1455
2021-08,345.9841,75.992
2021-09,290.0627,66.6118
2021-10,347.7639,77.1553
2021-11,358.3722,74.6519
2021-12,360.1944,81.397
2022-01,276.5015,70.7122
2022-02,236.7868,64.6001
2022-03,259.592,69.8532
2022-04,163.2138,54.0273
2022-05,148.4267,53.6333
2022-06,101.3346,40.2902
2022-07,151.1176,52.5094
2022-08,121.9958,45.531
2022-09,74.204,31.5965
2022-10,84.5768,41.7445
2022-11,101.4183,48.9584
2022-12,63.9445,39.838
2023-01,98.5954,48.5632
2023-02,93.8113,44.2258
2023-03,128.826,48.9578
2023-04,127.9949,50.6836
2023-05,160.9148,50.7741
2023-06,190.8041,59.884
2023-07,209.3288,64.3798
2023-08,194.6149,60.953
2023-09,162.5359,52.6248
2023-10,147.7412,48.7132
2023-11,199.5806,61.6976
2023-12,229.1795,68.3392
2024-01,238.6982,71.0275
2024-02,269.6568,79.0476
2024-03,272.9933,83.99
2024-04,235.4707,75.7344
2024-05,274.0498,83.6813
2024-06,316.0395,89.2836
2024-07,294.8753,90.5002
2024-08,296.0858,94.0822
2024-09,313.3187,98.2932
2024-10,300.2306,95.412
2024-11,337.2354,105.8418
2024-12,334.1322,99.9875
2025-01,349.243,105.351
2025-02,318.9887,101.7087
2025-03,251.0337,89.4719
2025-04,247.3509,87.0451
2025-05,307.7796,97.8575
2025-06,355.414,107.0685
2025-07,371.4449,110.7404
2025-08,373.4688,114.0337
2025-09,422.9411,121.6081
2025-10,465.3817,125.7153
2025-11,439.0282,125.0226
2025-12,424.5358,124.0393
2026-01,434.2195,127.2713
2026-02,416.3182,126.799
