Date,rate_DOT-USD_5D,rate_VOO_20D
2020-08,0.0,0.0
2020-09,9.5198,-1.5919
2020-10,2.287,-5.7426
2020-11,30.3972,8.2038
2020-12,116.6712,12.8607
2021-01,245.4477,10.4594
2021-02,546.3917,13.7394
2021-03,536.1348,20.8989
2021-04,468.8125,28.3241
2021-05,234.7503,28.3908
2021-06,119.6055,31.1298
2021-07,115.9467,34.2047
2021-08,285.3377,38.2128
2021-09,231.1436,28.8719
2021-10,370.9989,39.613
2021-11,296.9387,37.1889
2021-12,167.3182,44.0983
2022-01,87.2943,33.4243
2022-02,78.1446,27.3121
2022-03,95.9549,32.6933
2022-04,30.3797,16.7164
2022-05,-8.0542,16.3873
2022-06,-37.0011,2.8942
2022-07,-20.527,15.3452
2022-08,-34.5402,8.3098
2022-09,-40.0419,-5.8021
2022-10,-35.4665,4.5764
2022-11,-45.6012,11.9369
2022-12,-55.8126,2.6818
2023-01,-33.2581,11.0769
2023-02,-31.4161,6.7313
2023-03,-30.5676,12.7527
2023-04,-34.543,14.5625
2023-05,-39.9796,14.6937
2023-06,-40.458,24.0421
2023-07,-40.1672,28.6882
2023-08,-49.1067,25.2258
2023-09,-49.7806,16.7576
2023-10,-44.28,12.7827
2023-11,-30.4248,26.093
2023-12,5.3538,32.942
2024-01,-14.5971,34.9516
2024-02,6.2633,43.2117
2024-03,23.8137,49.5222
2024-04,-17.7769,41.0992
2024-05,-10.2913,49.3275
2024-06,-20.0993,56.5355
2024-07,-30.3507,57.8524
2024-08,-44.4009,61.6221
2024-09,-41.0536,66.2698
2024-10,-46.5932,63.3591
2024-11,23.0044,74.2739
2024-12,-9.3326,68.2753
2025-01,-13.5872,72.8536
2025-02,-35.2415,69.1661
2025-03,-44.1577,56.5779
2025-04,-42.8084,54.1299
2025-05,-41.9211,65.3944
2025-06,-51.014,75.0166
2025-07,-45.8718,78.9004
2025-08,-44.2626,82.3899
2025-09,-41.0296,89.1704
2025-10,-56.0558,93.5152
2025-11,-65.5116,92.903
2025-12,-71.2473,91.9846
2026-01,-74.3768,94.2326
2026-02,-71.032,91.2764
2026-03,-77.3941,78.1038
2026-04,-77.1861,99.8803
2026-05,-76.4209,111.3315
2026-06,-82.8875,107.0172
2026-07,-83.1116,105.8077
2026-08,-81.992,113.0682
