Date,rate_MSFT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.3269,-1.8027
2016-03,2.68,4.5695
2016-04,-7.9254,3.6217
2016-05,0.1509,4.6859
2016-06,-3.2719,4.2011
2016-07,7.5887,7.3141
2016-08,8.7997,6.5393
2016-09,8.0567,5.8417
2016-10,11.5657,3.4057
2016-11,11.8726,7.0013
2016-12,14.4882,8.6582
2017-01,17.9303,9.9058
2017-02,16.2676,13.4199
2017-03,18.445,12.5861
2017-04,21.9072,12.9516
2017-05,23.6475,13.7442
2017-06,20.7243,14.6714
2017-07,26.1613,16.2352
2017-08,29.0804,15.7466
2017-09,27.277,17.3266
2017-10,40.6917,19.2474
2017-11,41.2704,22.0133
2017-12,41.811,22.6523
2018-01,55.6313,28.4864
2018-02,52.1992,22.6807
2018-03,46.3093,18.8927
2018-04,48.2152,18.6249
2018-05,55.468,20.8091
2018-06,53.1838,20.9812
2018-07,62.9142,24.5763
2018-08,71.0508,27.7899
2018-09,71.9574,27.6747
2018-10,58.6014,18.1983
2018-11,63.6044,19.8597
2018-12,48.245,8.8011
2019-01,51.0689,17.1215
2019-02,61.3068,20.4441
2019-03,68.1305,22.1999
2019-04,84.2533,26.5012
2019-05,73.2483,17.9266
2019-06,85.7486,25.7011
2019-07,86.8907,26.9004
2019-08,87.6643,24.2426
2019-09,87.2886,26.142
2019-10,91.2084,28.3311
2019-11,100.5017,32.3256
2019-12,106.6761,35.5485
2020-01,120.7366,34.7719
2020-02,108.4534,23.2511
2020-03,100.854,7.5779
2020-04,126.061,21.2186
2020-05,129.4095,26.5774
2020-06,152.0803,28.3766
2020-07,151.1397,35.3325
2020-08,173.9021,44.0777
2020-09,152.5922,37.914
2020-10,140.6232,33.7633
2020-11,152.5226,47.7098
2020-12,159.6964,52.3667
2021-01,168.0887,49.9654
2021-02,166.4471,53.2453
2021-03,167.603,60.4049
2021-04,183.353,67.83
2021-05,178.3773,67.8968
2021-06,199.1009,70.6358
2021-07,211.4313,73.7106
2021-08,227.2701,77.7187
2021-09,202.5696,68.3779
2021-10,252.3981,79.119
2021-11,248.4219,76.6949
2021-12,250.951,83.6042
2022-01,221.3402,72.9303
2022-02,206.5224,66.8181
2022-03,213.466,72.1992
2022-04,179.6603,56.2223
2022-05,172.3035,55.8933
2022-06,155.1661,42.4002
2022-07,176.7348,54.8512
2022-08,156.3088,47.8158
2022-09,126.6265,33.7039
2022-10,124.3383,44.0824
2022-11,145.579,51.4429
2022-12,129.2216,42.1877
2023-01,135.2777,50.5828
2023-02,135.8386,46.2373
2023-03,170.7651,52.2586
2023-04,186.4917,54.0684
2023-05,204.5702,54.1996
2023-06,213.4512,63.548
2023-07,206.8866,68.1942
2023-08,197.8557,64.7317
2023-09,184.9021,56.2636
2023-10,202.9636,52.2886
2023-11,237.7246,65.5989
2023-12,232.7321,72.448
2024-01,249.2305,74.4576
2024-02,261.3169,82.7177
2024-03,264.8051,89.0282
2024-04,235.1541,80.6052
2024-05,255.4947,88.8335
2024-06,280.0362,96.0415
2024-07,253.169,97.3583
2024-08,250.352,101.128
2024-09,258.9337,105.7758
2024-10,236.68,102.865
2024-11,249.2151,113.7798
2024-12,245.3026,107.7813
2025-01,237.8175,112.3595
2025-02,221.7222,108.6721
2025-03,202.3469,96.0839
2025-04,216.4179,93.6359
2025-05,266.8434,104.9003
2025-06,293.8169,114.5225
2025-07,319.6412,118.4064
2025-08,296.6105,121.8959
2025-09,302.8231,128.6764
2025-10,300.1457,133.0211
2025-11,278.5271,132.409
2025-12,269.8115,131.4906
2026-01,227.0773,133.7386
2026-02,196.8689,130.7823
2026-03,204.388,126.4154
