Date,rate_HAS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,12.1191,-3.7423
2016-03,11.2824,0.3764
2016-04,9.9173,5.1946
2016-05,15.4971,3.5695
2016-06,15.6699,4.8356
2016-07,8.8635,4.3651
2016-08,4.544,7.2005
2016-09,4.7329,6.5176
2016-10,1.2725,5.8316
2016-11,6.7574,2.6321
2016-12,8.611,6.5262
2017-01,-0.2451,8.6002
2017-02,5.9862,9.8701
2017-03,25.8565,14.9815
2017-04,26.5217,12.5254
2017-05,24.2699,13.1716
2017-06,31.7767,14.581
2017-07,36.8024,14.626
2017-08,30.2039,16.4591
2017-09,19.4437,15.9061
2017-10,17.7056,17.2911
2017-11,8.9612,19.4181
2017-12,10.2106,21.7575
2018-01,8.6454,22.6249
2018-02,14.7535,28.3844
2018-03,12.5835,21.0506
2018-04,0.1185,18.8566
2018-05,4.5284,18.843
2018-06,4.0098,22.0592
2018-07,10.0987,20.962
2018-08,18.2602,24.4135
2018-09,18.2693,27.7869
2018-10,25.2749,28.1445
2018-11,15.68,19.3954
2018-12,7.4914,19.8359
2019-01,-4.2138,8.7501
2019-02,7.8889,17.203
2019-03,4.4042,21.2677
2019-04,1.5162,23.6016
2019-05,21.7165,25.5902
2019-06,12.9338,17.8911
2019-07,25.9763,26.7327
2019-08,36.0786,25.8061
2019-09,30.12,24.2046
2019-10,37.2175,24.595
2019-11,13.1321,29.5299
2019-12,19.0048,32.3145
2020-01,23.1668,35.5516
2020-02,19.1371,34.7733
2020-03,-9.9484,23.2161
2020-04,-18.1314,2.6957
2020-05,-18.5707,17.923
2020-06,-13.5469,27.1545
2020-07,-10.8756,29.2791
2020-08,-11.3613,35.3897
2020-09,0.8282,45.4969
2020-10,2.1035,38.8421
2020-11,4.2926,33.8054
2020-12,21.1861,49.4413
2021-01,17.5024,52.4925
2021-02,19.0935,52.5474
2021-03,19.6643,57.1165
2021-04,19.8528,62.2404
2021-05,26.2406,68.0147
2021-06,22.6958,67.9506
2021-07,21.1424,71.7835
2021-08,28.6067,73.9065
2021-09,27.4214,78.108
2021-10,14.4809,70.559
2021-11,24.4057,79.7147
2021-12,26.2922,74.8714
2022-01,32.5958,83.8439
2022-02,23.6176,74.2485
2022-03,23.6745,64.4857
2022-04,9.8665,72.8765
2022-05,17.155,56.3809
2022-06,18.7739,54.7432
2022-07,7.7985,43.9638
2022-08,8.003,54.5402
2022-09,7.5731,48.4061
2022-10,-8.5538,33.808
2022-11,-10.7184,43.6413
2022-12,-13.0517,51.6237
2023-01,-15.9955,42.3283
2023-02,-15.9051,52.4008
2023-03,-23.7807,45.8599
2023-04,-24.6177,52.4428
2023-05,-14.4041,54.1535
2023-06,-12.2282,55.8684
2023-07,-5.1365,63.7729
2023-08,-4.3777,67.9151
2023-09,7.88,65.3142
2023-10,-2.0537,56.4671
2023-11,-30.7832,54.158
2023-12,-26.7902,66.8181
2024-01,-22.5693,72.7134
2024-02,-22.9613,77.0248
2024-03,-22.265,84.7703
2024-04,-12.717,89.0895
2024-05,-5.1644,80.3005
2024-06,-5.9959,89.1407
2024-07,-9.4941,96.817
2024-08,2.3942,94.9948
2024-09,8.4328,101.4737
2024-10,15.8695,104.2286
2024-11,4.4946,104.0979
2024-12,4.4993,114.1559
2025-01,-10.359,108.1307
2025-02,-7.1672,112.719
2025-03,4.5734,109.0154
2025-04,0.8869,97.097
2025-05,-1.4445,95.2965
2025-06,9.4454,105.2137
2025-07,26.213,114.7559
2025-08,22.1224,115.142
2025-09,33.7595,122.2543
2025-10,23.8333,129.8729
2025-11,25.2721,133.4127
2025-12,36.6618,131.7276
2026-01,35.2165,131.8756
2026-02,36.3131,120.852
