Date,rate_MS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-12.2473,-1.8027
2016-03,-8.8469,4.5695
2016-04,0.9973,3.6217
2016-05,1.95,4.6859
2016-06,-3.5902,4.2011
2016-07,7.9122,7.3141
2016-08,19.3912,6.5393
2016-09,17.2882,5.8417
2016-10,21.7148,3.4057
2016-11,47.5618,7.0013
2016-12,46.5229,8.6582
2017-01,45.7806,9.9058
2017-02,53.1163,13.4199
2017-03,40.1709,12.5861
2017-04,40.0007,12.9516
2017-05,32.4342,13.7442
2017-06,39.3207,14.6714
2017-07,45.212,16.2352
2017-08,38.6486,15.7466
2017-09,44.7492,17.3266
2017-10,48.8699,19.2474
2017-11,51.4994,22.0133
2017-12,51.8099,22.6523
2018-01,62.0693,28.4864
2018-02,58.1142,22.6807
2018-03,50.334,18.8927
2018-04,44.1637,18.6249
2018-05,38.5364,20.8091
2018-06,29.691,20.9812
2018-07,38.1198,24.5763
2018-08,32.2756,27.7899
2018-09,25.2297,27.6747
2018-10,22.8546,18.1983
2018-11,18.7904,19.8597
2018-12,5.6547,8.8011
2019-01,13.3392,17.1215
2019-02,12.1726,20.4441
2019-03,12.4148,22.1999
2019-04,28.8554,26.5012
2019-05,8.1355,17.9266
2019-06,16.2097,25.7011
2019-07,18.7291,26.9004
2019-08,10.2752,24.2426
2019-09,13.1725,26.142
2019-10,22.8136,28.3311
2019-11,31.3387,32.3256
2019-12,35.0113,35.5485
2020-01,38.2072,34.7719
2020-02,18.4416,23.2511
2020-03,-10.8143,7.5779
2020-04,4.7303,21.2186
2020-05,17.3698,26.5774
2020-06,27.87,28.3766
2020-07,29.8397,35.3325
2020-08,38.2388,44.0777
2020-09,27.2746,37.914
2020-10,27.2369,33.7633
2020-11,62.7596,47.7098
2020-12,79.1756,52.3667
2021-01,74.947,49.9654
2021-02,99.1353,53.2453
2021-03,99.5459,60.4049
2021-04,111.3246,67.83
2021-05,130.9212,67.8968
2021-06,130.7794,70.6358
2021-07,141.2672,73.7106
2021-08,160.226,77.7187
2021-09,140.3326,68.3779
2021-10,153.4018,79.119
2021-11,131.7631,76.6949
2021-12,138.0211,83.6042
2022-01,151.709,72.9303
2022-02,120.8655,66.8181
2022-03,111.2346,72.1992
2022-04,95.1214,56.2223
2022-05,107.226,55.8933
2022-06,81.7931,42.4002
2022-07,102.1541,54.8512
2022-08,103.0737,47.8158
2022-09,87.0901,33.7039
2022-10,98.9312,44.0824
2022-11,123.8099,51.4429
2022-12,103.1222,42.1877
2023-01,132.9589,50.5828
2023-02,129.4133,46.2373
2023-03,107.3897,52.2586
2023-04,116.7173,54.0684
2023-05,95.8938,54.1996
2023-06,103.4914,63.548
2023-07,122.9805,68.1942
2023-08,106.1763,64.7317
2023-09,96.6523,56.2636
2023-10,71.6879,52.2886
2023-11,91.4723,65.5989
2023-12,123.8696,72.448
2024-01,110.283,74.4576
2024-02,106.2952,82.7177
2024-03,124.5729,89.0282
2024-04,117.4796,80.6052
2024-05,132.9459,88.8335
2024-06,130.1049,96.0415
2024-07,145.1602,97.3583
2024-08,144.7511,101.128
2024-09,144.8514,105.7758
2024-10,173.6732,102.865
2024-11,207.9488,113.7798
2024-12,192.3345,107.7813
2025-01,222.068,112.3595
2025-02,211.938,108.6721
2025-03,171.7554,96.0839
2025-04,169.4768,93.6359
2025-05,197.2002,104.9003
2025-06,225.0694,114.5225
2025-07,229.0729,118.4064
2025-08,245.5828,121.8959
2025-09,262.8284,128.6764
2025-10,274.3107,133.0211
2025-11,289.4392,132.409
2025-12,304.9903,131.4906
2026-01,318.9443,133.7386
2026-02,281.2908,130.7823
2026-03,266.2195,126.4154
