Date,rate_BKR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.7082,-1.8027
2016-03,-2.0455,4.5695
2016-04,9.1854,3.6217
2016-05,4.4888,4.6859
2016-06,0.967,4.2011
2016-07,6.5979,7.3141
2016-08,9.5973,6.5393
2016-09,11.315,5.8417
2016-10,20.9308,3.4057
2016-11,38.5614,7.0013
2016-12,36.7357,8.6582
2017-01,30.0282,9.9058
2017-02,22.6241,13.4199
2017-03,20.0197,12.5861
2017-04,17.8768,12.9516
2017-05,8.834,13.7442
2017-06,7.0477,14.6714
2017-07,6.4425,16.2352
2017-08,-0.8548,15.7466
2017-09,7.0643,17.3266
2017-10,-8.355,19.2474
2017-11,-11.4395,22.0133
2017-12,-5.444,22.6523
2018-01,-3.7004,28.4864
2018-02,-19.1826,22.6807
2018-03,-14.4005,18.8927
2018-04,11.938,18.6249
2018-05,7.4362,20.8091
2018-06,2.3248,20.9812
2018-07,7.0398,24.5763
2018-08,2.4372,27.7899
2018-09,5.0288,27.6747
2018-10,-17.1571,18.1983
2018-11,-28.0906,19.8597
2018-12,-31.5092,8.8011
2019-01,-23.9945,17.1215
2019-02,-12.5496,20.4441
2019-03,-7.8807,22.1999
2019-04,-19.997,26.5012
2019-05,-27.5976,17.9266
2019-06,-15.9701,25.7011
2019-07,-13.0504,26.9004
2019-08,-24.8229,24.2426
2019-09,-19.0071,26.142
2019-10,-24.8549,28.3311
2019-11,-20.1408,32.3256
2019-12,-8.2461,35.5485
2020-01,-21.6522,34.7719
2020-02,-40.316,23.2511
2020-03,-60.4942,7.5779
2020-04,-45.8168,21.2186
2020-05,-31.9964,26.5774
2020-06,-36.0037,28.3766
2020-07,-34.9322,35.3325
2020-08,-37.1451,44.0777
2020-09,-40.7835,37.914
2020-10,-33.3414,33.7633
2020-11,-12.3735,47.7098
2020-12,-2.3092,52.3667
2021-01,-5.8297,49.9654
2021-02,15.6596,53.2453
2021-03,1.85,60.4049
2021-04,-5.3881,67.83
2021-05,15.8933,67.8968
2021-06,8.3125,70.6358
2021-07,0.4454,73.7106
2021-08,8.5633,77.7187
2021-09,17.742,68.3779
2021-10,19.1238,79.119
2021-11,11.3424,76.6949
2021-12,14.6061,83.6042
2022-01,30.4633,72.9303
2022-02,41.7918,66.8181
2022-03,75.1738,72.1992
2022-04,48.4187,56.2223
2022-05,74.8325,55.8933
2022-06,39.3907,42.4002
2022-07,23.5985,54.8512
2022-08,22.1569,47.8158
2022-09,1.2024,33.7039
2022-10,33.4948,44.0824
2022-11,42.3314,51.4429
2022-12,44.2827,42.1877
2023-01,54.5127,50.5828
2023-02,51.1086,46.2373
2023-03,41.9096,52.2586
2023-04,43.294,54.0684
2023-05,36.8182,54.1996
2023-06,57.9497,63.548
2023-07,78.0981,68.1942
2023-08,80.2191,64.7317
2023-09,75.013,56.2636
2023-10,69.7791,52.2886
2023-11,68.6883,65.5989
2023-12,70.1036,72.448
2024-01,41.2502,74.4576
2024-02,47.2425,82.7177
2024-03,66.1151,89.0282
2024-04,61.112,80.6052
2024-05,67.8569,88.8335
2024-06,75.622,96.0415
2024-07,92.5374,97.3583
2024-08,75.151,101.128
2024-09,79.2914,105.7758
2024-10,88.0524,102.865
2024-11,117.1125,113.7798
2024-12,101.6321,107.7813
2025-01,125.9316,112.3595
2025-02,118.1698,108.6721
2025-03,113.9894,96.0839
2025-04,71.5485,93.6359
2025-05,79.9654,104.9003
2025-06,85.5001,114.5225
2025-07,117.0617,118.4064
2025-08,118.8636,121.8959
2025-09,133.7684,128.6764
2025-10,131.1616,133.0211
2025-11,139.6535,132.409
2025-12,116.363,131.4906
2026-01,165.0376,133.7386
2026-02,207.0491,130.7823
2026-03,192.6437,127.7382
