Date,rate_ALL_5D,rate_VOO_20D
2016-01,3.8106,1.4254
2016-02,7.2029,0.6142
2016-03,7.3431,6.1243
2016-04,1.5463,4.6014
2016-05,4.2287,5.2878
2016-06,7.6372,4.687
2016-07,4.1429,7.7174
2016-08,4.9104,6.8637
2016-09,4.7307,5.9421
2016-10,2.3198,3.4868
2016-11,5.5787,6.843
2016-12,11.0905,8.2789
2017-01,11.8068,9.3935
2017-02,22.8219,12.821
2017-03,20.2638,12.0413
2017-04,18.7164,12.4367
2017-05,24.895,13.2406
2017-06,26.9867,14.1802
2017-07,29.1519,15.6892
2017-08,27.4911,15.2834
2017-09,28.0969,16.8657
2017-10,29.5035,18.7799
2017-11,40.6959,21.509
2017-12,41.7532,22.1709
2018-01,32.2212,27.9258
2018-02,22.5025,22.2578
2018-03,26.4792,18.4465
2018-04,27.6383,18.162
2018-05,21.7068,20.337
2018-06,18.114,20.5057
2018-07,22.4609,24.0401
2018-08,29.3239,27.2093
2018-09,26.0214,27.1082
2018-10,18.4001,17.9327
2018-11,10.8392,19.5577
2018-12,2.4064,8.5722
2019-01,8.8324,16.8959
2019-02,17.0538,20.2219
2019-03,16.3815,21.9603
2019-04,21.8915,26.2654
2019-05,16.2765,20.4953
2019-06,21.3698,25.3574
2019-07,25.0669,26.514
2019-08,19.3253,24.0717
2019-09,26.1403,25.9454
2019-10,22.964,27.4086
2019-11,29.2652,31.384
2019-12,29.92,34.5804
2020-01,36.3103,33.8021
2020-02,35.2617,22.3336
2020-03,32.949,15.1867
2020-04,46.5763,29.6272
2020-05,44.6889,28.2305
2020-06,40.9401,28.0341
2020-07,42.7359,33.4885
2020-08,41.3704,42.106
2020-09,36.9593,38.2475
2020-10,28.7031,34.0563
2020-11,50.1272,42.9575
2020-12,53.546,47.5016
2021-01,47.0738,45.1166
2021-02,45.9886,43.0879
2021-03,54.12,49.8512
2021-04,68.7654,56.911
2021-05,81.3062,54.6413
2021-06,77.5255,57.2758
2021-07,75.8127,60.2291
2021-08,82.8101,64.0213
2021-09,70.9993,55.5224
2021-10,65.1236,65.5435
2021-11,45.5164,65.5034
2021-12,56.7706,68.4598
2022-01,60.122,58.7763
2022-02,61.9801,53.2596
2022-03,74.9238,58.2953
2022-04,68.2695,52.2757
2022-05,76.2794,51.0659
2022-06,63.5894,38.0304
2022-07,50.218,50.1558
2022-08,55.2001,43.3725
2022-09,58.8833,29.6913
2022-10,51.3508,39.7003
2022-11,60.2592,46.8631
2022-12,60.945,40.5677
2023-01,57.5105,48.7988
2023-02,58.9203,45.5387
2023-03,57.7,49.6635
2023-04,64.0154,48.4614
2023-05,52.9797,48.1923
2023-06,54.3878,57.2072
2023-07,58.9223,61.7125
2023-08,54.9856,59.5229
2023-09,59.4974,51.3631
2023-10,72.6965,47.5518
2023-11,83.2099,60.474
2023-12,85.0613,67.125
2024-01,104.2665,69.1001
2024-02,108.7634,77.1309
2024-03,129.0678,83.2841
2024-04,120.3561,75.177
2024-05,117.0415,83.1784
2024-06,108.0183,90.182
2024-07,119.952,90.9416
2024-08,128.4084,97.1965
2024-09,123.2891,98.31
2024-10,117.2383,95.5089
2024-11,135.0986,105.9957
2024-12,118.3674,100.2436
2025-01,116.7622,104.6582
2025-02,123.3485,101.1287
2025-03,132.2263,89.045
2025-04,130.8882,88.6819
2025-05,143.0231,99.6712
2025-06,134.269,109.046
2025-07,135.9628,112.823
2025-08,138.499,112.1707
2025-09,151.5201,118.6779
2025-10,123.2849,122.8639
2025-11,147.1511,122.3204
2025-12,141.485,121.4705
2026-01,129.7382,123.6468
2026-02,146.5187,120.852
