Date,rate_EQT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.3708,-0.6039
2016-03,12.9848,5.2168
2016-04,14.4064,3.9893
2016-05,16.6921,4.6886
2016-06,20.3121,4.1237
2016-07,10.1049,7.1795
2016-08,7.129,6.3603
2016-09,7.9061,5.6281
2016-10,-2.8048,3.196
2016-11,3.5565,6.7601
2016-12,-3.8524,8.3626
2017-01,-10.8417,10.2536
2017-02,-11.1636,13.6522
2017-03,-8.7281,12.7005
2017-04,-12.6048,12.9818
2017-05,-16.1897,13.693
2017-06,-10.2805,13.5288
2017-07,-1.9911,15.0481
2017-08,-4.0244,14.5515
2017-09,0.5984,16.1037
2017-10,-3.6199,17.9557
2017-11,-7.9753,20.6805
2017-12,-11.7966,21.3029
2018-01,-15.8676,28.0338
2018-02,-21.3704,22.1441
2018-03,-24.9414,18.3021
2018-04,-19.5858,18.0902
2018-05,-16.7006,20.2208
2018-06,-10.2308,20.3415
2018-07,-18.8308,23.8746
2018-08,-15.9821,27.0072
2018-09,-27.157,27.7347
2018-10,-43.3819,18.1437
2018-11,-41.4405,19.7418
2018-12,-39.6571,8.5778
2019-01,-37.8047,17.1263
2019-02,-41.1187,20.3748
2019-03,-31.5117,22.0514
2019-04,-31.5944,26.2651
2019-05,-37.9857,17.5943
2019-06,-45.5805,25.308
2019-07,-46.9231,26.4355
2019-08,-63.3175,23.7232
2019-09,-61.6232,26.1617
2019-10,-59.6516,28.2707
2019-11,-66.0227,32.1761
2019-12,-55.5778,35.3247
2020-01,-75.3387,35.2749
2020-02,-74.3661,23.5454
2020-03,-67.2411,7.7105
2020-04,-29.5496,21.425
2020-05,-34.9896,26.7132
2020-06,-41.2966,28.4357
2020-07,-27.2609,35.3124
2020-08,-20.0768,43.9511
2020-09,-34.5382,37.6938
2020-10,-22.5406,33.4637
2020-11,-23.5008,47.2943
2020-12,-34.2475,51.8455
2021-01,-15.6275,50.305
2021-02,-7.7544,53.4604
2021-03,-3.5893,59.4101
2021-04,-0.872,66.6882
2021-05,8.3099,66.6274
2021-06,15.2345,69.2184
2021-07,-5.0073,72.1455
2021-08,-5.1625,75.992
2021-09,5.9013,66.6118
2021-10,2.9442,77.1553
2021-11,0.3584,74.6519
2021-12,12.7333,81.397
2022-01,9.643,70.7122
2022-02,19.8333,64.6001
2022-03,77.5785,69.8532
2022-04,103.7493,54.0273
2022-05,143.463,53.6333
2022-06,74.0001,40.2902
2022-07,121.3881,52.5094
2022-08,139.3352,45.531
2022-09,102.4871,31.5965
2022-10,106.4592,41.7445
2022-11,108.6165,48.9584
2022-12,65.3193,39.838
2023-01,59.6519,48.5632
2023-02,62.1336,44.2258
2023-03,55.1553,48.9578
2023-04,68.6451,50.6836
2023-05,68.1972,50.7741
2023-06,97.9434,59.884
2023-07,101.7927,64.3798
2023-08,106.2477,60.953
2023-09,92.4293,52.6248
2023-10,99.883,48.7132
2023-11,88.1149,61.6976
2023-12,81.0048,68.3392
2024-01,65.7421,71.0275
2024-02,73.9011,79.0476
2024-03,72.705,83.99
2024-04,85.9012,75.7344
2024-05,90.3456,83.6813
2024-06,70.4286,89.2836
2024-07,58.3493,90.5002
2024-08,53.9097,94.0822
2024-09,68.2154,98.2932
2024-10,67.0579,95.412
2024-11,107.6244,105.8418
2024-12,109.598,99.9875
2025-01,132.3679,105.351
2025-02,118.3907,101.7087
2025-03,140.8915,89.4719
2025-04,121.5991,87.0451
2025-05,146.4489,97.8575
2025-06,159.1465,107.0685
2025-07,137.4693,110.7404
2025-08,128.4837,114.0337
2025-09,139.8625,121.6081
2025-10,134.7603,125.7153
2025-11,165.8957,125.0226
2025-12,132.8267,124.0393
2026-01,150.7654,127.2713
2026-02,160.6173,125.3185
