Date,rate_O_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,10.9656,-3.7423
2016-03,10.601,0.3764
2016-04,13.6176,5.1946
2016-05,5.1414,3.5695
2016-06,8.3937,4.8356
2016-07,22.7818,4.3651
2016-08,24.1463,7.2005
2016-09,10.7094,6.5176
2016-10,11.8269,5.8316
2016-11,-3.5553,2.6321
2016-12,-10.0255,6.5262
2017-01,-2.0809,8.6002
2017-02,-0.1527,9.8701
2017-03,4.1335,14.9815
2017-04,2.3788,12.5254
2017-05,1.3667,13.1716
2017-06,-4.0043,14.581
2017-07,-4.0441,14.626
2017-08,1.7328,16.4591
2017-09,2.2246,15.9061
2017-10,2.0535,17.2911
2017-11,-3.4792,19.4181
2017-12,-0.0489,21.7575
2018-01,4.1265,22.6249
2018-02,-5.5444,28.3844
2018-03,-8.5668,21.0506
2018-04,-2.7055,18.8566
2018-05,-3.2353,18.843
2018-06,0.8094,22.0592
2018-07,3.4578,20.962
2018-08,7.9719,24.4135
2018-09,13.5497,27.7869
2018-10,11.4606,28.1445
2018-11,20.5636,19.3954
2018-12,26.5253,19.8359
2019-01,25.0253,8.7501
2019-02,34.2389,17.203
2019-03,36.3542,21.2677
2019-04,43.7784,23.6016
2019-05,37.7679,25.5902
2019-06,37.8839,17.8911
2019-07,34.7445,26.7327
2019-08,37.6081,25.8061
2019-09,46.2134,24.2046
2019-10,52.0359,24.595
2019-11,59.6741,29.5299
2019-12,51.0386,32.3145
2020-01,44.9931,35.5516
2020-02,54.3368,34.7733
2020-03,43.303,23.2161
2020-04,-8.0971,2.6957
2020-05,3.0566,17.923
2020-06,13.8929,27.1545
2020-07,23.1818,29.2791
2020-08,21.6086,35.3897
2020-09,27.0095,45.4969
2020-10,26.6627,38.8421
2020-11,18.6668,33.8054
2020-12,23.96,49.4413
2021-01,28.2045,52.4925
2021-02,26.0239,52.5474
2021-03,27.8027,57.1165
2021-04,37.5349,62.2404
2021-05,46.4322,68.0147
2021-06,48.6128,67.9506
2021-07,43.4713,71.7835
2021-08,51.23,73.9065
2021-09,55.5173,78.108
2021-10,41.1989,70.559
2021-11,51.8101,79.7147
2021-12,45.5848,74.8714
2022-01,58.5036,83.8439
2022-02,53.3691,74.2485
2022-03,45.882,64.4857
2022-04,57.0254,72.8765
2022-05,54.5121,56.3809
2022-06,51.5106,54.7432
2022-07,55.9845,43.9638
2022-08,64.7123,54.5402
2022-09,52.8388,48.4061
2022-10,30.4987,33.808
2022-11,40.199,43.6413
2022-12,41.6168,51.6237
2023-01,44.191,42.3283
2023-02,54.9207,52.4008
2023-03,44.9072,45.8599
2023-04,45.0939,52.4428
2023-05,44.4422,54.1535
2023-06,37.5912,55.8684
2023-07,39.6309,63.7729
2023-08,42.6899,67.9151
2023-09,32.1056,65.3142
2023-10,18.8829,56.4671
2023-11,14.6535,54.158
2023-12,30.8789,66.8181
2024-01,39.7567,72.7134
2024-02,34.701,77.0248
2024-03,27.6511,84.7703
2024-04,32.8512,89.0895
2024-05,34.2965,80.3005
2024-06,31.8188,89.1407
2024-07,31.0747,96.817
2024-08,45.5386,94.9948
2024-09,55.3544,101.4737
2024-10,58.3585,104.2286
2024-11,48.147,104.0979
2024-12,46.5365,114.1559
2025-01,35.463,108.1307
2025-02,38.9161,112.719
2025-03,45.291,109.0154
2025-04,46.5505,97.097
2025-05,46.8716,95.2965
2025-06,45.0463,105.2137
2025-07,49.0393,114.7559
2025-08,46.1398,115.142
2025-09,52.7686,122.2543
2025-10,58.1193,129.8729
2025-11,52.5667,133.4127
2025-12,53.5133,131.7276
2026-01,51.6778,131.8756
2026-02,94.4874,120.852
