Date,rate_ETH-USD_5D,rate_VOO_20D
2017-11,16.3634,3.0582
2017-12,79.5379,3.7201
2018-01,115.4838,9.475
2018-02,33.9859,3.807
2018-03,-41.1456,-0.0043
2018-04,10.3017,-0.2888
2018-05,-6.3465,1.8862
2018-06,-26.094,2.0549
2018-07,-27.2057,5.5893
2018-08,-47.1436,8.7585
2018-09,-53.2996,8.6574
2018-10,-56.0071,-0.5181
2018-11,-60.8367,1.1069
2018-12,-35.2985,-9.8786
2019-01,-46.5051,-1.5549
2019-02,-28.784,1.7711
2019-03,-27.5653,3.5095
2019-04,-15.2601,7.8146
2019-05,36.3506,2.0445
2019-06,42.9561,6.9066
2019-07,7.1757,8.0632
2019-08,-16.8063,5.6209
2019-09,-17.2163,7.4946
2019-10,-16.6088,8.9578
2019-11,-30.3071,12.9332
2019-12,-39.7226,16.1296
2020-01,-14.2208,15.3513
2020-02,18.5585,3.8828
2020-03,5.0483,-3.2641
2020-04,62.7281,11.1764
2020-05,63.3247,9.7797
2020-06,60.2818,9.5833
2020-07,129.6057,15.0377
2020-08,158.6795,23.6552
2020-09,100.9738,19.7967
2020-10,112.0152,15.6055
2020-11,178.0487,24.5067
2020-12,170.1399,29.0508
2021-01,326.1265,26.6658
2021-02,345.8132,24.6371
2021-03,357.8099,31.4004
2021-04,548.6069,38.4602
2021-05,626.9926,36.1905
2021-06,480.644,38.825
2021-07,535.704,41.7783
2021-08,672.8526,45.5705
2021-09,545.9357,37.0716
2021-10,728.0011,47.0927
2021-11,697.7487,47.0526
2021-12,519.6677,50.009
2022-01,345.0718,40.3255
2022-02,358.0104,34.8088
2022-03,370.059,39.8445
2022-04,334.3567,33.8249
2022-05,271.6934,32.6151
2022-06,103.7203,19.5796
2022-07,218.0703,31.705
2022-08,190.4578,24.9217
2022-09,145.433,11.2405
2022-10,187.8231,21.2495
2022-11,154.1107,28.4123
2022-12,127.9938,22.1169
2023-01,199.3155,30.348
2023-02,183.433,27.0879
2023-03,205.8625,31.2127
2023-04,219.2574,30.0106
2023-05,220.7205,29.7415
2023-06,227.468,38.7564
2023-07,211.2576,43.2617
2023-08,170.7632,41.0721
2023-09,172.5323,32.9123
2023-10,184.4693,29.101
2023-11,218.5835,42.0232
2023-12,250.7255,48.6742
2024-01,247.3877,50.6493
2024-02,403.7687,58.6801
2024-03,444.1222,64.8333
2024-04,304.3587,56.7262
2024-05,399.8492,64.7276
2024-06,351.7866,71.7312
2024-07,324.5803,72.4908
2024-08,282.3368,78.7457
2024-09,292.4408,79.8592
2024-10,232.702,77.0581
2024-11,338.3851,87.5449
2024-12,290.7012,81.7928
2025-01,283.2898,86.2074
2025-02,158.0538,82.6779
2025-03,148.0339,70.5942
2025-04,142.3607,70.2311
2025-05,239.4638,81.2204
2025-06,233.4777,90.5952
2025-07,394.5931,94.3722
2025-08,392.0235,93.7199
2025-09,336.9002,100.2271
2025-10,283.7897,104.4131
2025-11,196.2151,103.8696
2025-12,191.8156,103.0197
2026-01,163.7619,105.196
2026-02,87.1101,102.4012
