Date,rate_WM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.4429,-3.7423
2016-03,7.8353,0.3764
2016-04,9.8551,5.1946
2016-05,6.6763,3.5695
2016-06,9.9789,4.8356
2016-07,18.0485,4.3651
2016-08,15.4733,7.2005
2016-09,9.2916,6.5176
2016-10,8.5356,5.8316
2016-11,7.9923,2.6321
2016-12,16.9005,6.5262
2017-01,18.1832,8.6002
2017-02,13.9278,9.8701
2017-03,19.7653,14.9815
2017-04,18.4006,12.5254
2017-05,17.3884,13.1716
2017-06,17.0769,14.581
2017-07,16.6205,14.626
2017-08,18.6906,16.4591
2017-09,20.8349,15.9061
2017-10,22.1746,17.2911
2017-11,25.5423,19.4181
2017-12,26.1688,21.7575
2018-01,31.9381,22.6249
2018-02,33.0032,28.3844
2018-03,27.9813,21.0506
2018-04,25.8035,18.8566
2018-05,20.6171,18.843
2018-06,23.415,22.0592
2018-07,19.955,20.962
2018-08,31.819,24.4135
2018-09,32.3209,27.7869
2018-10,30.9556,28.1445
2018-11,27.0418,19.3954
2018-12,35.0458,19.8359
2019-01,27.2617,8.7501
2019-02,35.7352,17.203
2019-03,42.5999,21.2677
2019-04,46.4549,23.6016
2019-05,48.1257,25.5902
2019-06,51.5222,17.8911
2019-07,59.1622,26.7327
2019-08,59.0972,25.8061
2019-09,61.9585,24.2046
2019-10,55.242,24.595
2019-11,49.1571,29.5299
2019-12,50.3461,32.3145
2020-01,51.3618,35.5516
2020-02,60.5198,34.7733
2020-03,45.0522,23.2161
2020-04,15.7589,2.6957
2020-05,28.2219,17.923
2020-06,37.8287,27.1545
2020-07,36.6413,29.2791
2020-08,41.8079,35.3897
2020-09,46.2592,45.4969
2020-10,45.1835,38.8421
2020-11,38.0319,33.8054
2020-12,52.3197,49.4413
2021-01,49.9713,52.4925
2021-02,41.7638,52.5474
2021-03,41.5795,57.1165
2021-04,62.6857,62.2404
2021-05,72.5735,68.0147
2021-06,74.0651,67.9506
2021-07,75.0095,71.7835
2021-08,82.6209,73.9065
2021-09,90.6912,78.108
2021-10,82.7713,70.559
2021-11,93.0268,79.7147
2021-12,93.1956,74.8714
2022-01,100.2269,83.8439
2022-02,78.4306,74.2485
2022-03,73.6031,64.4857
2022-04,88.9662,72.8765
2022-05,93.2343,56.3809
2022-06,85.1208,54.7432
2022-07,81.4396,43.9638
2022-08,89.343,54.5402
2022-09,95.9217,48.4061
2022-10,84.223,33.808
2022-11,78.9746,43.6413
2022-12,91.6135,51.6237
2023-01,78.1011,42.3283
2023-02,74.3914,52.4008
2023-03,67.2545,45.8599
2023-04,83.3039,52.4428
2023-05,86.401,54.1535
2023-06,81.7714,55.8684
2023-07,92.6592,63.7729
2023-08,79.5836,67.9151
2023-09,72.6689,65.3142
2023-10,67.6498,56.4671
2023-11,79.6308,54.158
2023-12,90.1922,66.8181
2024-01,95.0221,72.7134
2024-02,104.1389,77.0248
2024-03,121.7963,84.7703
2024-04,129.0001,89.0895
2024-05,121.1308,80.3005
2024-06,124.1534,89.1407
2024-07,123.8662,96.817
2024-08,119.1613,94.9948
2024-09,124.3306,101.4737
2024-10,121.1881,104.2286
2024-11,126.4545,104.0979
2024-12,140.252,114.1559
2025-01,113.6353,108.1307
2025-02,132.0481,112.719
2025-03,143.9685,109.0154
2025-04,146.3036,97.097
2025-05,144.5852,95.2965
2025-06,151.1961,105.2137
2025-07,139.8159,114.7559
2025-08,138.6801,115.142
2025-09,134.9001,122.2543
2025-10,129.5698,129.8729
2025-11,107.5824,133.4127
2025-12,123.3962,131.7276
2026-01,128.8086,131.8756
2026-02,113.2519,120.852
