Date,rate_TLT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.6303,-1.8027
2016-03,4.1996,4.5695
2016-04,2.7543,3.6217
2016-05,3.0134,4.6859
2016-06,9.4952,4.2011
2016-07,10.7849,7.3141
2016-08,8.4789,6.5393
2016-09,5.9068,5.8417
2016-10,0.7464,3.4057
2016-11,-7.5396,7.0013
2016-12,-7.2496,8.6582
2017-01,-5.9381,9.9058
2017-02,-3.975,13.4199
2017-03,-4.2275,12.5861
2017-04,-2.4598,12.9516
2017-05,-0.4369,13.7442
2017-06,0.3723,14.6714
2017-07,-0.0987,16.2352
2017-08,3.2627,15.7466
2017-09,1.3916,17.3266
2017-10,1.2888,19.2474
2017-11,1.9609,22.0133
2017-12,4.0711,22.6523
2018-01,0.5375,28.4864
2018-02,-2.4738,22.6807
2018-03,0.377,18.8927
2018-04,-1.723,18.6249
2018-05,0.3125,20.8091
2018-06,1.4311,20.9812
2018-07,-0.0621,24.5763
2018-08,1.277,27.7899
2018-09,-1.6433,27.6747
2018-10,-4.4446,18.1983
2018-11,-2.6143,19.8597
2018-12,3.122,8.8011
2019-01,3.4261,17.1215
2019-02,2.3998,20.4441
2019-03,8.4984,22.1999
2019-04,6.176,26.5012
2019-05,13.24,17.9266
2019-06,13.993,25.7011
2019-07,13.9646,26.9004
2019-08,26.1215,24.2426
2019-09,22.1876,26.142
2019-10,20.3459,28.3311
2019-11,19.8504,32.3256
2019-12,15.637,35.5485
2020-01,24.1638,34.7719
2020-02,31.846,23.2511
2020-03,39.5591,7.5779
2020-04,40.4544,21.2186
2020-05,37.5759,26.5774
2020-06,37.3561,28.3766
2020-07,42.7276,35.3325
2020-08,34.8222,44.0777
2020-09,35.2236,37.914
2020-10,30.0627,33.7633
2020-11,31.7017,47.7098
2020-12,29.5946,52.3667
2021-01,24.4316,49.9654
2021-02,16.9313,53.2453
2021-03,10.5779,60.4049
2021-04,13.5837,67.83
2021-05,13.3765,67.8968
2021-06,18.163,70.6358
2021-07,22.2659,73.7106
2021-08,21.5245,77.7187
2021-09,17.6899,68.3779
2021-10,20.6106,79.119
2021-11,23.6613,76.6949
2021-12,20.8469,83.6042
2022-01,15.8496,72.9303
2022-02,13.7544,66.8181
2022-03,7.3783,72.1992
2022-04,-2.4858,56.2223
2022-05,-4.6454,55.8933
2022-06,-5.7974,42.4002
2022-07,-2.8945,54.8512
2022-08,-7.3146,47.8158
2022-09,-14.8245,33.7039
2022-10,-19.7138,44.0824
2022-11,-13.7428,51.4429
2022-12,-15.8653,42.1877
2023-01,-9.2418,50.5828
2023-02,-13.5522,46.2373
2023-03,-9.2008,52.2586
2023-04,-8.79,54.0684
2023-05,-11.3956,54.1996
2023-06,-11.0824,63.548
2023-07,-12.9766,68.1942
2023-08,-15.5424,64.7317
2023-09,-21.3158,56.2636
2023-10,-25.3803,52.2886
2023-11,-17.7326,65.5989
2023-12,-9.9144,72.448
2024-01,-11.8339,74.4576
2024-02,-13.7225,82.7177
2024-03,-12.3746,89.0282
2024-04,-17.874,80.6052
2024-05,-15.3349,88.8335
2024-06,-13.6509,96.0415
2024-07,-10.3589,97.3583
2024-08,-8.3792,101.128
2024-09,-6.4753,105.7758
2024-10,-11.5237,102.865
2024-11,-9.0448,113.7798
2024-12,-14.7325,107.7813
2025-01,-14.1782,112.3595
2025-02,-9.1761,108.6721
2025-03,-10.1837,96.0839
2025-04,-11.3268,93.6359
2025-05,-14.0673,104.9003
2025-06,-11.664,114.5225
2025-07,-12.5734,118.4064
2025-08,-11.803,121.8959
2025-09,-8.5491,128.6764
2025-10,-7.219,133.0211
2025-11,-6.9067,132.409
2025-12,-8.5938,131.4906
2026-01,-8.5553,133.7386
2026-02,-4.2654,130.7823
2026-03,-8.2624,117.6098
2026-04,-8.965,139.3863
2026-05,-7.7405,150.8374
2026-06,-6.9649,146.5232
2026-07,-11.0614,145.3136
2026-08,-10.424,152.7306
