Date,rate_TPL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,8.4446,-1.8027
2016-03,12.6649,4.5695
2016-04,14.0273,3.6217
2016-05,24.7882,4.6859
2016-06,19.3268,4.2011
2016-07,10.367,7.3141
2016-08,20.7288,6.5393
2016-09,60.3437,5.8417
2016-10,71.0039,3.4057
2016-11,84.3494,7.0013
2016-12,77.1078,8.6582
2017-01,83.1299,9.9058
2017-02,66.5479,13.4199
2017-03,52.6784,12.5861
2017-04,63.9773,12.9516
2017-05,47.7809,13.7442
2017-06,50.5412,14.6714
2017-07,67.1078,16.2352
2017-08,98.9256,15.7466
2017-09,94.3837,17.3266
2017-10,91.559,19.2474
2017-11,87.811,22.0133
2017-12,101.7268,22.6523
2018-01,137.6435,28.4864
2018-02,133.2851,22.6807
2018-03,115.9646,18.8927
2018-04,128.3413,18.6249
2018-05,189.992,20.8091
2018-06,179.0612,20.9812
2018-07,190.8564,24.5763
2018-08,221.0327,27.7899
2018-09,224.8559,27.6747
2018-10,180.4665,18.1983
2018-11,110.1164,19.8597
2018-12,93.6451,8.8011
2019-01,145.3296,17.1215
2019-02,158.2054,20.4441
2019-03,166.4257,22.1999
2019-04,171.8419,26.5012
2019-05,145.8762,17.9266
2019-06,158.825,25.7011
2019-07,158.3652,26.9004
2019-08,109.6009,24.2426
2019-09,105.3843,26.142
2019-10,77.9865,28.3311
2019-11,108.8983,32.3256
2019-12,139.1164,35.5485
2020-01,128.5664,34.7719
2020-02,108.0886,23.2511
2020-03,26.7407,7.5779
2020-04,89.329,21.2186
2020-05,93.392,26.5774
2020-06,94.3462,28.3766
2020-07,72.7025,35.3325
2020-08,69.3903,44.0777
2020-09,44.1706,37.914
2020-10,43.0494,33.7633
2020-11,92.666,47.7098
2020-12,130.905,52.3667
2021-01,161.8424,49.9654
2021-02,243.8373,53.2453
2021-03,391.8843,60.4049
2021-04,370.6839,67.83
2021-05,338.7232,67.8968
2021-06,378.0791,70.6358
2021-07,340.7696,73.7106
2021-08,297.0004,77.7187
2021-09,250.0766,68.3779
2021-10,264.982,79.119
2021-11,242.813,76.6949
2021-12,251.5039,83.6042
2022-01,199.6283,72.9303
2022-02,228.2607,66.8181
2022-03,270.6988,72.1992
2022-04,270.9668,56.2223
2022-05,321.0213,55.8933
2022-06,302.251,42.4002
2022-07,390.7459,54.8512
2022-08,387.6206,47.8158
2022-09,367.073,33.7039
2022-10,499.6078,44.0824
2022-11,567.9187,51.4429
2022-12,498.6435,42.1877
2023-01,404.702,50.5828
2023-02,346.0211,46.2373
2023-03,323.1947,52.2586
2023-04,264.4685,54.0684
2023-05,218.9544,54.1996
2023-06,220.3963,63.548
2023-07,263.7897,68.1942
2023-08,352.3519,64.7317
2023-09,333.9844,56.2636
2023-10,335.7139,52.2886
2023-11,292.2204,65.5989
2023-12,265.9507,72.448
2024-01,237.5611,74.4576
2024-02,262.1038,82.7177
2024-03,295.9809,89.0282
2024-04,291.5329,80.6052
2024-05,314.3097,88.8335
2024-06,392.2589,96.0415
2024-07,469.7541,97.3583
2024-08,481.3123,101.128
2024-09,488.0212,105.7758
2024-10,668.7445,102.865
2024-11,946.2043,113.7798
2024-12,618.2106,107.7813
2025-01,735.6842,112.3595
2025-02,812.5369,108.6721
2025-03,740.9917,96.0839
2025-04,711.5969,93.6359
2025-05,596.1047,104.9003
2025-06,556.1374,114.5225
2025-07,496.8904,118.4064
2025-08,471.4375,121.8959
2025-09,468.4774,128.6764
2025-10,470.3505,133.0211
2025-11,418.9216,132.409
2025-12,414.832,131.4906
2026-01,520.2428,133.7386
2026-02,826.8846,130.7823
2026-03,822.1621,126.4154
