Date,rate_PCAR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.0132,-0.6039
2016-03,9.4392,5.2168
2016-04,15.4024,3.9893
2016-05,6.7756,4.6886
2016-06,-1.7443,4.1237
2016-07,11.8978,7.1795
2016-08,12.5112,6.3603
2016-09,9.1566,5.6281
2016-10,1.0893,3.196
2016-11,14.7156,6.7601
2016-12,17.6042,8.3626
2017-01,23.8179,10.2536
2017-02,21.3118,13.6522
2017-03,20.1874,12.7005
2017-04,18.0148,12.9818
2017-05,10.7498,13.693
2017-06,15.3896,13.5288
2017-07,18.5975,15.0481
2017-08,14.4904,14.5515
2017-09,24.0742,16.1037
2017-10,21.8288,17.9557
2017-11,18.9242,20.6805
2017-12,21.3961,21.3029
2018-01,27.2365,28.0338
2018-02,21.4648,22.1441
2018-03,11.6129,18.3021
2018-04,7.0523,18.0902
2018-05,4.8328,20.2208
2018-06,4.1417,20.3415
2018-07,10.3545,23.8746
2018-08,15.069,27.0072
2018-09,14.6841,27.7347
2018-10,-4.2225,18.1437
2018-11,4.6432,19.7418
2018-12,-0.6226,8.5778
2019-01,13.4456,17.1263
2019-02,17.559,20.3748
2019-03,17.6288,22.0514
2019-04,23.1501,26.2651
2019-05,13.0962,17.5943
2019-06,22.7149,25.308
2019-07,19.5124,26.4355
2019-08,11.8576,23.7232
2019-09,19.4078,26.1617
2019-10,29.3081,28.2707
2019-11,38.047,32.1761
2019-12,37.2222,35.3247
2020-01,28.9812,35.2749
2020-02,16.2086,23.5454
2020-03,5.7476,7.7105
2020-04,19.6414,21.425
2020-05,27.766,26.7132
2020-06,28.9042,28.4357
2020-07,45.858,35.3124
2020-08,46.758,43.9511
2020-09,44.843,37.6938
2020-10,44.1573,33.4637
2020-11,46.5944,47.2943
2020-12,45.5798,51.8455
2021-01,53.8437,50.305
2021-02,53.0018,53.4604
2021-03,55.199,59.4101
2021-04,49.1933,66.6882
2021-05,51.6519,66.6274
2021-06,46.9395,69.2184
2021-07,35.912,72.1455
2021-08,34.0613,75.992
2021-09,28.6721,66.6118
2021-10,45.5788,77.1553
2021-11,35.3669,74.6519
2021-12,45.0781,81.397
2022-01,52.1009,70.7122
2022-02,49.9155,64.6001
2022-03,43.1525,69.8532
2022-04,34.4451,54.0273
2022-05,40.5885,53.6333
2022-06,32.7199,40.2902
2022-07,46.9884,52.5094
2022-08,40.4828,45.531
2022-09,33.8221,31.5965
2022-10,54.2501,41.7445
2022-11,68.5074,48.9584
2022-12,61.0591,39.838
2023-01,77.4151,48.5632
2023-02,75.2676,44.2258
2023-03,76.6967,48.9578
2023-04,79.3104,50.6836
2023-05,64.8165,50.7741
2023-06,99.4357,59.884
2023-07,104.1065,64.3798
2023-08,94.4502,60.953
2023-09,99.7148,52.6248
2023-10,92.7392,48.7132
2023-11,113.8557,61.6976
2023-12,133.4209,68.3392
2024-01,139.7602,71.0275
2024-02,163.5453,79.0476
2024-03,192.3523,83.99
2024-04,148.6036,75.7344
2024-05,150.913,83.6813
2024-06,138.7428,89.2836
2024-07,127.4109,90.5002
2024-08,121.0959,94.0822
2024-09,126.8248,98.2932
2024-10,138.2986,95.412
2024-11,166.4472,105.8418
2024-12,142.1741,99.9875
2025-01,157.6931,105.351
2025-02,148.539,101.7087
2025-03,124.3419,89.4719
2025-04,106.6927,87.0451
2025-05,114.6957,97.8575
2025-06,116.3657,107.0685
2025-07,123.5867,110.7404
2025-08,125.9165,114.0337
2025-09,122.1791,121.6081
2025-10,121.2083,125.7153
2025-11,136.5181,125.0226
2025-12,147.5195,124.0393
2026-01,177.4214,127.2713
2026-02,67.1948,125.3185
