Date,rate_NEE_5D,rate_VOO_20D
2016-01,5.6691,1.4254
2016-02,1.2524,0.6142
2016-03,3.6797,6.1243
2016-04,2.1555,4.6014
2016-05,4.6354,5.2878
2016-06,12.4741,4.687
2016-07,8.9594,7.7174
2016-08,4.317,6.8637
2016-09,4.5672,5.9421
2016-10,8.8528,3.4868
2016-11,-2.6634,6.843
2016-12,2.1039,8.2789
2017-01,5.5207,9.3935
2017-02,13.8911,12.821
2017-03,10.7626,12.0413
2017-04,14.4253,12.4367
2017-05,21.1276,13.2406
2017-06,18.81,14.1802
2017-07,22.8003,15.6892
2017-08,26.1403,15.2834
2017-09,21.7368,16.8657
2017-10,27.7263,18.7799
2017-11,30.5413,21.509
2017-12,27.7663,22.1709
2018-01,28.4637,27.9258
2018-02,19.3803,22.2578
2018-03,27.309,18.4465
2018-04,26.7806,18.162
2018-05,27.3265,20.337
2018-06,28.276,20.5057
2018-07,27.72,24.0401
2018-08,29.5621,27.2093
2018-09,26.6941,27.1082
2018-10,29.5522,17.9327
2018-11,36.3836,19.5577
2018-12,29.4909,8.5722
2019-01,32.5136,16.8959
2019-02,39.0219,20.2219
2019-03,42.0745,21.9603
2019-04,41.8655,26.2654
2019-05,44.4933,20.4953
2019-06,45.7787,25.3574
2019-07,46.2995,26.514
2019-08,54.4142,24.0717
2019-09,62.8661,25.9454
2019-10,65.2296,27.4086
2019-11,62.5225,31.384
2019-12,66.9682,34.5804
2020-01,83.3939,33.8021
2020-02,82.7033,22.3336
2020-03,72.5878,15.1867
2020-04,66.8937,29.6272
2020-05,83.483,28.2305
2020-06,75.4608,28.0341
2020-07,99.3469,33.4885
2020-08,96.0255,42.106
2020-09,90.4349,38.2475
2020-10,101.7946,34.0563
2020-11,97.4942,42.9575
2020-12,104.6175,47.5016
2021-01,115.8563,45.1166
2021-02,110.3577,43.0879
2021-03,111.2712,49.8512
2021-04,114.7929,56.911
2021-05,101.297,54.6413
2021-06,101.0018,57.2758
2021-07,112.0502,60.2291
2021-08,127.8649,64.0213
2021-09,111.4542,55.5224
2021-10,127.9697,65.5435
2021-11,130.6217,65.5034
2021-12,140.3431,68.4598
2022-01,108.9814,58.7763
2022-02,111.4683,53.2596
2022-03,127.2642,58.2953
2022-04,112.9407,52.2757
2022-05,127.5322,51.0659
2022-06,127.3396,38.0304
2022-07,139.467,50.1558
2022-08,140.5089,43.3725
2022-09,119.977,29.6913
2022-10,122.1369,39.7003
2022-11,138.3035,46.8631
2022-12,132.703,40.5677
2023-01,118.3386,48.7988
2023-02,106.065,45.5387
2023-03,122.1865,49.6635
2023-04,119.3535,48.4614
2023-05,113.5827,48.1923
2023-06,114.413,57.2072
2023-07,110.5659,61.7125
2023-08,100.4069,59.5229
2023-09,70.9481,51.3631
2023-10,73.265,47.5518
2023-11,75.9261,60.474
2023-12,81.7972,67.125
2024-01,74.6471,69.1001
2024-02,65.1965,77.1309
2024-03,90.5036,83.2841
2024-04,91.5214,75.177
2024-05,127.7188,83.1784
2024-06,101.8132,90.182
2024-07,116.6305,90.9416
2024-08,130.0076,97.1965
2024-09,142.9945,98.31
2024-10,131.353,95.5089
2024-11,139.78,105.9957
2024-12,117.3292,100.2436
2025-01,115.8597,104.6582
2025-02,112.3342,101.1287
2025-03,115.9086,89.045
2025-04,105.2232,88.6819
2025-05,115.7808,99.6712
2025-06,117.7255,109.046
2025-07,113.587,112.823
2025-08,114.3188,112.1707
2025-09,123.5415,118.6779
2025-10,139.8263,122.8639
2025-11,157.9767,122.3204
2025-12,138.7984,121.4705
2026-01,160.207,123.6468
2026-02,178.0275,120.852
