Date,rate_NRG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.2949,-3.7423
2016-03,2.1547,0.3764
2016-04,15.0016,5.1946
2016-05,31.7817,3.5695
2016-06,39.9389,4.8356
2016-07,18.7924,4.3651
2016-08,5.8136,7.2005
2016-09,-10.7715,6.5176
2016-10,-12.6256,5.8316
2016-11,-15.247,2.6321
2016-12,-9.9814,6.5262
2017-01,0.2451,8.6002
2017-02,33.8155,9.8701
2017-03,35.4937,14.9815
2017-04,47.7365,12.5254
2017-05,29.2658,13.1716
2017-06,28.2267,14.581
2017-07,30.1292,14.626
2017-08,83.7753,16.4591
2017-09,81.6307,15.9061
2017-10,83.3267,17.2911
2017-11,74.4832,19.4181
2017-12,92.6797,21.7575
2018-01,92.3943,22.6249
2018-02,75.311,28.3844
2018-03,75.6068,21.0506
2018-04,95.9759,18.8566
2018-05,93.4906,18.843
2018-06,110.5,22.0592
2018-07,87.2359,20.962
2018-08,91.8073,24.4135
2018-09,109.6054,27.7869
2018-10,119.2792,28.1445
2018-11,112.7856,19.3954
2018-12,117.2484,19.8359
2019-01,120.5036,8.7501
2019-02,123.9917,17.203
2019-03,128.2999,21.2677
2019-04,122.7682,23.6016
2019-05,113.3864,25.5902
2019-06,76.8051,17.8911
2019-07,82.119,26.7327
2019-08,74.7137,25.8061
2019-09,83.4989,24.2046
2019-10,95.3142,24.595
2019-11,101.0406,29.5299
2019-12,94.1962,32.3145
2020-01,92.3285,35.5516
2020-02,79.6145,34.7733
2020-03,61.7068,23.2161
2020-04,29.7093,2.6957
2020-05,60.0729,17.923
2020-06,73.9765,27.1545
2020-07,58.5438,29.2791
2020-08,63.4631,35.3897
2020-09,65.494,45.4969
2020-10,47.316,38.8421
2020-11,55.5381,33.8054
2020-12,63.0978,49.4413
2021-01,82.3972,52.4925
2021-02,108.3099,52.5474
2021-03,97.4102,57.1165
2021-04,81.789,62.2404
2021-05,75.739,68.0147
2021-06,58.8521,67.9506
2021-07,98.3399,71.7835
2021-08,105.106,73.9065
2021-09,124.038,78.108
2021-10,99.0798,70.559
2021-11,101.4305,79.7147
2021-12,75.9726,74.8714
2022-01,111.6681,83.8439
2022-02,90.7232,74.2485
2022-03,78.6869,64.4857
2022-04,86.6787,72.8765
2022-05,78.5309,56.3809
2022-06,124.9217,54.7432
2022-07,90.6728,43.9638
2022-08,88.6942,54.5402
2022-09,105.2303,48.4061
2022-10,89.6112,33.808
2022-11,118.6149,43.6413
2022-12,107.8109,51.6237
2023-01,55.9854,42.3283
2023-02,70.741,52.4008
2023-03,62.1563,45.8599
2023-04,67.65,52.4428
2023-05,70.9876,54.1535
2023-06,62.1748,55.8684
2023-07,86.3532,63.7729
2023-08,89.4097,67.9151
2023-09,91.5739,65.3142
2023-10,90.9351,56.4671
2023-11,118.1658,54.158
2023-12,139.2242,66.8181
2024-01,154.1422,72.7134
2024-02,167.0018,77.0248
2024-03,177.3246,84.7703
2024-04,240.8324,89.0895
2024-05,257.3246,80.3005
2024-06,290.126,89.1407
2024-07,272.2197,96.817
2024-08,250.8621,94.9948
2024-09,303.0134,101.4737
2024-10,336.0867,104.2286
2024-11,307.1131,104.0979
2024-12,377.4526,114.1559
2025-01,320.8251,108.1307
2025-02,374.4814,112.719
2025-03,388.1368,109.0154
2025-04,351.7198,97.097
2025-05,421.6495,95.2965
2025-06,607.4031,105.2137
2025-07,602.3444,114.7559
2025-08,651.2346,115.142
2025-09,551.3647,122.2543
2025-10,619.282,129.8729
2025-11,657.9131,133.4127
2025-12,627.1669,131.7276
2026-01,593.9598,131.8756
2026-02,671.0348,131.1612
