Date,rate_IT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.0973,-0.6039
2016-03,2.3331,5.2168
2016-04,-1.1654,3.9893
2016-05,14.9015,4.6886
2016-06,7.7223,4.1237
2016-07,9.6344,7.1795
2016-08,-1.5499,6.3603
2016-09,-4.1558,5.6281
2016-10,-6.4149,3.196
2016-11,12.4202,6.7601
2016-12,9.6014,8.3626
2017-01,7.7489,10.2536
2017-02,11.3033,13.6522
2017-03,15.4861,12.7005
2017-04,20.7887,12.9818
2017-05,25.1965,13.693
2017-06,27.6654,13.5288
2017-07,30.9648,15.0481
2017-08,21.5416,14.5515
2017-09,24.2333,16.1037
2017-10,23.9366,17.9557
2017-11,18.4957,20.6805
2017-12,19.8945,21.3029
2018-01,35.0101,28.0338
2018-02,9.2539,22.1441
2018-03,12.875,18.3021
2018-04,15.9144,18.0902
2018-05,26.1418,20.2208
2018-06,25.3427,20.3415
2018-07,26.8065,23.8746
2018-08,39.3435,27.0072
2018-09,47.4717,27.7347
2018-10,35.835,18.1437
2018-11,39.9969,19.7418
2018-12,15.8685,8.5778
2019-01,23.1379,17.1263
2019-02,28.1525,20.3748
2019-03,35.6692,22.0514
2019-04,41.0702,26.2651
2019-05,33.2508,17.5943
2019-06,40.811,25.308
2019-07,20.9816,26.4355
2019-08,15.5969,23.7232
2019-09,23.6354,26.1617
2019-10,32.6044,28.2707
2019-11,37.235,32.1761
2019-12,30.9991,35.3247
2020-01,36.6693,35.2749
2020-02,9.3154,23.5454
2020-03,-16.0255,7.7105
2020-04,0.7741,21.425
2020-05,3.2613,26.7132
2020-06,2.8612,28.4357
2020-07,5.6191,35.3124
2020-08,9.8626,43.9511
2020-09,5.5509,37.6938
2020-10,1.3374,33.4637
2020-11,28.0727,47.2943
2020-12,34.388,51.8455
2021-01,27.442,50.305
2021-02,49.553,53.4604
2021-03,51.5222,59.4101
2021-04,61.5502,66.6882
2021-05,89.9173,66.6274
2021-06,96.7883,69.2184
2021-07,113.262,72.1455
2021-08,146.5309,75.992
2021-09,140.3163,66.6118
2021-10,160.0053,77.1553
2021-11,142.2774,74.6519
2021-12,157.0508,81.397
2022-01,123.9689,70.7122
2022-02,111.9258,64.6001
2022-03,123.055,69.8532
2022-04,116.1139,54.0273
2022-05,93.7005,53.6333
2022-06,77.3168,40.2902
2022-07,93.4345,52.5094
2022-08,106.4774,45.531
2022-09,98.8148,31.5965
2022-10,115.4462,41.7445
2022-11,148.1271,48.9584
2022-12,136.1755,39.838
2023-01,137.5807,48.5632
2023-02,128.5977,44.2258
2023-03,125.5628,48.9578
2023-04,107.9648,50.6836
2023-05,134.1889,50.7741
2023-06,137.6073,59.884
2023-07,138.1639,64.3798
2023-08,133.9267,60.953
2023-09,128.316,52.6248
2023-10,119.1814,48.7132
2023-11,185.158,61.6976
2023-12,193.61,68.3392
2024-01,197.7246,71.0275
2024-02,200.7131,79.0476
2024-03,205.575,83.99
2024-04,162.5337,75.7344
2024-05,165.2123,83.6813
2024-06,181.846,89.2836
2024-07,212.3659,90.5002
2024-08,204.4387,94.0822
2024-09,213.5836,98.2932
2024-10,208.7514,95.412
2024-11,215.9928,105.8418
2024-12,193.5387,99.9875
2025-01,228.8525,105.351
2025-02,199.7743,101.7087
2025-03,150.8738,89.4719
2025-04,150.1877,87.0451
2025-05,157.7677,97.8575
2025-06,137.3622,107.0685
2025-07,97.7582,110.7404
2025-08,46.0413,114.0337
2025-09,52.8268,121.6081
2025-10,43.9521,125.7153
2025-11,34.5357,125.0226
2025-12,45.4725,124.0393
2026-01,20.8977,127.2713
2026-02,-11.056,125.3185
