Date,rate_BALL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.9263,-0.6039
2016-03,5.1658,5.2168
2016-04,3.7676,3.9893
2016-05,4.0515,4.6886
2016-06,3.3667,4.1237
2016-07,0.6877,7.1795
2016-08,12.6223,6.3603
2016-09,14.9367,5.6281
2016-10,6.7712,3.196
2016-11,3.3755,6.7601
2016-12,3.2928,8.3626
2017-01,4.9291,10.2536
2017-02,0.7467,13.6522
2017-03,1.5179,12.7005
2017-04,5.0512,12.9818
2017-05,11.6482,13.693
2017-06,14.4008,13.5288
2017-07,12.7042,15.0481
2017-08,7.1694,14.5515
2017-09,10.2552,16.1037
2017-10,14.0598,17.9557
2017-11,5.711,20.6805
2017-12,0.0229,21.3029
2018-01,1.1577,28.0338
2018-02,5.7495,22.1441
2018-03,4.9132,18.3021
2018-04,5.7894,18.0902
2018-05,-2.3717,20.2208
2018-06,-5.9864,20.3415
2018-07,3.2396,23.8746
2018-08,11.0417,27.0072
2018-09,16.6191,27.7347
2018-10,18.2093,18.1437
2018-11,28.9883,19.7418
2018-12,19.8909,8.5778
2019-01,36.3091,17.1263
2019-02,41.9624,20.3748
2019-03,48.6343,22.0514
2019-04,52.5365,26.2651
2019-05,55.1961,17.5943
2019-06,75.2202,25.308
2019-07,76.956,26.4355
2019-08,97.1146,23.7232
2019-09,78.5326,26.1617
2019-10,69.7451,28.2707
2019-11,59.0969,32.1761
2019-12,54.4036,35.3247
2020-01,72.3228,35.2749
2020-02,66.9026,23.5454
2020-03,51.6373,7.7105
2020-04,52.6835,21.425
2020-05,64.987,26.7132
2020-06,59.5601,28.4357
2020-07,67.7295,35.3124
2020-08,81.9086,43.9511
2020-09,86.4106,37.6938
2020-10,97.8117,33.4637
2020-11,111.684,47.2943
2020-12,103.4134,51.8455
2021-01,92.1569,50.305
2021-02,85.0831,53.4604
2021-03,82.1289,59.4101
2021-04,99.6178,66.6882
2021-05,73.969,66.6274
2021-06,70.3074,69.2184
2021-07,68.8078,72.1455
2021-08,99.3239,75.992
2021-09,85.3597,66.6118
2021-10,87.0861,77.1553
2021-11,90.0974,74.6519
2021-12,94.4451,81.397
2022-01,94.7203,70.7122
2022-02,79.062,64.6001
2022-03,78.4692,69.8532
2022-04,59.9263,54.0273
2022-05,39.3494,53.6333
2022-06,34.6291,40.2902
2022-07,43.1603,52.5094
2022-08,8.7725,45.531
2022-09,-5.9239,31.5965
2022-10,-3.7966,41.7445
2022-11,9.6624,48.9584
2022-12,-0.1072,39.838
2023-01,13.7517,48.5632
2023-02,9.9985,44.2258
2023-03,7.7608,48.9578
2023-04,3.89,50.6836
2023-05,0.2727,50.7741
2023-06,14.0549,59.884
2023-07,14.8118,64.3798
2023-08,6.7543,60.953
2023-09,-2.4887,52.6248
2023-10,-5.6467,48.7132
2023-11,8.8201,61.6976
2023-12,13.0665,68.3392
2024-01,8.9994,71.0275
2024-02,26.022,79.0476
2024-03,32.2768,83.99
2024-04,36.2363,75.7344
2024-05,35.5836,83.6813
2024-06,17.2107,89.2836
2024-07,24.4562,90.5002
2024-08,24.1424,94.0822
2024-09,32.5071,98.2932
2024-10,15.3167,95.412
2024-11,20.8129,105.8418
2024-12,7.2833,99.9875
2025-01,8.3925,105.351
2025-02,2.4535,101.7087
2025-03,1.612,89.4719
2025-04,1.3313,87.0451
2025-05,4.5249,97.8575
2025-06,9.8106,107.0685
2025-07,11.9694,110.7404
2025-08,2.8282,114.0337
2025-09,-1.1176,121.6081
2025-10,-7.8192,125.7153
2025-11,-2.7878,125.0226
2025-12,4.4116,124.0393
2026-01,12.096,127.2713
2026-02,34.4736,125.3185
