Date,rate_TDG_5D,rate_VOO_20D
2016-01,0.8682,1.4254
2016-02,-6.2106,0.6142
2016-03,-1.6523,6.1243
2016-04,1.6648,4.6014
2016-05,15.1879,5.2878
2016-06,11.2009,4.687
2016-07,16.4002,7.7174
2016-08,16.6441,6.8637
2016-09,16.1704,5.9421
2016-10,17.4696,3.4868
2016-11,7.026,6.843
2016-12,5.2573,8.2789
2017-01,-8.8692,9.3935
2017-02,7.4587,12.821
2017-03,-7.0172,12.0413
2017-04,4.689,12.4367
2017-05,13.3595,13.2406
2017-06,12.8932,14.1802
2017-07,17.7107,15.6892
2017-08,17.1267,15.2834
2017-09,14.3714,16.8657
2017-10,23.3763,18.7799
2017-11,25.1588,21.509
2017-12,20.1527,22.1709
2018-01,37.7199,27.9258
2018-02,23.5487,22.2578
2018-03,30.5499,18.4465
2018-04,35.1684,18.162
2018-05,39.4847,20.337
2018-06,42.6826,20.5057
2018-07,53.7529,24.0401
2018-08,41.861,27.2093
2018-09,49.5148,27.1082
2018-10,27.5046,17.9327
2018-11,33.6917,19.5577
2018-12,24.8188,8.5722
2019-01,42.7435,16.8959
2019-02,57.2062,20.2219
2019-03,62.7869,21.9603
2019-04,71.2864,26.2654
2019-05,56.0602,20.4953
2019-06,64.3643,25.3574
2019-07,63.356,26.514
2019-08,72.5013,24.0717
2019-09,62.4285,25.9454
2019-10,60.2348,27.4086
2019-11,71.2288,31.384
2019-12,96.7645,34.5804
2020-01,122.2323,33.8021
2020-02,110.5309,22.3336
2020-03,60.0755,15.1867
2020-04,62.8495,29.6272
2020-05,75.3483,28.2305
2020-06,75.0525,28.0341
2020-07,72.4938,33.4885
2020-08,91.8928,42.106
2020-09,87.073,38.2475
2020-10,78.1334,34.0563
2020-11,108.8884,42.9575
2020-12,111.2923,47.5016
2021-01,93.2532,45.1166
2021-02,90.112,43.0879
2021-03,91.0409,49.8512
2021-04,94.1876,56.911
2021-05,103.7603,54.6413
2021-06,103.2011,57.2758
2021-07,99.5103,60.2291
2021-08,87.6751,64.0213
2021-09,91.6458,55.5224
2021-10,90.0466,65.5435
2021-11,74.8451,65.5034
2021-12,91.2458,68.4598
2022-01,86.8745,58.7763
2022-02,98.8968,53.2596
2022-03,86.755,58.2953
2022-04,80.4657,52.2757
2022-05,89.7414,51.0659
2022-06,67.592,38.0304
2022-07,93.3029,50.1558
2022-08,91.0611,43.3725
2022-09,65.8343,29.6913
2022-10,80.9595,39.7003
2022-11,90.7424,46.8631
2022-12,91.9577,40.5677
2023-01,117.58,48.7988
2023-02,123.914,45.5387
2023-03,114.4396,49.6635
2023-04,121.2144,48.4614
2023-05,124.0727,48.1923
2023-06,150.0,57.2072
2023-07,146.2021,61.7125
2023-08,147.887,59.5229
2023-09,129.7734,51.3631
2023-10,124.3067,47.5518
2023-11,188.4942,60.474
2023-12,200.4772,67.125
2024-01,222.3153,69.1001
2024-02,229.9829,77.1309
2024-03,242.6054,83.2841
2024-04,235.6119,75.177
2024-05,258.6765,83.1784
2024-06,238.7454,90.182
2024-07,240.8013,90.9416
2024-08,259.1813,97.1965
2024-09,253.756,98.31
2024-10,280.7175,95.5089
2024-11,253.4489,105.9957
2024-12,255.105,100.2436
2025-01,276.6947,104.6582
2025-02,278.0104,101.1287
2025-03,279.9248,89.045
2025-04,284.7149,88.6819
2025-05,297.1492,99.6712
2025-06,301.0907,109.046
2025-07,321.4904,112.823
2025-08,303.4763,112.1707
2025-09,304.1257,118.6779
2025-10,298.6613,122.8639
2025-11,311.7789,122.3204
2025-12,300.0619,121.4705
2026-01,326.746,123.6468
2026-02,287.0703,120.852
