Date,rate_TPR_5D,rate_VOO_20D
2016-01,9.889,-3.28
2016-02,10.019,-1.8027
2016-03,10.3717,4.5695
2016-04,7.9788,3.6217
2016-05,4.1562,4.6859
2016-06,7.7121,4.2011
2016-07,12.8092,7.3141
2016-08,-1.5877,6.5393
2016-09,-4.7769,5.8417
2016-10,-6.0487,3.4057
2016-11,-4.3838,7.0013
2016-12,-6.7108,8.6582
2017-01,0.0239,9.9058
2017-02,1.91,13.4199
2017-03,11.2719,12.5861
2017-04,5.3891,12.9516
2017-05,23.3446,13.7442
2017-06,25.9275,14.6714
2017-07,24.0368,16.2352
2017-08,8.6226,15.7466
2017-09,5.378,17.3266
2017-10,6.8778,19.2474
2017-11,8.5319,22.0133
2017-12,15.6501,22.6523
2018-01,22.318,28.4864
2018-02,31.4387,22.6807
2018-03,35.5299,18.8927
2018-04,37.2179,18.6249
2018-05,10.9198,20.8091
2018-06,18.8963,20.9812
2018-07,19.3227,24.5763
2018-08,27.7423,27.7899
2018-09,26.6965,27.6747
2018-10,6.0054,18.1983
2018-11,-2.6499,19.8597
2018-12,-14.6814,8.8011
2019-01,-1.7112,17.1215
2019-02,-11.2247,20.4441
2019-03,-16.3391,22.1999
2019-04,-16.5891,26.5012
2019-05,-25.7149,17.9266
2019-06,-15.9234,25.7011
2019-07,-17.6366,26.9004
2019-08,-44.6065,24.2426
2019-09,-27.9825,26.142
2019-10,-27.8504,28.3311
2019-11,-24.4021,32.3256
2019-12,-22.7129,35.5485
2020-01,-25.7034,34.7719
2020-02,-31.9127,23.2511
2020-03,-61.0159,7.5779
2020-04,-53.3095,21.2186
2020-05,-56.4297,26.5774
2020-06,-56.5066,28.3766
2020-07,-55.168,35.3325
2020-08,-49.4956,44.0777
2020-09,-45.497,37.914
2020-10,-21.4594,33.7633
2020-11,0.4876,47.7098
2020-12,10.2567,52.3667
2021-01,11.9989,49.9654
2021-02,48.9528,53.2453
2021-03,44.9318,60.4049
2021-04,67.4558,67.83
2021-05,56.1308,67.8968
2021-06,50.4046,70.6358
2021-07,45.6281,73.7106
2021-08,38.1786,77.7187
2021-09,29.7739,68.3779
2021-10,36.0542,79.119
2021-11,39.4915,76.6949
2021-12,41.5143,83.6042
2022-01,31.7532,72.9303
2022-02,41.4934,66.8181
2022-03,28.9539,72.1992
2022-04,14.0012,56.2223
2022-05,19.2755,55.8933
2022-06,6.1832,42.4002
2022-07,16.882,54.8512
2022-08,20.469,47.8158
2022-09,-0.5383,33.7039
2022-10,10.8263,44.0824
2022-11,31.9342,51.4429
2022-12,33.6547,42.1877
2023-01,59.4463,50.5828
2023-02,51.5601,46.2373
2023-03,50.6277,52.2586
2023-04,42.0536,54.0684
2023-05,38.8474,54.1996
2023-06,49.0669,63.548
2023-07,49.7402,68.1942
2023-08,15.2404,64.7317
2023-09,0.5079,56.2636
2023-10,-3.6536,52.2886
2023-11,10.787,65.5989
2023-12,29.8002,72.448
2024-01,36.4504,74.4576
2024-02,66.6727,82.7177
2024-03,67.0528,89.0282
2024-04,39.8849,80.6052
2024-05,51.9638,88.8335
2024-06,52.6722,96.0415
2024-07,42.6455,97.3583
2024-08,45.3778,101.128
2024-09,69.9043,105.7758
2024-10,71.0,102.865
2024-11,123.5541,113.7798
2024-12,137.0448,107.7813
2025-01,163.2356,112.3595
2025-02,206.5095,108.6721
2025-03,152.3881,96.0839
2025-04,151.8081,93.6359
2025-05,178.4593,104.9003
2025-06,213.2229,114.5225
2025-07,283.0948,118.4064
2025-08,258.7935,121.8959
2025-09,300.6924,128.6764
2025-10,286.1612,133.0211
2025-11,281.8701,132.409
2025-12,347.8571,131.4906
2026-01,341.9838,133.7386
2026-02,437.9702,130.7823
2026-03,437.6741,129.7769
