Date,rate_HUM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.8636,-3.7423
2016-03,4.38,0.3764
2016-04,5.044,5.1946
2016-05,-0.5499,3.5695
2016-06,-0.2744,4.8356
2016-07,-1.9941,4.3651
2016-08,-3.3164,7.2005
2016-09,0.1199,6.5176
2016-10,0.2996,5.8316
2016-11,-4.2406,2.6321
2016-12,23.5525,6.5262
2017-01,14.4412,8.6002
2017-02,10.4011,9.8701
2017-03,18.2194,14.9815
2017-04,12.9249,12.5254
2017-05,21.4813,13.1716
2017-06,26.4708,14.581
2017-07,28.1966,14.626
2017-08,21.5202,16.4591
2017-09,35.042,15.9061
2017-10,25.7814,17.2911
2017-11,30.6655,19.4181
2017-12,30.8718,21.7575
2018-01,24.539,22.6249
2018-02,39.3417,28.3844
2018-03,32.8737,21.0506
2018-04,31.4621,18.8566
2018-05,43.1146,18.843
2018-06,38.9809,22.0592
2018-07,41.6943,20.962
2018-08,50.0172,24.4135
2018-09,55.5064,27.7869
2018-10,56.4384,28.1445
2018-11,46.7445,19.3954
2018-12,49.3033,19.8359
2019-01,29.3021,8.7501
2019-02,37.3975,17.203
2019-03,29.6058,21.2677
2019-04,19.042,23.6016
2019-05,8.7673,25.5902
2019-06,7.9777,17.8911
2019-07,15.1938,26.7327
2019-08,31.1309,25.8061
2019-09,23.8692,24.2046
2019-10,11.4998,24.595
2019-11,29.5359,29.5299
2019-12,48.5023,32.3145
2020-01,58.6585,35.5516
2020-02,44.4507,34.7733
2020-03,36.4893,23.2161
2020-04,27.1481,2.6957
2020-05,57.7722,17.923
2020-06,68.9962,27.1545
2020-07,63.8213,29.2791
2020-08,63.0328,35.3897
2020-09,71.1465,45.4969
2020-10,70.3614,38.8421
2020-11,62.5981,33.8054
2020-12,64.1408,49.4413
2021-01,65.1501,52.4925
2021-02,51.9342,52.5474
2021-03,53.0916,57.1165
2021-04,63.5594,62.2404
2021-05,75.3311,68.0147
2021-06,68.698,67.9506
2021-07,74.2957,71.7835
2021-08,64.7624,73.9065
2021-09,56.0155,78.108
2021-10,50.0938,70.559
2021-11,75.3033,79.7147
2021-12,58.357,74.8714
2022-01,75.253,83.8439
2022-02,46.735,74.2485
2022-03,61.1805,64.4857
2022-04,64.5299,72.8765
2022-05,64.8472,56.3809
2022-06,65.1216,54.7432
2022-07,76.0888,43.9638
2022-08,73.5446,54.5402
2022-09,77.112,48.4061
2022-10,75.7963,33.808
2022-11,99.8473,43.6413
2022-12,96.4507,51.6237
2023-01,82.6965,42.3283
2023-02,82.1089,52.4008
2023-03,75.1072,45.8599
2023-04,70.7993,52.4428
2023-05,87.3863,54.1535
2023-06,79.4436,55.8684
2023-07,55.2897,63.7729
2023-08,58.4791,67.9151
2023-09,58.7038,65.3142
2023-10,67.2669,56.4671
2023-11,67.5222,54.158
2023-12,68.8045,66.8181
2024-01,55.6926,72.7134
2024-02,27.3369,77.0248
2024-03,19.0141,84.7703
2024-04,18.9239,89.0895
2024-05,6.1523,80.3005
2024-06,20.9162,89.1407
2024-07,26.7858,96.817
2024-08,21.6085,94.9948
2024-09,19.8746,101.4737
2024-10,-5.3468,104.2286
2024-11,-11.6484,104.0979
2024-12,0.5624,114.1559
2025-01,-13.3203,108.1307
2025-02,0.3211,112.719
2025-03,-7.4862,109.0154
2025-04,-8.4553,97.097
2025-05,-11.3924,95.2965
2025-06,-19.2299,105.2137
2025-07,-11.3877,114.7559
2025-08,-13.1589,115.142
2025-09,6.7878,122.2543
2025-10,-12.3333,129.8729
2025-11,-1.0553,133.4127
2025-12,-13.8383,131.7276
2026-01,-7.8274,131.8756
2026-02,-31.1473,131.1612
