Date,rate_AAPL_5D,rate_VOO_20D
2016-01,-2.0073,-0.1777
2016-02,-0.8477,-0.0314
2016-03,10.2283,5.187
2016-04,-7.6821,3.6797
2016-05,0.06,3.1295
2016-06,-4.0348,1.6351
2016-07,5.1349,4.6041
2016-08,6.6998,4.1366
2016-09,6.2596,2.987
2016-10,5.9591,0.8639
2016-11,3.589,4.3141
2016-12,8.2684,6.0824
2017-01,13.4297,7.9429
2017-02,26.3622,11.2911
2017-03,29.8152,10.5412
2017-04,26.5969,10.8734
2017-05,31.049,11.6776
2017-06,22.1792,11.6154
2017-07,24.749,13.1314
2017-08,36.5125,12.7287
2017-09,26.5825,14.3342
2017-10,37.3641,16.2325
2017-11,38.441,18.9549
2017-12,34.5621,19.6262
2018-01,33.1319,26.238
2018-02,36.712,19.9516
2018-03,28.9167,16.2518
2018-04,21.8876,15.1572
2018-05,29.8014,17.311
2018-06,27.3858,17.5108
2018-07,29.8548,20.9213
2018-08,54.3963,24.0281
2018-09,53.1158,24.7402
2018-10,44.8,17.981
2018-11,38.2399,18.3692
2018-12,20.3883,7.5007
2019-01,27.0264,15.9689
2019-02,31.8414,19.2225
2019-03,43.5815,20.8741
2019-04,50.3075,25.0855
2019-05,38.1992,19.0127
2019-06,46.7955,22.8977
2019-07,56.6355,24.0373
2019-08,42.0205,20.9149
2019-09,52.3484,23.2381
2019-10,67.7244,23.2464
2019-11,78.8956,27.0887
2019-12,94.4137,30.1681
2020-01,104.1919,29.6659
2020-02,95.4051,22.8765
2020-03,91.3809,18.5968
2020-04,119.6085,33.4196
2020-05,135.4916,38.995
2020-06,166.7204,38.083
2020-07,181.8625,42.4175
2020-08,236.9716,51.3811
2020-09,207.4772,43.2295
2020-10,195.9791,37.6534
2020-11,199.6309,46.2699
2020-12,229.7171,50.7796
2021-01,203.2236,48.7298
2021-02,194.2973,45.5951
2021-03,186.5032,47.1283
2021-04,204.7461,53.9463
2021-05,189.9264,48.9882
2021-06,210.7892,51.4587
2021-07,224.6758,54.2414
2021-08,224.5347,57.8367
2021-09,203.5575,49.5896
2021-10,212.8479,57.5002
2021-11,242.0319,54.8735
2021-12,250.9932,57.0876
2022-01,245.1907,47.5504
2022-02,220.7874,39.1192
2022-03,232.7607,43.2002
2022-04,208.4049,36.1244
2022-05,200.6641,37.7767
2022-06,160.608,22.6093
2022-07,206.8852,33.3609
2022-08,194.5688,27.4386
2022-09,172.226,18.8272
2022-10,190.5928,23.4213
2022-11,161.0494,29.8603
2022-12,140.752,24.6232
2023-01,162.7692,29.7169
2023-02,167.1448,26.3204
2023-03,181.9811,29.739
2023-04,173.743,31.4054
2023-05,178.2712,31.633
2023-06,202.0681,39.7142
2023-07,195.2402,43.7604
2023-08,196.4103,39.1386
2023-09,170.3636,32.0966
2023-10,162.5997,28.8359
2023-11,190.2953,40.1718
2023-12,192.1053,46.0836
2024-01,178.5218,43.7661
2024-02,172.2169,50.6773
2024-03,162.5358,54.9988
2024-04,159.0148,49.5349
2024-05,190.7302,53.3569
2024-06,216.1788,58.1938
2024-07,232.0353,56.5839
2024-08,234.5997,59.3404
2024-09,231.0749,58.4112
2024-10,217.4676,56.3075
2024-11,226.4805,64.8064
2024-12,242.0237,60.3186
2025-01,222.336,64.6165
2025-02,228.3995,61.4171
2025-03,211.1058,55.5919
2025-04,197.3092,54.3347
2025-05,179.5444,63.4201
2025-06,183.7539,71.1544
2025-07,184.2569,74.355
2025-08,198.5445,77.2278
2025-09,207.8636,83.4997
2025-10,224.7976,87.0447
2025-11,233.1261,86.633
2025-12,222.6608,85.9674
2026-01,207.9768,88.6607
2026-02,211.2128,85.4175
