Date,rate_STZ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.0351,-0.6039
2016-03,-0.1283,5.2168
2016-04,2.7224,3.9893
2016-05,0.2717,4.6886
2016-06,8.0222,4.1237
2016-07,6.4645,7.1795
2016-08,5.5327,6.3603
2016-09,6.3583,5.6281
2016-10,6.1285,3.196
2016-11,-4.0459,6.7601
2016-12,-2.0385,8.3626
2017-01,-4.2868,10.2536
2017-02,2.0312,13.6522
2017-03,3.8901,12.7005
2017-04,10.2458,12.9818
2017-05,16.3641,13.693
2017-06,22.2114,13.5288
2017-07,20.7699,15.0481
2017-08,24.0911,14.5515
2017-09,22.4618,16.1037
2017-10,33.2483,17.9557
2017-11,31.1947,20.6805
2017-12,36.333,21.3029
2018-01,30.9125,28.0338
2018-02,27.5472,22.1441
2018-03,33.6792,18.3021
2018-04,35.3684,18.0902
2018-05,28.7565,20.2208
2018-06,25.3097,20.3415
2018-07,19.5768,23.8746
2018-08,18.2097,27.0072
2018-09,22.3896,27.7347
2018-10,12.4877,18.1437
2018-11,10.5289,19.7418
2018-12,-9.4403,8.5778
2019-01,-2.2421,17.1263
2019-02,-4.3053,20.3748
2019-03,-0.7646,22.0514
2019-04,19.7046,26.2651
2019-05,-0.2257,17.5943
2019-06,11.2931,25.308
2019-07,10.9344,26.4355
2019-08,15.326,23.7232
2019-09,16.9668,26.1617
2019-10,6.998,28.2707
2019-11,4.8425,32.1761
2019-12,6.7911,35.3247
2020-01,5.9751,35.2749
2020-02,-2.6967,23.5454
2020-03,-19.0288,7.7105
2020-04,-6.4119,21.425
2020-05,-1.2695,26.7132
2020-06,0.0206,28.4357
2020-07,1.7497,35.3124
2020-08,5.7703,43.9511
2020-09,8.5043,37.6938
2020-10,-5.4886,33.4637
2020-11,18.1241,47.2943
2020-12,25.3144,51.8455
2021-01,20.683,50.305
2021-02,22.5133,53.4604
2021-03,29.9561,59.4101
2021-04,36.3925,66.6882
2021-05,35.8152,66.6274
2021-06,31.9356,69.2184
2021-07,26.0453,72.1455
2021-08,18.667,75.992
2021-09,18.0672,66.6118
2021-10,21.1692,77.1553
2021-11,25.9723,74.6519
2021-12,39.8617,81.397
2022-01,31.9078,70.7122
2022-02,19.6356,64.6001
2022-03,27.4831,69.8532
2022-04,35.7432,54.0273
2022-05,35.3362,53.6333
2022-06,28.0223,40.2902
2022-07,34.8641,52.5094
2022-08,34.6861,45.531
2022-09,25.284,31.5965
2022-10,34.3572,41.7445
2022-11,39.9045,48.9584
2022-12,25.5383,39.838
2023-01,25.414,48.5632
2023-02,21.2784,44.2258
2023-03,22.2148,48.9578
2023-04,23.8626,50.6836
2023-05,31.3019,50.7741
2023-06,32.6139,59.884
2023-07,46.5075,64.3798
2023-08,39.8938,60.953
2023-09,34.4932,52.6248
2023-10,24.9495,48.7132
2023-11,28.5034,61.6976
2023-12,28.8344,68.3392
2024-01,30.6054,71.0275
2024-02,32.518,79.0476
2024-03,44.4815,83.99
2024-04,34.3192,75.7344
2024-05,32.7658,83.6813
2024-06,36.1345,89.2836
2024-07,29.3668,90.5002
2024-08,27.2396,94.0822
2024-09,36.1764,98.2932
2024-10,22.4578,95.412
2024-11,27.276,105.8418
2024-12,16.5056,99.9875
2025-01,-4.6609,105.351
2025-02,-6.8424,101.7087
2025-03,-2.5213,89.4719
2025-04,0.1674,87.0451
2025-05,-4.7583,97.8575
2025-06,-13.0287,107.0685
2025-07,-10.0535,110.7404
2025-08,-12.7018,114.0337
2025-09,-27.3757,121.6081
2025-10,-28.382,125.7153
2025-11,-25.3842,125.0226
2025-12,-24.2972,124.0393
2026-01,-13.4658,127.2713
2026-02,-5.0561,125.3185
