Date,rate_COP_5D,rate_VOO_20D
2016-01,1.299,1.4254
2016-02,-12.2224,0.6142
2016-03,8.0434,6.1243
2016-04,25.1022,4.6014
2016-05,12.3066,5.2878
2016-06,7.2706,4.687
2016-07,0.1379,7.7174
2016-08,0.7424,6.8637
2016-09,6.0038,5.9421
2016-10,5.9406,3.4868
2016-11,17.679,6.843
2016-12,20.1323,8.2789
2017-01,15.2299,9.3935
2017-02,12.8863,12.821
2017-03,17.2384,12.0413
2017-04,11.5901,12.4367
2017-05,4.0582,13.2406
2017-06,2.1142,14.1802
2017-07,5.7132,15.6892
2017-08,1.5073,15.2834
2017-09,16.2044,16.8657
2017-10,19.6756,18.7799
2017-11,18.1064,21.509
2017-12,26.5217,22.1709
2018-01,34.2595,27.9258
2018-02,24.8992,22.2578
2018-03,35.3298,18.4465
2018-04,48.1143,18.162
2018-05,52.4195,20.337
2018-06,55.4913,20.5057
2018-07,61.2405,24.0401
2018-08,62.1217,27.2093
2018-09,68.8994,27.1082
2018-10,58.9669,17.9327
2018-11,49.8454,19.5577
2018-12,39.3894,8.5722
2019-01,50.1644,16.8959
2019-02,51.0977,20.2219
2019-03,47.3442,21.9603
2019-04,38.1973,26.2654
2019-05,30.1376,20.4953
2019-06,33.895,25.3574
2019-07,30.8807,26.514
2019-08,15.3863,24.0717
2019-09,26.6046,25.9454
2019-10,23.7874,27.4086
2019-11,33.7864,31.384
2019-12,44.3074,34.5804
2020-01,31.0116,33.8021
2020-02,6.9822,22.3336
2020-03,-31.3221,15.1867
2020-04,-5.3552,29.6272
2020-05,-6.1819,28.2305
2020-06,-15.5539,28.0341
2020-07,-23.205,33.4885
2020-08,-21.4677,42.106
2020-09,-28.3466,38.2475
2020-10,-28.2803,34.0563
2020-11,-3.5259,42.9575
2020-12,-3.0319,47.5016
2021-01,-2.8963,45.1166
2021-02,18.3686,43.0879
2021-03,28.3656,49.8512
2021-04,25.7317,56.911
2021-05,37.4139,54.6413
2021-06,44.5737,57.2758
2021-07,35.4526,60.2291
2021-08,30.1445,64.0213
2021-09,58.3127,55.5224
2021-10,74.0127,65.5435
2021-11,62.833,65.5034
2021-12,54.8784,68.4598
2022-01,81.0851,58.7763
2022-02,85.6853,53.2596
2022-03,82.9176,58.2953
2022-04,73.3037,52.2757
2022-05,95.3209,51.0659
2022-06,89.5797,38.0304
2022-07,104.7886,50.1558
2022-08,129.6587,43.3725
2022-09,116.0803,29.6913
2022-10,164.0793,39.7003
2022-11,159.646,46.8631
2022-12,168.3921,40.5677
2023-01,175.1579,48.7988
2023-02,136.799,45.5387
2023-03,131.1407,49.6635
2023-04,139.2976,48.4614
2023-05,133.7608,48.1923
2023-06,143.723,57.2072
2023-07,175.1178,61.7125
2023-08,167.6556,59.5229
2023-09,165.6457,51.3631
2023-10,162.3849,47.5518
2023-11,159.7456,60.474
2023-12,159.2003,67.125
2024-01,148.2136,69.1001
2024-02,149.903,77.1309
2024-03,180.9038,83.2841
2024-04,183.7729,75.177
2024-05,168.9666,83.1784
2024-06,162.4967,90.182
2024-07,153.3274,90.9416
2024-08,163.315,97.1965
2024-09,139.7092,98.31
2024-10,140.8638,95.5089
2024-11,142.9507,105.9957
2024-12,121.2726,100.2436
2025-01,119.4043,104.6582
2025-02,125.8544,101.1287
2025-03,125.6993,89.045
2025-04,90.6062,88.6819
2025-05,83.3231,99.6712
2025-06,91.3014,109.046
2025-07,89.3025,112.823
2025-08,92.038,112.1707
2025-09,83.6918,118.6779
2025-10,71.8899,122.8639
2025-11,72.5728,122.3204
2025-12,81.4917,121.4705
2026-01,101.328,123.6468
2026-02,118.2545,120.852
