Date,rate_PDD_5D,rate_VOO_20D
2018-07,0.0,-0.8976
2018-08,1.7407,2.2717
2018-09,37.384,2.1705
2018-10,-4.2909,-7.0049
2018-11,0.9478,-5.3799
2018-12,-4.7874,-16.3654
2019-01,24.834,-8.0418
2019-02,24.8639,-4.7157
2019-03,-2.4043,-2.9774
2019-04,-12.2643,1.3277
2019-05,-24.6553,-4.4423
2019-06,-19.1119,0.4197
2019-07,-10.9105,1.5764
2019-08,32.2386,-0.8659
2019-09,35.4035,1.0077
2019-10,66.3266,2.4709
2019-11,42.7559,6.4463
2019-12,47.6414,9.6428
2020-01,34.7466,8.8644
2020-02,25.9022,-2.604
2020-03,18.4028,-9.751
2020-04,58.3185,4.6895
2020-05,81.7424,3.2929
2020-06,102.6536,3.0964
2020-07,106.7175,8.5508
2020-08,80.1336,17.1683
2020-09,64.5276,13.3098
2020-10,93.4343,9.1187
2020-11,200.0193,18.0198
2020-12,223.6261,22.5639
2021-01,195.0047,20.1789
2021-02,198.1447,18.1502
2021-03,147.7553,24.9135
2021-04,143.2728,31.9733
2021-05,113.1967,29.7036
2021-06,113.3592,32.3382
2021-07,51.8857,35.2915
2021-08,64.4311,39.0836
2021-09,58.7423,30.5847
2021-10,47.7027,40.6058
2021-11,9.4734,40.5658
2021-12,-4.1302,43.5222
2022-01,-8.189,33.8386
2022-02,-17.1406,28.322
2022-03,-23.3124,33.3576
2022-04,-18.4818,27.338
2022-05,-14.2828,26.1282
2022-06,1.3415,13.0928
2022-07,-10.0223,25.2182
2022-08,30.5299,18.4349
2022-09,14.0753,4.7536
2022-10,-13.3476,14.7626
2022-11,12.2698,21.9254
2022-12,15.385,15.6301
2023-01,7.9706,23.8611
2023-02,2.7617,20.6011
2023-03,-20.343,24.7259
2023-04,-27.6222,23.5237
2023-05,-32.4589,23.2546
2023-06,-28.0397,32.2696
2023-07,-6.0068,36.7748
2023-08,5.5992,34.5853
2023-09,3.0052,26.4255
2023-10,-0.0213,22.6141
2023-11,38.2993,35.5363
2023-12,36.7126,42.1873
2024-01,18.2725,44.1624
2024-02,15.8197,52.1933
2024-03,7.9083,58.3464
2024-04,8.0283,50.2393
2024-05,29.0439,58.2407
2024-06,14.3419,65.2444
2024-07,10.5166,66.0039
2024-08,5.3449,72.2588
2024-09,47.9122,73.3724
2024-10,49.8621,70.5712
2024-11,19.9729,81.0581
2024-12,19.9662,75.306
2025-01,38.1301,79.7206
2025-02,45.1441,76.191
2025-03,43.4783,64.1073
2025-04,54.3493,63.7443
2025-05,40.4625,74.7336
2025-06,51.7265,84.1083
2025-07,63.808,87.8853
2025-08,64.3305,87.2331
2025-09,79.7645,93.7402
2025-10,82.4914,97.9263
2025-11,56.2682,97.3828
2025-12,52.015,96.5329
2026-01,34.9412,98.7091
2026-02,38.1154,95.9143
