Date,rate_CPRT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,11.9753,-0.6039
2016-03,14.9438,5.2168
2016-04,16.4517,3.9893
2016-05,30.5587,4.6886
2016-06,24.1662,4.1237
2016-07,24.0644,7.1795
2016-08,22.1719,6.3603
2016-09,25.5593,5.6281
2016-10,20.3979,3.196
2016-11,23.6752,6.7601
2016-12,23.1991,8.3626
2017-01,26.1556,10.2536
2017-02,29.4642,13.6522
2017-03,33.2217,12.7005
2017-04,30.8219,12.9818
2017-05,30.1271,13.693
2017-06,30.6816,13.5288
2017-07,27.7293,15.0481
2017-08,31.0265,14.5515
2017-09,36.1107,16.1037
2017-10,41.8469,17.9557
2017-11,66.4753,20.6805
2017-12,63.6922,21.3029
2018-01,67.0266,28.0338
2018-02,74.4683,22.1441
2018-03,86.6394,18.3021
2018-04,83.9149,18.0902
2018-05,94.0146,20.2208
2018-06,96.6048,20.3415
2018-07,96.0751,23.8746
2018-08,116.0969,27.0072
2018-09,73.1561,27.7347
2018-10,62.0361,18.1437
2018-11,67.429,19.7418
2018-12,54.4111,8.5778
2019-01,63.6197,17.1263
2019-02,87.3921,20.3748
2019-03,90.9434,22.0514
2019-04,109.2472,26.2651
2019-05,119.0848,17.5943
2019-06,125.791,25.308
2019-07,130.8521,26.4355
2019-08,121.3129,23.7232
2019-09,135.8118,26.1617
2019-10,139.1965,28.2707
2019-11,154.0114,32.1761
2019-12,155.9049,35.3247
2020-01,185.5077,35.2749
2020-02,134.2238,23.5454
2020-03,87.5051,7.7105
2020-04,117.1303,21.425
2020-05,139.5327,26.7132
2020-06,120.4096,28.4357
2020-07,144.0265,35.3124
2020-08,167.1713,43.9511
2020-09,168.569,37.6938
2020-10,178.3974,33.4637
2020-11,187.6536,47.2943
2020-12,213.2137,51.8455
2021-01,170.1443,50.305
2021-02,165.5882,53.4604
2021-03,161.2889,59.4101
2021-04,196.2125,66.6882
2021-05,203.4038,66.6274
2021-06,206.5467,69.2184
2021-07,237.9355,72.1455
2021-08,227.9482,75.992
2021-09,211.6745,66.6118
2021-10,245.1156,77.1553
2021-11,219.0229,74.6519
2021-12,229.722,81.397
2022-01,178.1438,70.7122
2022-02,161.9014,64.6001
2022-03,165.0074,69.8532
2022-04,137.8699,54.0273
2022-05,137.7031,53.6333
2022-06,123.6935,40.2902
2022-07,161.6533,52.5094
2022-08,142.3127,45.531
2022-09,113.7821,31.5965
2022-10,129.4106,41.7445
2022-11,163.5311,48.9584
2022-12,139.1161,39.838
2023-01,161.5764,48.5632
2023-02,174.4398,44.2258
2023-03,190.5878,48.9578
2023-04,202.907,50.6836
2023-05,232.8581,50.7741
2023-06,243.6466,59.884
2023-07,230.1853,64.3798
2023-08,232.1371,60.953
2023-09,216.6124,52.6248
2023-10,217.2077,48.7132
2023-11,263.1453,61.6976
2023-12,251.4035,68.3392
2024-01,244.5199,71.0275
2024-02,278.0892,79.0476
2024-03,308.6351,83.99
2024-04,279.9811,75.7344
2024-05,268.2543,83.6813
2024-06,272.9474,89.2836
2024-07,257.5518,90.5002
2024-08,259.1088,94.0822
2024-09,255.3121,98.2932
2024-10,246.3877,95.412
2024-11,323.4724,105.8418
2024-12,280.4175,99.9875
2025-01,283.9969,105.351
2025-02,260.5346,101.7087
2025-03,269.6176,89.4719
2025-04,295.7181,87.0451
2025-05,231.3563,97.8575
2025-06,213.7127,107.0685
2025-07,187.893,110.7404
2025-08,208.0555,114.0337
2025-09,183.8232,121.6081
2025-10,169.7872,125.7153
2025-11,143.0669,125.0226
2025-12,142.7879,124.0393
2026-01,151.6552,127.2713
2026-02,127.7334,125.3185
