Date,rate_DE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.745,-0.6039
2016-03,-1.3366,5.2168
2016-04,8.1105,3.9893
2016-05,4.0508,4.6886
2016-06,2.3724,4.1237
2016-07,-2.202,7.1795
2016-08,6.568,6.3603
2016-09,7.6581,5.6281
2016-10,10.5243,3.196
2016-11,24.2572,6.7601
2016-12,26.17,8.3626
2017-01,31.0488,10.2536
2017-02,31.5396,13.6522
2017-03,29.1044,12.7005
2017-04,30.3415,12.9818
2017-05,40.8709,13.693
2017-06,40.2859,13.5288
2017-07,43.1707,15.0481
2017-08,27.3202,14.5515
2017-09,37.0507,16.1037
2017-10,43.0317,17.9557
2017-11,58.9935,20.6805
2017-12,63.9685,21.3029
2018-01,74.3094,28.0338
2018-02,65.4677,22.1441
2018-03,57.9313,18.3021
2018-04,35.787,18.0902
2018-05,48.5153,20.2208
2018-06,37.8563,20.3415
2018-07,41.3563,23.8746
2018-08,39.0714,27.0072
2018-09,46.0508,27.7347
2018-10,30.2185,18.1437
2018-11,47.6736,19.7418
2018-12,41.4159,8.5778
2019-01,55.392,17.1263
2019-02,53.7859,20.3748
2019-03,49.0632,22.0514
2019-04,52.976,26.2651
2019-05,28.2905,17.5943
2019-06,51.353,25.308
2019-07,49.9767,26.4355
2019-08,39.1426,23.7232
2019-09,52.1833,26.1617
2019-10,55.8248,28.2707
2019-11,49.0609,32.1761
2019-12,53.1949,35.3247
2020-01,40.2902,35.2749
2020-02,37.5231,23.5454
2020-03,21.2824,7.7105
2020-04,26.9329,21.425
2020-05,32.5955,26.7132
2020-06,36.9671,28.4357
2020-07,52.784,35.3124
2020-08,80.7269,43.9511
2020-09,89.5683,37.6938
2020-10,91.4846,33.4637
2020-11,119.6758,47.2943
2020-12,124.2832,51.8455
2021-01,140.6684,50.305
2021-02,187.7483,53.4604
2021-03,205.4366,59.4101
2021-04,199.184,66.6882
2021-05,187.9587,66.6274
2021-06,178.8426,69.2184
2021-07,182.7808,72.1455
2021-08,192.5242,75.992
2021-09,157.3763,66.6118
2021-10,160.3127,77.1553
2021-11,160.1784,74.6519
2021-12,156.5333,81.397
2022-01,178.9215,70.7122
2022-02,164.2371,64.6001
2022-03,202.8583,69.8532
2022-04,172.5373,54.0273
2022-05,155.9351,53.6333
2022-06,113.246,40.2902
2022-07,142.4875,52.5094
2022-08,155.9982,45.531
2022-09,132.8911,31.5965
2022-10,173.8289,41.7445
2022-11,202.5341,48.9584
2022-12,192.3974,39.838
2023-01,188.3764,48.5632
2023-02,183.4968,44.2258
2023-03,177.7457,48.9578
2023-04,152.2774,50.6836
2023-05,129.1734,50.7741
2023-06,167.309,59.884
2023-07,181.2466,64.3798
2023-08,166.9678,60.953
2023-09,144.2021,52.6248
2023-10,134.8179,48.7132
2023-11,132.6382,61.6976
2023-12,154.5267,68.3392
2024-01,150.5382,71.0275
2024-02,130.8219,79.0476
2024-03,158.9589,83.99
2024-04,145.1456,75.7344
2024-05,133.2224,83.6813
2024-06,132.0156,89.2836
2024-07,129.6508,90.5002
2024-08,136.7691,94.0822
2024-09,157.0575,98.2932
2024-10,147.6877,95.412
2024-11,183.403,105.8418
2024-12,157.0192,99.9875
2025-01,188.9509,105.351
2025-02,189.6179,101.7087
2025-03,181.8746,89.4719
2025-04,176.5773,87.0451
2025-05,200.0942,97.8575
2025-06,200.4087,107.0685
2025-07,207.7867,110.7404
2025-08,179.1935,114.0337
2025-09,167.6762,121.6081
2025-10,168.6463,125.7153
2025-11,168.7173,125.0226
2025-12,168.6966,124.0393
2026-01,204.5938,127.2713
2026-02,290.4532,125.3185
