Date,rate_GILD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-14.3291,-3.7423
2016-03,-0.9883,0.3764
2016-04,4.689,5.1946
2016-05,-3.0071,3.5695
2016-06,-4.2287,4.8356
2016-07,-4.9332,4.3651
2016-08,-9.2082,7.2005
2016-09,-11.543,6.5176
2016-10,-7.7566,5.8316
2016-11,-12.9279,2.6321
2016-12,-13.227,6.5262
2017-01,-13.0498,8.6002
2017-02,-10.5682,9.8701
2017-03,-13.0774,14.9815
2017-04,-14.401,12.5254
2017-05,-13.2658,13.1716
2017-06,-16.9754,14.581
2017-07,-7.3584,14.626
2017-08,-0.5108,16.4591
2017-09,10.0917,15.9061
2017-10,6.714,17.2911
2017-11,-1.7257,19.4181
2017-12,-0.9847,21.7575
2018-01,-5.1287,22.6249
2018-02,10.7976,28.3844
2018-03,2.4991,21.0506
2018-04,0.3291,18.8566
2018-05,-3.4525,18.843
2018-06,-9.012,22.0592
2018-07,-4.5583,20.962
2018-08,5.1109,24.4135
2018-09,2.0246,27.7869
2018-10,5.73,28.1445
2018-11,-4.8003,19.3954
2018-12,-2.4558,19.8359
2019-01,-14.3576,8.7501
2019-02,-3.658,17.203
2019-03,-9.1261,21.2677
2019-04,-8.2046,23.6016
2019-05,-9.4132,25.5902
2019-06,-12.8539,17.8911
2019-07,-3.8263,26.7327
2019-08,-7.0896,25.8061
2019-09,-9.6744,24.2046
2019-10,-9.0199,24.595
2019-11,-6.7502,29.5299
2019-12,-2.8823,32.3145
2020-01,-5.18,35.5516
2020-02,-7.6774,34.7733
2020-03,1.4874,23.2161
2020-04,7.0586,2.6957
2020-05,17.8907,17.923
2020-06,10.5085,27.1545
2020-07,12.631,29.2791
2020-08,2.7487,35.3897
2020-09,-2.7671,45.4969
2020-10,-5.4246,38.8421
2020-11,-13.0632,33.8054
2020-12,-8.3919,49.4413
2021-01,-11.5261,52.4925
2021-02,-0.9307,52.5474
2021-03,-4.9354,57.1165
2021-04,4.4484,62.2404
2021-05,-0.2916,68.0147
2021-06,2.6177,67.9506
2021-07,9.6746,71.7835
2021-08,8.1967,73.9065
2021-09,13.7404,78.108
2021-10,9.4323,70.559
2021-11,4.6401,79.7147
2021-12,9.8148,74.8714
2022-01,16.6621,83.8439
2022-02,9.7928,74.2485
2022-03,-3.4897,64.4857
2022-04,-3.2202,72.8765
2022-05,-3.7157,56.3809
2022-06,5.1462,54.7432
2022-07,2.3534,43.9638
2022-08,-2.2075,54.5402
2022-09,6.5996,48.4061
2022-10,2.3677,33.808
2022-11,31.6157,43.6413
2022-12,45.3924,51.6237
2023-01,42.6756,42.3283
2023-02,39.1075,52.4008
2023-03,31.3724,45.8599
2023-04,37.8089,52.4428
2023-05,34.8105,54.1535
2023-06,25.8169,55.8684
2023-07,28.1809,63.7729
2023-08,25.5627,67.9151
2023-09,26.8895,65.3142
2023-10,25.0137,56.4671
2023-11,33.4845,54.158
2023-12,28.9141,66.8181
2024-01,35.4193,72.7134
2024-02,30.3006,77.0248
2024-03,20.2611,84.7703
2024-04,22.2802,89.0895
2024-05,9.7123,80.3005
2024-06,7.5403,89.1407
2024-07,18.635,96.817
2024-08,31.9957,94.9948
2024-09,36.0084,101.4737
2024-10,48.1147,104.2286
2024-11,57.4539,104.0979
2024-12,62.2979,114.1559
2025-01,65.3885,108.1307
2025-02,73.4001,112.719
2025-03,103.1378,109.0154
2025-04,101.0402,97.097
2025-05,85.6913,95.2965
2025-06,97.1654,105.2137
2025-07,103.4813,114.7559
2025-08,105.2054,115.142
2025-09,103.9185,122.2543
2025-10,101.1784,129.8729
2025-11,115.89,133.4127
2025-12,123.0605,131.7276
2026-01,120.6055,131.8756
2026-02,165.1763,131.1612
