Date,rate_VTR_5D,rate_VOO_20D
2016-01,-2.414,-3.28
2016-02,-0.7402,-1.8027
2016-03,12.3307,4.5695
2016-04,7.6815,3.6217
2016-05,13.3016,4.6859
2016-06,23.055,4.2011
2016-07,25.124,7.3141
2016-08,16.3777,6.5393
2016-09,12.558,5.8417
2016-10,6.7789,3.4057
2016-11,-4.943,7.0013
2016-12,2.7805,8.6582
2017-01,1.1702,9.9058
2017-02,6.733,13.4199
2017-03,10.1545,12.5861
2017-04,7.7845,12.9516
2017-05,11.4732,13.7442
2017-06,19.6327,14.6714
2017-07,14.9631,16.2352
2017-08,16.1636,15.7466
2017-09,11.1101,17.3266
2017-10,6.5683,19.2474
2017-11,8.3913,22.0133
2017-12,5.2478,22.6523
2018-01,-0.8334,28.4864
2018-02,-14.2273,22.6807
2018-03,-7.421,18.8927
2018-04,-2.22,18.6249
2018-05,3.9364,20.8091
2018-06,11.1336,20.9812
2018-07,11.0985,24.5763
2018-08,17.567,27.7899
2018-09,10.9458,27.6747
2018-10,18.113,18.1983
2018-11,28.6166,19.8597
2018-12,19.5619,8.8011
2019-01,32.7007,17.1215
2019-02,28.3322,20.4441
2019-03,34.6084,22.1999
2019-04,28.1451,26.5012
2019-05,34.1027,17.9266
2019-06,46.6078,25.7011
2019-07,43.3095,26.9004
2019-08,55.1925,24.2426
2019-09,54.8732,26.142
2019-10,37.0329,28.3311
2019-11,22.08,32.3256
2019-12,22.0846,35.5485
2020-01,23.5048,34.7719
2020-02,14.3475,23.2511
2020-03,-41.3675,7.5779
2020-04,-27.5464,21.2186
2020-05,-21.0338,26.5774
2020-06,-15.8675,28.3766
2020-07,-11.7049,35.3325
2020-08,-4.9307,44.0777
2020-09,-2.1058,37.914
2020-10,-7.9612,33.7633
2020-11,11.8575,47.7098
2020-12,15.3347,52.3667
2021-01,11.215,49.9654
2021-02,27.3417,53.2453
2021-03,29.0453,60.4049
2021-04,33.6436,67.83
2021-05,33.102,67.8968
2021-06,37.5725,70.6358
2021-07,43.4296,73.7106
2021-08,33.6257,77.7187
2021-09,32.4581,68.3779
2021-10,27.5624,79.119
2021-11,11.7881,76.6949
2021-12,22.7202,83.6042
2022-01,29.1312,72.9303
2022-02,31.1416,66.8181
2022-03,50.5978,72.1992
2022-04,34.8304,56.2223
2022-05,37.2541,55.8933
2022-06,25.0797,42.4002
2022-07,30.3949,54.8512
2022-08,15.7292,47.8158
2022-09,-1.9303,33.7039
2022-10,-2.2921,44.0824
2022-11,16.2413,51.4429
2022-12,14.6069,42.1877
2023-01,34.0143,50.5828
2023-02,25.4818,46.2373
2023-03,12.745,52.2586
2023-04,27.2371,54.0684
2023-05,13.9891,54.1996
2023-06,25.8945,63.548
2023-07,31.3351,68.1942
2023-08,17.9387,64.7317
2023-09,16.0104,56.2636
2023-10,17.9516,52.2886
2023-11,27.1192,65.5989
2023-12,41.6015,72.448
2024-01,32.55,74.4576
2024-02,20.5274,82.7177
2024-03,28.9465,89.0282
2024-04,30.9338,80.6052
2024-05,48.2644,88.8335
2024-06,50.7294,96.0415
2024-07,60.9568,97.3583
2024-08,82.9307,101.128
2024-09,88.0604,105.7758
2024-10,92.5383,102.865
2024-11,87.539,113.7798
2024-12,72.9545,107.7813
2025-01,78.0881,112.3595
2025-02,103.0768,108.6721
2025-03,102.3234,96.0839
2025-04,105.2549,93.6359
2025-05,87.4804,104.9003
2025-06,84.8263,114.5225
2025-07,95.8368,118.4064
2025-08,97.6172,121.8959
2025-09,103.6873,128.6764
2025-10,113.8008,133.0211
2025-11,132.5597,132.409
2025-12,123.51,131.4906
2026-01,124.6907,133.7386
2026-02,148.1018,130.7823
2026-03,148.3297,129.7769
