Date,rate_COF_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.3862,-1.8027
2016-03,2.5289,4.5695
2016-04,5.8411,3.6217
2016-05,6.4724,4.6859
2016-06,-8.5486,4.2011
2016-07,-1.9999,7.3141
2016-08,5.4548,6.5393
2016-09,5.2643,5.8417
2016-10,7.9423,3.4057
2016-11,22.3557,7.0013
2016-12,24.7953,8.6582
2017-01,23.0982,9.9058
2017-02,30.9575,13.4199
2017-03,18.8875,12.5861
2017-04,9.1895,12.9516
2017-05,4.443,13.7442
2017-06,11.8128,14.6714
2017-07,15.969,16.2352
2017-08,6.9436,15.7466
2017-09,13.3027,17.3266
2017-10,22.679,19.2474
2017-11,23.05,22.0133
2017-12,32.0864,22.6523
2018-01,36.5495,28.4864
2018-02,28.8572,22.6807
2018-03,25.1148,18.8927
2018-04,17.4951,18.6249
2018-05,22.8187,20.8091
2018-06,19.2922,20.9812
2018-07,21.7849,24.5763
2018-08,28.7231,27.7899
2018-09,22.4936,27.6747
2018-10,14.6285,18.1983
2018-11,15.2065,19.8597
2018-12,-3.2203,8.8011
2019-01,3.2586,17.1215
2019-02,8.5116,20.4441
2019-03,5.8162,22.1999
2019-04,19.9576,26.5012
2019-05,12.0738,17.9266
2019-06,18.1157,25.7011
2019-07,19.8373,26.9004
2019-08,13.4763,24.2426
2019-09,18.8627,26.142
2019-10,21.4494,28.3311
2019-11,31.2602,32.3256
2019-12,34.3895,35.5485
2020-01,29.651,34.7719
2020-02,15.6987,23.2511
2020-03,-34.0253,7.5779
2020-04,-14.1551,21.2186
2020-05,-7.8413,26.5774
2020-06,-15.1229,28.3766
2020-07,-13.1495,35.3325
2020-08,-5.3801,44.0777
2020-09,-1.3943,37.914
2020-10,0.2761,33.7633
2020-11,17.8831,47.7098
2020-12,35.5876,52.3667
2021-01,42.3831,49.9654
2021-02,63.8992,53.2453
2021-03,72.3459,60.4049
2021-04,100.5445,67.83
2021-05,116.2042,67.8968
2021-06,106.2318,70.6358
2021-07,113.8837,73.7106
2021-08,122.521,77.7187
2021-09,115.5864,68.3779
2021-10,99.4708,79.119
2021-11,86.6544,76.6949
2021-12,91.5159,83.6042
2022-01,92.41,72.9303
2022-02,101.9788,66.8181
2022-03,72.1567,72.1992
2022-04,62.5228,56.2223
2022-05,68.2432,55.8933
2022-06,36.4947,42.4002
2022-07,43.3528,54.8512
2022-08,39.9418,47.8158
2022-09,21.516,33.7039
2022-10,39.4444,44.0824
2022-11,36.1045,51.4429
2022-12,22.25,42.1877
2023-01,56.116,50.5828
2023-02,44.8881,46.2373
2023-03,27.3073,52.2586
2023-04,28.5009,54.0684
2023-05,39.7015,54.1996
2023-06,46.0784,63.548
2023-07,55.744,68.1942
2023-08,38.157,64.7317
2023-09,30.5357,56.2636
2023-10,35.8941,52.2886
2023-11,51.7964,65.5989
2023-12,77.4999,72.448
2024-01,82.3557,74.4576
2024-02,87.0006,82.7177
2024-03,101.3857,89.0282
2024-04,93.0532,80.6052
2024-05,86.7898,88.8335
2024-06,87.0435,96.0415
2024-07,103.5908,97.3583
2024-08,97.4691,101.128
2024-09,100.2814,105.7758
2024-10,116.7269,102.865
2024-11,155.0925,113.7798
2024-12,135.5798,107.7813
2025-01,167.6691,112.3595
2025-02,162.8029,108.6721
2025-03,133.6722,96.0839
2025-04,133.7281,93.6359
2025-05,147.1019,104.9003
2025-06,176.4602,114.5225
2025-07,177.8076,118.4064
2025-08,194.3157,121.8959
2025-09,173.8083,128.6764
2025-10,181.82,133.0211
2025-11,180.1395,132.409
2025-12,208.2242,131.4906
2026-01,176.8963,133.7386
2026-02,146.1619,130.7823
2026-03,142.5838,127.7382
