Date,rate_INCY_5D,rate_VOO_20D
2016-01,-10.0036,1.4254
2016-02,-2.6848,0.6142
2016-03,-3.7295,6.1243
2016-04,-3.3724,4.6014
2016-05,13.3163,5.2878
2016-06,2.2352,4.687
2016-07,14.4503,7.7174
2016-08,1.2945,6.8637
2016-09,17.6159,5.9421
2016-10,6.8487,3.4868
2016-11,24.6183,6.843
2016-12,20.0918,8.2789
2017-01,43.0391,9.3935
2017-02,53.0894,12.821
2017-03,50.1724,12.0413
2017-04,36.4323,12.4367
2017-05,39.7552,13.2406
2017-06,34.0699,14.1802
2017-07,39.8189,15.6892
2017-08,42.4863,15.2834
2017-09,19.3907,16.8657
2017-10,14.9689,18.7799
2017-11,0.2125,21.509
2017-12,-4.0901,22.1709
2018-01,-8.4372,27.9258
2018-02,-13.2362,22.2578
2018-03,-14.6105,18.4465
2018-04,-29.2011,18.162
2018-05,-20.8864,20.337
2018-06,-21.6608,20.5057
2018-07,-21.6813,24.0401
2018-08,-12.1445,27.2093
2018-09,-17.5224,27.1082
2018-10,-22.1213,17.9327
2018-11,-25.9903,19.5577
2018-12,-26.1845,8.5722
2019-01,-5.5597,16.8959
2019-02,1.0356,20.2219
2019-03,0.6925,21.9603
2019-04,-9.781,26.2654
2019-05,-11.4901,20.4953
2019-06,-10.3209,25.3574
2019-07,-10.0185,26.514
2019-08,-14.4567,24.0717
2019-09,-20.3372,25.9454
2019-10,-10.0399,27.4086
2019-11,1.1841,31.384
2019-12,-6.0377,34.5804
2020-01,-21.027,33.8021
2020-02,-17.8381,22.3336
2020-03,-18.5458,15.1867
2020-04,8.8715,29.6272
2020-05,11.7982,28.2305
2020-06,13.8564,28.0341
2020-07,9.0866,33.4885
2020-08,7.3394,42.106
2020-09,-0.0916,38.2475
2020-10,-0.5288,34.0563
2020-11,-0.3996,42.9575
2020-12,2.4911,47.5016
2021-01,6.9332,45.1166
2021-02,4.2519,43.0879
2021-03,6.6593,49.8512
2021-04,11.908,56.911
2021-05,8.7697,54.6413
2021-06,9.107,57.2758
2021-07,0.2728,60.2291
2021-08,-0.8513,64.0213
2021-09,-10.9975,55.5224
2021-10,-10.4049,65.5435
2021-11,-9.2947,65.5034
2021-12,-1.5083,68.4598
2022-01,-0.4315,58.7763
2022-02,-3.0423,53.2596
2022-03,12.7671,58.2953
2022-04,11.2803,52.2757
2022-05,8.9012,51.0659
2022-06,7.9612,38.0304
2022-07,10.2562,50.1558
2022-08,-0.0951,43.3725
2022-09,-5.4879,29.6913
2022-10,5.4944,39.7003
2022-11,9.4018,46.8631
2022-12,9.7011,40.5677
2023-01,15.4292,48.7988
2023-02,7.8982,45.5387
2023-03,0.8687,49.6635
2023-04,3.8411,48.4614
2023-05,-14.0718,48.1923
2023-06,-12.9442,57.2072
2023-07,-10.7438,61.7125
2023-08,-10.0399,59.5229
2023-09,-12.7472,51.3631
2023-10,-19.0462,47.5518
2023-11,-18.2387,60.474
2023-12,-5.2993,67.125
2024-01,-11.3445,69.1001
2024-02,-11.8478,77.1309
2024-03,-13.8462,83.2841
2024-04,-21.0734,75.177
2024-05,-12.1612,83.1784
2024-06,-7.7556,90.182
2024-07,-0.9366,90.9416
2024-08,1.0129,97.1965
2024-09,1.6791,98.31
2024-10,3.3993,95.5089
2024-11,4.3303,105.9957
2024-12,-4.6421,100.2436
2025-01,2.4298,104.6582
2025-02,1.4955,101.1287
2025-03,-6.2774,89.045
2025-04,-3.5412,88.6819
2025-05,0.1906,99.6712
2025-06,4.3269,109.046
2025-07,11.903,112.823
2025-08,26.2973,112.1707
2025-09,25.2428,118.6779
2025-10,37.7891,122.8639
2025-11,53.6178,122.3204
2025-12,44.8404,121.4705
2026-01,48.8527,123.6468
2026-02,41.999,120.852
