Date,rate_TYL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-24.9701,-1.8027
2016-03,-12.411,4.5695
2016-04,1.9659,3.6217
2016-05,6.2473,4.6859
2016-06,14.1903,4.2011
2016-07,9.8471,7.3141
2016-08,9.1637,6.5393
2016-09,12.7428,5.8417
2016-10,4.4271,3.4057
2016-11,-3.4036,7.0013
2016-12,-6.7862,8.6582
2017-01,-4.1405,9.9058
2017-02,-0.1614,13.4199
2017-03,1.7021,12.5861
2017-04,7.5201,12.9516
2017-05,11.8304,13.7442
2017-06,14.2444,14.6714
2017-07,11.015,16.2352
2017-08,11.0825,15.7466
2017-09,11.5606,17.3266
2017-10,12.9241,19.2474
2017-11,15.9455,22.0133
2017-12,11.6151,22.6523
2018-01,26.4133,28.4864
2018-02,26.4166,22.6807
2018-03,30.2555,18.8927
2018-04,34.0354,18.6249
2018-05,40.5103,20.8091
2018-06,33.4459,20.9812
2018-07,34.0821,24.5763
2018-08,45.9583,27.7899
2018-09,43.4598,27.6747
2018-10,22.8907,18.1983
2018-11,11.5663,19.8597
2018-12,7.2542,8.8011
2019-01,8.9974,17.1215
2019-02,17.6113,20.4441
2019-03,16.9224,22.1999
2019-04,32.0799,26.5012
2019-05,20.8677,17.9266
2019-06,21.8711,25.7011
2019-07,31.0225,26.9004
2019-08,43.1071,24.2426
2019-09,45.4466,26.142
2019-10,47.7734,28.3311
2019-11,58.5273,32.3256
2019-12,62.6427,35.5485
2020-01,74.0633,34.7719
2020-02,67.0862,23.2511
2020-03,56.9147,7.5779
2020-04,68.5261,21.2186
2020-05,95.71,26.5774
2020-06,79.2996,28.3766
2020-07,83.1367,35.3325
2020-08,75.5965,44.0777
2020-09,75.8941,37.914
2020-10,92.4502,33.7633
2020-11,112.2736,47.7098
2020-12,114.7646,52.3667
2021-01,106.1982,49.9654
2021-02,124.0666,53.2453
2021-03,103.4731,60.4049
2021-04,101.9781,67.83
2021-05,90.1935,67.8968
2021-06,111.7952,70.6358
2021-07,128.788,73.7106
2021-08,123.6994,77.7187
2021-09,109.5527,68.3779
2021-10,146.2694,79.119
2021-11,133.324,76.6949
2021-12,139.9771,83.6042
2022-01,109.7637,72.9303
2022-02,88.2726,66.8181
2022-03,94.3621,72.1992
2022-04,71.4003,56.2223
2022-05,53.7044,55.8933
2022-06,43.0297,42.4002
2022-07,70.9399,54.8512
2022-08,58.3643,47.8158
2022-09,47.4929,33.7039
2022-10,36.7149,44.0824
2022-11,44.4669,51.4429
2022-12,35.3841,42.1877
2023-01,35.118,50.5828
2023-02,34.029,46.2373
2023-03,47.4966,52.2586
2023-04,57.0452,54.0684
2023-05,63.7881,54.1996
2023-06,71.074,63.548
2023-07,62.2043,68.1942
2023-08,62.2542,64.7317
2023-09,56.6198,56.2636
2023-10,50.6788,52.2886
2023-11,64.6037,65.5989
2023-12,67.6325,72.448
2024-01,68.7821,74.4576
2024-02,73.778,82.7177
2024-03,68.2344,89.0282
2024-04,81.9734,80.6052
2024-05,88.5426,88.8335
2024-06,96.4227,96.0415
2024-07,120.8636,97.3583
2024-08,127.336,101.128
2024-09,124.5307,105.7758
2024-10,131.7212,102.865
2024-11,139.4643,113.7798
2024-12,118.3285,107.7813
2025-01,126.6463,112.3595
2025-02,128.0378,108.6721
2025-03,116.8237,96.0839
2025-04,101.661,93.6359
2025-05,113.2002,104.9003
2025-06,118.0325,114.5225
2025-07,113.9848,118.4064
2025-08,105.1199,121.8959
2025-09,89.8269,128.6764
2025-10,72.1718,133.0211
2025-11,69.1771,132.409
2025-12,62.9922,131.4906
2026-01,32.2851,133.7386
2026-02,26.7753,130.7823
2026-03,24.2891,126.4154
