Date,rate_REGN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-19.1071,-3.7423
2016-03,-11.3454,0.3764
2016-04,-8.7142,5.1946
2016-05,-13.1412,3.5695
2016-06,-3.978,4.8356
2016-07,-14.2846,4.3651
2016-08,6.2202,7.2005
2016-09,-4.4326,6.5176
2016-10,-1.8467,5.8316
2016-11,-15.2391,2.6321
2016-12,-6.6522,6.5262
2017-01,-8.2238,8.6002
2017-02,-8.3338,9.8701
2017-03,-3.9762,14.9815
2017-04,-1.5688,12.5254
2017-05,0.7247,13.1716
2017-06,18.4268,14.581
2017-07,23.7256,14.626
2017-08,17.6989,16.4591
2017-09,24.7282,15.9061
2017-10,9.6028,17.2911
2017-11,-3.0747,19.4181
2017-12,-8.6977,21.7575
2018-01,-7.7284,22.6249
2018-02,-14.8523,28.3844
2018-03,-20.2366,21.0506
2018-04,-13.8413,18.8566
2018-05,-24.2056,18.843
2018-06,-21.9345,22.0592
2018-07,-11.4218,20.962
2018-08,-4.343,24.4135
2018-09,5.0115,27.7869
2018-10,1.629,28.1445
2018-11,-8.5016,19.3954
2018-12,-5.5386,19.8359
2019-01,-3.3564,8.7501
2019-02,11.4033,17.203
2019-03,13.5336,21.2677
2019-04,5.5829,23.6016
2019-05,-12.3687,25.5902
2019-06,-22.1503,17.8911
2019-07,-17.7705,26.7327
2019-08,-19.2209,25.8061
2019-09,-23.8728,24.2046
2019-10,-26.9335,24.595
2019-11,-17.2901,29.5299
2019-12,-1.2661,32.3145
2020-01,0.4925,35.5516
2020-02,-9.5655,34.7733
2020-03,19.2183,23.2161
2020-04,32.7612,2.6957
2020-05,39.8045,17.923
2020-06,58.6247,27.1545
2020-07,60.0863,29.2791
2020-08,64.9688,35.3897
2020-09,53.5986,45.4969
2020-10,46.3358,38.8421
2020-11,39.2387,33.8054
2020-12,31.054,49.4413
2021-01,22.6732,52.4925
2021-02,28.6211,52.5474
2021-03,16.7995,57.1165
2021-04,19.521,62.2404
2021-05,20.8134,68.0147
2021-06,25.9817,67.9506
2021-07,43.4027,71.7835
2021-08,42.7509,73.9065
2021-09,68.4248,78.108
2021-10,40.3435,70.559
2021-11,56.5046,79.7147
2021-12,53.622,74.8714
2022-01,53.1014,83.8439
2022-02,47.9909,74.2485
2022-03,45.8205,64.4857
2022-04,66.2109,72.8765
2022-05,56.8386,56.3809
2022-06,56.0542,54.7432
2022-07,40.36,43.9638
2022-08,35.4509,54.5402
2022-09,40.6134,48.4061
2022-10,60.6948,33.808
2022-11,76.4487,43.6413
2022-12,75.8336,51.6237
2023-01,65.7953,42.3283
2023-02,73.3707,52.4008
2023-03,75.3476,45.8599
2023-04,86.0824,52.4428
2023-05,81.7352,54.1535
2023-06,63.8821,55.8684
2023-07,60.3526,63.7729
2023-08,64.2509,67.9151
2023-09,84.0344,65.3142
2023-10,81.2205,56.4671
2023-11,73.4104,54.158
2023-12,77.7834,66.8181
2024-01,90.7479,72.7134
2024-02,106.9903,77.0248
2024-03,111.2805,84.7703
2024-04,107.2666,89.0895
2024-05,92.1895,80.3005
2024-06,107.5096,89.1407
2024-07,122.644,96.817
2024-08,129.0196,94.9948
2024-09,146.8544,101.4737
2024-10,116.9083,104.2286
2024-11,73.8952,104.0979
2024-12,54.0314,114.1559
2025-01,45.7761,108.1307
2025-02,37.3256,112.719
2025-03,42.408,109.0154
2025-04,25.4105,97.097
2025-05,19.7047,95.2965
2025-06,-0.4948,105.2137
2025-07,8.5667,114.7559
2025-08,13.351,115.142
2025-09,17.8364,122.2543
2025-10,21.582,129.8729
2025-11,31.8922,133.4127
2025-12,51.6536,131.7276
2026-01,55.609,131.8756
2026-02,56.6938,131.1612
