Date,rate_TFC_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,0.0449,0.6142
2016-03,2.0297,6.1243
2016-04,7.1864,4.6014
2016-05,9.6004,5.2878
2016-06,3.7843,4.687
2016-07,7.138,7.7174
2016-08,11.4111,6.8637
2016-09,7.9474,5.9421
2016-10,11.1796,3.4868
2016-11,28.0359,6.843
2016-12,30.2417,8.2789
2017-01,25.5133,9.3935
2017-02,29.978,12.821
2017-03,18.4611,12.0413
2017-04,13.3123,12.4367
2017-05,9.235,13.2406
2017-06,18.4568,14.1802
2017-07,22.4206,15.6892
2017-08,18.9291,15.2834
2017-09,20.1743,16.8657
2017-10,25.1418,18.7799
2017-11,25.4703,21.509
2017-12,25.1449,22.1709
2018-01,37.6612,27.9258
2018-02,32.2058,22.2578
2018-03,25.3349,18.4465
2018-04,26.2044,18.162
2018-05,25.4162,20.337
2018-06,19.564,20.5057
2018-07,19.7765,24.0401
2018-08,22.0865,27.2093
2018-09,14.0511,27.1082
2018-10,11.9193,17.9327
2018-11,15.6496,19.5577
2018-12,10.6303,8.5722
2019-01,24.2912,16.8959
2019-02,30.0789,20.2219
2019-03,18.2645,21.9603
2019-04,29.5437,26.2654
2019-05,18.6492,20.4953
2019-06,24.0799,25.3574
2019-07,29.5373,26.514
2019-08,25.0622,24.0717
2019-09,36.9235,25.9454
2019-10,35.7461,27.4086
2019-11,40.3335,31.384
2019-12,43.5542,34.5804
2020-01,30.6322,33.8021
2020-02,17.1946,22.3336
2020-03,-21.3208,15.1867
2020-04,-4.081,29.6272
2020-05,-1.8206,28.2305
2020-06,4.1884,28.0341
2020-07,5.2837,33.4885
2020-08,6.9981,42.106
2020-09,-1.9964,38.2475
2020-10,3.2163,34.0563
2020-11,8.5353,42.9575
2020-12,10.7418,47.5016
2021-01,15.7567,45.1166
2021-02,28.6927,43.0879
2021-03,29.7466,49.8512
2021-04,30.2406,56.911
2021-05,36.1728,54.6413
2021-06,21.974,57.2758
2021-07,19.28,60.2291
2021-08,22.3175,64.0213
2021-09,25.3865,55.5224
2021-10,35.2569,65.5435
2021-11,28.0623,65.5034
2021-12,25.1948,68.4598
2022-01,34.3036,58.7763
2022-02,31.5047,53.2596
2022-03,24.6079,58.2953
2022-04,6.0778,52.2757
2022-05,10.1128,51.0659
2022-06,4.8883,38.0304
2022-07,7.8625,50.1558
2022-08,1.0345,43.3725
2022-09,-6.1354,29.6913
2022-10,-3.444,39.7003
2022-11,2.0964,46.8631
2022-12,-2.4029,40.5677
2023-01,12.0366,48.7988
2023-02,9.2194,45.5387
2023-03,6.1552,49.6635
2023-04,-3.0624,48.4614
2023-05,-8.9983,48.1923
2023-06,-9.2948,57.2072
2023-07,-0.6461,61.7125
2023-08,-3.0328,59.5229
2023-09,-9.8187,51.3631
2023-10,-13.6859,47.5518
2023-11,-0.7247,60.474
2023-12,14.0069,67.125
2024-01,14.2752,69.1001
2024-02,9.2852,77.1309
2024-03,21.6661,83.2841
2024-04,13.5592,75.177
2024-05,15.5206,83.1784
2024-06,18.7616,90.182
2024-07,36.4035,90.9416
2024-08,37.9414,97.1965
2024-09,32.3495,98.31
2024-10,32.9244,95.5089
2024-11,51.8991,105.9957
2024-12,37.8394,100.2436
2025-01,50.9298,104.6582
2025-02,50.7406,101.1287
2025-03,44.8033,89.045
2025-04,34.5681,88.6819
2025-05,43.8907,99.6712
2025-06,51.4463,109.046
2025-07,55.8394,112.823
2025-08,65.0772,112.1707
2025-09,60.6549,118.6779
2025-10,56.3578,122.8639
2025-11,68.1228,122.3204
2025-12,77.2716,121.4705
2026-01,84.5093,123.6468
2026-02,83.7037,120.852
