Date,rate_LEN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.6143,-1.8027
2016-03,10.099,4.5695
2016-04,1.3003,3.6217
2016-05,1.6182,4.6859
2016-06,2.4338,4.2011
2016-07,3.5275,7.3141
2016-08,4.1943,6.5393
2016-09,-6.9877,5.8417
2016-10,-7.7246,3.4057
2016-11,-5.039,7.0013
2016-12,-3.6438,8.6582
2017-01,0.5025,9.9058
2017-02,9.718,13.4199
2017-03,14.2531,12.5861
2017-04,11.8394,12.9516
2017-05,12.9453,13.7442
2017-06,16.5398,14.6714
2017-07,13.7645,16.2352
2017-08,11.5238,15.7466
2017-09,13.2,17.3266
2017-10,18.7094,19.2474
2017-11,35.0594,22.0133
2017-12,34.5912,22.6523
2018-01,31.9881,28.4864
2018-02,18.0926,22.6807
2018-03,22.2599,18.8927
2018-04,9.0194,18.6249
2018-05,6.2866,20.8091
2018-06,7.6395,20.9812
2018-07,6.9232,24.5763
2018-08,5.5155,27.7899
2018-09,-4.7902,27.6747
2018-10,-12.2421,18.1983
2018-11,-12.4708,19.8597
2018-12,-19.4696,8.8011
2019-01,-1.85,17.1215
2019-02,-0.6279,20.4441
2019-03,1.7379,22.1999
2019-04,7.7871,26.5012
2019-05,2.6998,17.9266
2019-06,0.1601,25.7011
2019-07,-1.6623,26.9004
2019-08,5.4111,24.2426
2019-09,15.286,26.142
2019-10,22.6691,28.3311
2019-11,22.2443,32.3256
2019-12,13.9104,35.5485
2020-01,35.3896,34.7719
2020-02,22.4784,23.2511
2020-03,-22.6769,7.5779
2020-04,2.3824,21.2186
2020-05,23.5807,26.5774
2020-06,25.514,28.3766
2020-07,47.1151,35.3325
2020-08,51.2607,44.0777
2020-09,64.0477,37.914
2020-10,40.5962,33.7633
2020-11,51.1127,47.7098
2020-12,51.0527,52.3667
2021-01,64.3252,49.9654
2021-02,62.9077,53.2453
2021-03,97.5223,60.4049
2021-04,101.0339,67.83
2021-05,90.647,67.8968
2021-06,89.9304,70.6358
2021-07,100.037,73.7106
2021-08,102.6403,77.7187
2021-09,75.606,68.3779
2021-10,86.6249,79.119
2021-11,94.8702,76.6949
2021-12,113.9547,83.6042
2022-01,76.4402,72.9303
2022-02,64.0543,66.8181
2022-03,47.3982,72.1992
2022-04,38.9797,56.2223
2022-05,45.2704,55.8933
2022-06,27.2679,42.4002
2022-07,53.4314,54.8512
2022-08,39.1996,47.8158
2022-09,33.5266,33.7039
2022-10,44.7571,44.0824
2022-11,56.9202,51.4429
2022-12,60.9828,42.1877
2023-01,81.9761,50.5828
2023-02,70.9845,46.2373
2023-03,84.8971,52.2586
2023-04,98.0475,54.0684
2023-05,87.0248,54.1996
2023-06,117.6071,63.548
2023-07,119.5825,68.1942
2023-08,104.9719,64.7317
2023-09,92.0962,56.2636
2023-10,82.3122,52.2886
2023-11,117.4557,65.5989
2023-12,151.8754,72.448
2024-01,152.5087,74.4576
2024-02,165.3945,82.7177
2024-03,186.0978,89.0282
2024-04,151.4623,80.6052
2024-05,164.3348,88.8335
2024-06,145.5664,96.0415
2024-07,190.67,97.3583
2024-08,197.2184,101.128
2024-09,204.1249,105.7758
2024-10,175.3233,102.865
2024-11,180.2584,113.7798
2024-12,117.8945,107.7813
2025-01,116.3638,112.3595
2025-02,96.2753,108.6721
2025-03,87.4906,96.0839
2025-04,77.4977,93.6359
2025-05,72.7025,104.9003
2025-06,79.4081,114.5225
2025-07,84.4453,118.4064
2025-08,117.8566,121.8959
2025-09,105.2952,128.6764
2025-10,103.1404,133.0211
2025-11,114.5661,132.409
2025-12,67.2822,131.4906
2026-01,77.3414,133.7386
2026-02,85.6048,130.7823
2026-03,56.1692,126.4154
