Date,rate_ABT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.1431,-1.8027
2016-03,4.3684,4.5695
2016-04,-3.4818,3.6217
2016-05,-0.9755,4.6859
2016-06,-1.5573,4.2011
2016-07,12.833,7.3141
2016-08,4.3162,6.5393
2016-09,4.4277,5.8417
2016-10,-2.8505,3.4057
2016-11,-5.4384,7.0013
2016-12,-4.0325,8.6582
2017-01,5.3401,9.9058
2017-02,13.1525,13.4199
2017-03,10.5347,12.5861
2017-04,8.6296,12.9516
2017-05,13.1355,13.7442
2017-06,19.5957,14.6714
2017-07,20.599,16.2352
2017-08,23.8399,15.7466
2017-09,28.5011,17.3266
2017-10,29.9089,19.2474
2017-11,33.6997,22.0133
2017-12,33.9625,22.6523
2018-01,45.0622,28.4864
2018-02,39.1108,22.6807
2018-03,36.8238,18.8927
2018-04,32.1005,18.6249
2018-05,38.5895,20.8091
2018-06,36.0538,20.9812
2018-07,45.5633,24.5763
2018-08,47.0376,27.7899
2018-09,59.7981,27.6747
2018-10,50.3134,18.1983
2018-11,59.8029,19.8597
2018-12,54.4723,8.8011
2019-01,55.0501,17.1215
2019-02,63.3847,20.4441
2019-03,66.5574,22.1999
2019-04,66.0967,26.5012
2019-05,57.4427,17.9266
2019-06,72.3946,25.7011
2019-07,78.7305,26.9004
2019-08,73.3754,24.2426
2019-09,68.4265,26.142
2019-10,68.7808,28.3311
2019-11,71.0419,32.3256
2019-12,72.3556,35.5485
2020-01,72.1366,34.7719
2020-02,50.9181,23.2511
2020-03,53.5727,7.5779
2020-04,78.7436,21.2186
2020-05,82.7617,26.5774
2020-06,74.611,28.3766
2020-07,91.3636,35.3325
2020-08,106.3665,44.0777
2020-09,103.3519,37.914
2020-10,95.3569,33.7633
2020-11,99.4646,47.7098
2020-12,100.122,52.3667
2021-01,124.8376,49.9654
2021-02,115.9795,53.2453
2021-03,114.2149,60.4049
2021-04,113.6654,67.83
2021-05,105.8687,67.8968
2021-06,103.1679,70.6358
2021-07,111.1687,73.7106
2021-08,118.8625,77.7187
2021-09,102.9765,68.3779
2021-10,120.6211,79.119
2021-11,113.6253,76.6949
2021-12,137.2567,83.6042
2022-01,113.968,72.9303
2022-02,101.0437,66.8181
2022-03,95.9862,72.1992
2022-04,87.5063,56.2223
2022-05,92.8645,55.8933
2022-06,77.3343,42.4002
2022-07,77.4077,54.8512
2022-08,66.3987,47.8158
2022-09,56.0652,33.7039
2022-10,59.6312,44.0824
2022-11,72.77,51.4429
2022-12,75.4281,42.1877
2023-01,76.5577,50.5828
2023-02,61.6295,46.2373
2023-03,60.2043,52.2586
2023-04,74.8181,54.0684
2023-05,60.6423,54.1996
2023-06,70.9574,63.548
2023-07,74.575,68.1942
2023-08,60.6285,64.7317
2023-09,50.5833,56.2636
2023-10,47.2744,52.2886
2023-11,61.8695,65.5989
2023-12,70.1477,72.448
2024-01,75.008,74.4576
2024-02,82.6677,82.7177
2024-03,74.2069,89.0282
2024-04,64.268,80.6052
2024-05,57.7878,88.8335
2024-06,59.8653,96.0415
2024-07,63.2405,97.3583
2024-08,73.7974,101.128
2024-09,74.2242,105.7758
2024-10,73.3909,102.865
2024-11,80.842,113.7798
2024-12,71.5197,107.7813
2025-01,94.1199,112.3595
2025-02,108.475,108.6721
2025-03,99.4432,96.0839
2025-04,96.6022,93.6359
2025-05,99.9772,104.9003
2025-06,102.7196,114.5225
2025-07,88.1404,118.4064
2025-08,96.9635,121.8959
2025-09,98.0253,128.6764
2025-10,82.883,133.0211
2025-11,89.9593,132.409
2025-12,83.9209,131.4906
2026-01,59.8634,133.7386
2026-02,69.6414,130.7823
2026-03,53.2626,117.6607
