Date,rate_CMS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.8149,-1.8027
2016-03,12.2303,4.5695
2016-04,4.5298,3.6217
2016-05,7.3065,4.6859
2016-06,16.1759,4.2011
2016-07,12.2567,7.3141
2016-08,3.6641,6.5393
2016-09,3.3889,5.8417
2016-10,3.3929,3.4057
2016-11,-0.7419,7.0013
2016-12,2.8919,8.6582
2017-01,5.0817,9.9058
2017-02,10.3135,13.4199
2017-03,10.2268,12.5861
2017-04,11.2006,12.9516
2017-05,16.2662,13.7442
2017-06,12.5095,14.6714
2017-07,11.8268,16.2352
2017-08,17.5128,15.7466
2017-09,11.3637,17.3266
2017-10,15.7485,19.2474
2017-11,19.5126,22.0133
2017-12,12.5398,22.6523
2018-01,6.01,28.4864
2018-02,1.2448,22.6807
2018-03,7.971,18.8927
2018-04,12.1988,18.6249
2018-05,10.1277,20.8091
2018-06,12.6089,20.9812
2018-07,14.7153,24.5763
2018-08,17.2537,27.7899
2018-09,16.162,27.6747
2018-10,16.9224,18.1983
2018-11,23.4059,19.8597
2018-12,17.015,8.8011
2019-01,23.2873,17.1215
2019-02,28.0092,20.4441
2019-03,29.9678,22.1999
2019-04,29.2679,26.5012
2019-05,30.7595,17.9266
2019-06,34.192,25.7011
2019-07,34.1198,26.9004
2019-08,45.2822,24.2426
2019-09,46.3339,26.142
2019-10,46.1214,28.3311
2019-11,39.224,32.3256
2019-12,41.8783,35.5485
2020-01,53.729,34.7719
2020-02,35.5542,23.2511
2020-03,31.1331,7.5779
2020-04,26.9525,21.2186
2020-05,30.6833,26.5774
2020-06,29.7393,28.3766
2020-07,41.8678,35.3325
2020-08,33.9114,44.0777
2020-09,35.353,37.914
2020-10,38.9435,33.7633
2020-11,35.2688,47.7098
2020-12,33.5224,52.3667
2021-01,23.9817,49.9654
2021-02,18.5169,53.2453
2021-03,33.6972,60.4049
2021-04,40.0657,67.83
2021-05,36.8212,67.8968
2021-06,28.3382,70.6358
2021-07,33.751,73.7106
2021-08,39.2331,77.7187
2021-09,29.1288,68.3779
2021-10,30.0475,79.119
2021-11,27.3412,76.6949
2021-12,40.3188,83.6042
2022-01,38.3283,72.9303
2022-02,38.0256,66.8181
2022-03,50.2611,72.1992
2022-04,46.9073,56.2223
2022-05,52.2758,55.8933
2022-06,44.0639,42.4002
2022-07,46.0896,54.8512
2022-08,43.9643,47.8158
2022-09,23.6774,33.7039
2022-10,20.8708,44.0824
2022-11,30.0757,51.4429
2022-12,34.4994,42.1877
2023-01,33.7973,50.5828
2023-02,27.5812,46.2373
2023-03,32.5468,52.2586
2023-04,34.07,54.0684
2023-05,25.5647,54.1996
2023-06,26.9623,63.548
2023-07,31.663,68.1942
2023-08,21.8967,64.7317
2023-09,15.0278,56.2636
2023-10,17.5255,52.2886
2023-11,23.6057,65.5989
2023-12,26.1431,72.448
2024-01,23.9035,74.4576
2024-02,27.4216,82.7177
2024-03,33.6568,89.0282
2024-04,33.9219,80.6052
2024-05,39.8247,88.8335
2024-06,31.9065,96.0415
2024-07,43.2488,97.3583
2024-08,52.9502,101.128
2024-09,58.6605,105.7758
2024-10,55.82,102.865
2024-11,56.6863,113.7798
2024-12,49.3122,107.7813
2025-01,47.4095,112.3595
2025-02,67.4932,108.6721
2025-03,71.5831,96.0839
2025-04,67.6234,93.6359
2025-05,62.9743,104.9003
2025-06,60.2233,114.5225
2025-07,70.1002,118.4064
2025-08,68.1136,121.8959
2025-09,71.4811,128.6764
2025-10,71.5611,133.0211
2025-11,79.1332,132.409
2025-12,65.5768,131.4906
2026-01,68.7131,133.7386
2026-02,83.6129,130.7823
2026-03,77.7116,126.4154
