Date,rate_RL_5D,rate_VOO_20D
2016-01,5.4774,1.4254
2016-02,-6.1814,0.6142
2016-03,0.9868,6.1243
2016-04,-2.0128,4.6014
2016-05,-0.8531,5.2878
2016-06,-9.2987,4.687
2016-07,0.2792,7.7174
2016-08,5.1731,6.8637
2016-09,2.995,5.9421
2016-10,-0.4007,3.4868
2016-11,6.199,6.843
2016-12,-7.1592,8.2789
2017-01,-8.5703,9.3935
2017-02,-17.2954,12.821
2017-03,-13.3149,12.0413
2017-04,-13.4537,12.4367
2017-05,-26.5675,13.2406
2017-06,-18.0558,14.1802
2017-07,-15.0335,15.6892
2017-08,-0.4236,15.2834
2017-09,0.5677,16.8657
2017-10,1.6067,18.7799
2017-11,8.0146,21.509
2017-12,17.8727,22.1709
2018-01,29.1397,27.9258
2018-02,18.7984,22.2578
2018-03,25.3128,18.4465
2018-04,22.2679,18.162
2018-05,48.8519,20.337
2018-06,38.4188,20.5057
2018-07,47.1946,24.0401
2018-08,43.3375,27.2093
2018-09,47.7243,27.1082
2018-10,36.017,17.9327
2018-11,22.8895,19.5577
2018-12,12.3985,8.5722
2019-01,25.7904,16.8959
2019-02,34.8451,20.2219
2019-03,39.456,21.9603
2019-04,40.5094,26.2654
2019-05,11.9653,20.4953
2019-06,21.202,25.3574
2019-07,10.7825,26.514
2019-08,-5.9243,24.0717
2019-09,0.0893,25.9454
2019-10,1.8451,27.4086
2019-11,13.6867,31.384
2019-12,24.4754,34.5804
2020-01,19.9324,33.8021
2020-02,19.673,22.3336
2020-03,2.2918,15.1867
2020-04,12.9659,29.6272
2020-05,12.2383,28.2305
2020-06,9.2332,28.0341
2020-07,9.2959,33.4885
2020-08,5.3779,42.106
2020-09,12.245,38.2475
2020-10,4.688,34.0563
2020-11,21.2227,42.9575
2020-12,41.8326,47.5016
2021-01,39.2121,45.1166
2021-02,52.2548,43.0879
2021-03,58.5061,49.8512
2021-04,70.2107,56.911
2021-05,60.8656,54.6413
2021-06,54.1925,57.2758
2021-07,47.7948,60.2291
2021-08,50.4482,64.0213
2021-09,44.0415,55.5224
2021-10,57.5192,65.5435
2021-11,45.5232,65.5034
2021-12,39.9938,68.4598
2022-01,29.4811,58.7763
2022-02,51.8731,53.2596
2022-03,34.5395,58.2953
2022-04,23.8691,52.2757
2022-05,14.3414,51.0659
2022-06,0.8129,38.0304
2022-07,10.7635,50.1558
2022-08,2.4511,43.3725
2022-09,-1.4295,29.6913
2022-10,1.6642,39.7003
2022-11,24.0207,46.8631
2022-12,19.1859,40.5677
2023-01,36.8885,48.7988
2023-02,34.7655,45.5387
2023-03,38.1246,49.6635
2023-04,35.6416,48.4614
2023-05,26.8587,48.1923
2023-06,47.5994,57.2072
2023-07,56.562,61.7125
2023-08,43.5875,59.5229
2023-09,43.3497,51.3631
2023-10,35.7387,47.5518
2023-11,52.6833,60.474
2023-12,70.4404,67.125
2024-01,69.1139,69.1001
2024-02,117.9057,77.1309
2024-03,119.7095,83.2841
2024-04,90.6729,75.177
2024-05,116.7203,83.1784
2024-06,104.7956,90.182
2024-07,98.9703,90.9416
2024-08,90.1268,97.1965
2024-09,116.9887,98.31
2024-10,114.5583,95.5089
2024-11,124.7713,105.9957
2024-12,125.5997,100.2436
2025-01,142.5813,104.6582
2025-02,164.8524,101.1287
2025-03,148.984,89.045
2025-04,148.3651,88.6819
2025-05,203.811,99.6712
2025-06,204.3893,109.046
2025-07,229.6019,112.823
2025-08,223.8616,112.1707
2025-09,242.9484,118.6779
2025-10,247.4116,122.8639
2025-11,296.7866,122.3204
2025-12,282.5282,121.4705
2026-01,279.8479,123.6468
2026-02,287.3557,120.852
