Date,rate_HPE_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.2445,-0.6039
2016-03,29.5545,5.2168
2016-04,13.8289,3.9893
2016-05,23.3551,4.6886
2016-06,18.2491,4.1237
2016-07,32.7566,7.1795
2016-08,31.3752,6.3603
2016-09,35.0279,5.6281
2016-10,29.9017,3.196
2016-11,34.8319,6.7601
2016-12,28.3798,8.3626
2017-01,25.8288,10.2536
2017-02,24.5984,13.6522
2017-03,27.4262,12.7005
2017-04,31.8222,12.9818
2017-05,31.0228,13.693
2017-06,14.3108,13.5288
2017-07,19.7503,15.0481
2017-08,22.3984,14.5515
2017-09,27.1928,16.1037
2017-10,19.04,17.9557
2017-11,18.5142,20.6805
2017-12,20.9959,21.3029
2018-01,38.1763,28.0338
2018-02,54.6898,22.1441
2018-03,43.9091,18.3021
2018-04,38.3203,18.0902
2018-05,22.3277,20.2208
2018-06,17.3269,20.3415
2018-07,23.2786,23.8746
2018-08,31.1277,27.0072
2018-09,30.2792,27.7347
2018-10,20.9135,18.1437
2018-11,18.1673,19.7418
2018-12,4.3666,8.5778
2019-01,23.0099,17.1263
2019-02,28.4869,20.3748
2019-03,21.1376,22.0514
2019-04,23.3903,26.2651
2019-05,6.5252,17.5943
2019-06,16.7543,25.308
2019-07,11.7563,26.4355
2019-08,7.2241,23.7232
2019-09,18.5733,26.1617
2019-10,27.8835,28.2707
2019-11,22.6999,32.1761
2019-12,23.3282,35.3247
2020-01,8.4358,35.2749
2020-02,-0.6723,23.5454
2020-03,-23.6682,7.7105
2020-04,-20.3571,21.425
2020-05,-22.5946,26.7132
2020-06,-21.0225,28.4357
2020-07,-19.3666,35.3124
2020-08,-20.6344,43.9511
2020-09,-21.6835,37.6938
2020-10,-27.3733,33.4637
2020-11,-6.6269,47.2943
2020-12,1.3325,51.8455
2021-01,5.4803,50.305
2021-02,24.3084,53.4604
2021-03,34.9176,59.4101
2021-04,36.6871,66.6882
2021-05,35.5365,66.6274
2021-06,24.2618,69.2184
2021-07,23.1433,72.1455
2021-08,30.8838,75.992
2021-09,21.1973,66.6118
2021-10,24.1733,77.1553
2021-11,21.2213,74.6519
2021-12,33.8761,81.397
2022-01,38.026,70.7122
2022-02,33.9593,64.6001
2022-03,41.1319,69.8532
2022-04,29.6494,54.0273
2022-05,30.8145,53.6333
2022-06,11.8096,40.2902
2022-07,19.9425,52.5094
2022-08,14.2686,45.531
2022-09,1.5103,31.5965
2022-10,20.7878,41.7445
2022-11,41.6926,48.9584
2022-12,35.2543,39.838
2023-01,36.6841,48.5632
2023-02,31.8146,44.2258
2023-03,35.115,48.9578
2023-04,21.0054,50.6836
2023-05,21.5729,50.7741
2023-06,42.3074,59.884
2023-07,46.6935,64.3798
2023-08,42.8509,60.953
2023-09,46.4634,52.6248
2023-10,29.1901,48.7132
2023-11,41.6529,61.6976
2023-12,42.8448,68.3392
2024-01,28.7371,71.0275
2024-02,27.8895,79.0476
2024-03,49.5754,83.99
2024-04,42.86,75.7344
2024-05,47.8704,83.6813
2024-06,77.7999,89.2836
2024-07,66.4309,90.5002
2024-08,61.2762,94.0822
2024-09,71.4331,98.2932
2024-10,62.6387,95.412
2024-11,76.3334,105.8418
2024-12,77.6988,99.9875
2025-01,76.3752,105.351
2025-02,64.2271,101.7087
2025-03,28.5197,89.4719
2025-04,34.7629,87.0451
2025-05,43.1893,97.8575
2025-06,70.0237,107.0685
2025-07,71.3246,110.7404
2025-08,86.1923,114.0337
2025-09,103.6813,121.6081
2025-10,101.5089,125.7153
2025-11,79.6114,125.0226
2025-12,97.6184,124.0393
2026-01,77.174,127.2713
2026-02,91.4006,125.3185
