Date,rate_AIZ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.2545,-1.8027
2016-03,-0.1441,4.5695
2016-04,9.0386,3.6217
2016-05,11.4127,4.6859
2016-06,8.347,4.2011
2016-07,2.8422,7.3141
2016-08,11.0742,6.5393
2016-09,13.181,5.8417
2016-10,-2.3312,3.4057
2016-11,6.3258,7.0013
2016-12,13.6821,8.6582
2017-01,17.7858,9.9058
2017-02,19.3616,13.4199
2017-03,13.9825,12.5861
2017-04,13.7812,12.9516
2017-05,15.5682,13.7442
2017-06,21.2315,14.6714
2017-07,21.9352,16.2352
2017-08,9.2811,15.7466
2017-09,9.7959,17.3266
2017-10,15.2034,19.2474
2017-11,16.6756,22.0133
2017-12,16.0087,22.6523
2018-01,4.6977,28.4864
2018-02,-0.4797,22.6807
2018-03,6.4292,18.8927
2018-04,7.8359,18.6249
2018-05,10.7994,20.8091
2018-06,22.3569,20.9812
2018-07,29.6316,24.5763
2018-08,21.973,27.7899
2018-09,27.3522,27.6747
2018-10,14.0023,18.1983
2018-11,15.7385,19.8597
2018-12,6.0691,8.8011
2019-01,14.1135,17.1215
2019-02,23.6025,20.4441
2019-03,13.308,22.1999
2019-04,13.0512,26.5012
2019-05,21.4802,17.9266
2019-06,28.7159,25.7011
2019-07,36.3694,26.9004
2019-08,49.2256,24.2426
2019-09,51.5197,26.142
2019-10,50.7329,28.3311
2019-11,59.9241,32.3256
2019-12,56.5404,35.5485
2020-01,54.7708,34.7719
2020-02,44.1731,23.2511
2020-03,23.7313,7.5779
2020-04,25.8554,21.2186
2020-05,24.0971,26.5774
2020-06,24.4802,28.3766
2020-07,29.0914,35.3325
2020-08,47.6622,44.0777
2020-09,46.4723,37.914
2020-10,49.3217,33.7633
2020-11,56.5046,47.7098
2020-12,64.033,52.3667
2021-01,62.087,49.9654
2021-02,48.9051,53.2453
2021-03,70.2886,60.4049
2021-04,85.6724,67.83
2021-05,94.0438,67.8968
2021-06,86.6673,70.6358
2021-07,87.2995,73.7106
2021-08,102.8364,77.7187
2021-09,86.7384,68.3779
2021-10,89.669,79.119
2021-11,80.0432,76.6949
2021-12,83.4178,83.6042
2022-01,78.3605,72.9303
2022-02,99.6458,66.8181
2022-03,112.5749,72.1992
2022-04,111.128,56.2223
2022-05,106.8393,55.8933
2022-06,100.9686,42.4002
2022-07,103.0565,54.8512
2022-08,84.2954,47.8158
2022-09,67.9587,33.7039
2022-10,56.3198,44.0824
2022-11,49.3113,51.4429
2022-12,45.0673,42.1877
2023-01,53.2275,50.5828
2023-02,49.0466,46.2373
2023-03,39.9832,52.2586
2023-04,43.0791,54.0684
2023-05,42.2022,54.1996
2023-06,48.4591,63.548
2023-07,58.262,68.1942
2023-08,65.7256,64.7317
2023-09,70.0263,56.2636
2023-10,75.5464,52.2886
2023-11,99.5713,65.5989
2023-12,99.0804,72.448
2024-01,97.4248,74.4576
2024-02,114.719,82.7177
2024-03,121.5601,89.0282
2024-04,104.1576,80.6052
2024-05,102.0433,88.8335
2024-06,93.5168,96.0415
2024-07,102.5769,97.3583
2024-08,126.3357,101.128
2024-09,128.8331,105.7758
2024-10,119.4271,102.865
2024-11,158.6069,113.7798
2024-12,142.3386,107.7813
2025-01,143.2567,112.3595
2025-02,134.6506,108.6721
2025-03,135.5229,96.0839
2025-04,115.3203,93.6359
2025-05,125.6774,104.9003
2025-06,119.3912,114.5225
2025-07,107.0973,118.4064
2025-08,137.3192,121.8959
2025-09,138.1039,128.6764
2025-10,131.5901,133.0211
2025-11,148.3611,132.409
2025-12,161.8852,131.4906
2026-01,157.607,133.7386
2026-02,147.1311,130.7823
2026-03,149.4682,127.7382
