Date,rate_RJF_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.2993,-1.8027
2016-03,-0.7446,4.5695
2016-04,8.8445,3.6217
2016-05,15.0317,4.6859
2016-06,-0.6562,4.2011
2016-07,10.9475,7.3141
2016-08,16.2246,6.5393
2016-09,14.9909,5.8417
2016-10,17.2093,3.4057
2016-11,38.3153,7.0013
2016-12,30.3465,8.6582
2017-01,38.4608,9.9058
2017-02,42.2152,13.4199
2017-03,35.5118,12.5861
2017-04,30.254,12.9516
2017-05,24.567,13.7442
2017-06,36.977,14.6714
2017-07,40.0221,16.2352
2017-08,29.9379,15.7466
2017-09,39.0393,17.3266
2017-10,38.3412,19.2474
2017-11,42.3847,22.0133
2017-12,42.2103,22.6523
2018-01,52.0505,28.4864
2018-02,44.2876,22.6807
2018-03,38.7583,18.8927
2018-04,38.2656,18.6249
2018-05,47.3175,20.8091
2018-06,35.7345,20.9812
2018-07,38.3994,24.5763
2018-08,39.3711,27.7899
2018-09,38.0445,27.6747
2018-10,14.0813,18.1983
2018-11,18.0929,19.8597
2018-12,9.758,8.8011
2019-01,18.9365,17.1215
2019-02,21.4614,20.4441
2019-03,19.1724,22.1999
2019-04,34.9908,26.5012
2019-05,21.0384,17.9266
2019-06,24.8944,25.7011
2019-07,18.5524,26.9004
2019-08,15.0375,24.2426
2019-09,20.9635,26.142
2019-10,22.1139,28.3311
2019-11,30.8059,32.3256
2019-12,30.1785,35.5485
2020-01,32.946,34.7719
2020-02,21.0133,23.2511
2020-03,-8.2957,7.5779
2020-04,-4.0091,21.2186
2020-05,1.0434,26.5774
2020-06,0.8581,28.3766
2020-07,1.8545,35.3325
2020-08,10.9511,44.0777
2020-09,6.9805,37.914
2020-10,12.2591,33.7633
2020-11,33.2998,47.7098
2020-12,39.5892,52.3667
2021-01,45.684,49.9654
2021-02,69.2404,53.2453
2021-03,77.0174,60.4049
2021-04,87.5211,67.83
2021-05,88.7493,67.8968
2021-06,84.1514,70.6358
2021-07,82.2733,73.7106
2021-08,95.6208,77.7187
2021-09,92.721,68.3779
2021-10,104.4186,79.119
2021-11,102.3167,76.6949
2021-12,105.258,83.6042
2022-01,115.6032,72.9303
2022-02,121.6155,66.8181
2022-03,120.6082,72.1992
2022-04,96.2022,56.2223
2022-05,97.0101,55.8933
2022-06,78.4193,42.4002
2022-07,95.3923,54.8512
2022-08,105.8205,47.8158
2022-09,94.3103,33.7039
2022-10,132.3453,44.0824
2022-11,128.335,51.4429
2022-12,108.9408,42.1877
2023-01,120.821,50.5828
2023-02,111.0475,46.2373
2023-03,81.2345,52.2586
2023-04,76.6124,54.0684
2023-05,75.4187,54.1996
2023-06,101.2832,63.548
2023-07,113.9745,68.1942
2023-08,102.1601,64.7317
2023-09,94.6682,56.2636
2023-10,84.8005,52.2886
2023-11,102.5962,65.5989
2023-12,116.2438,72.448
2024-01,113.3403,74.4576
2024-02,131.6952,82.7177
2024-03,149.307,89.0282
2024-04,135.4294,80.6052
2024-05,135.5219,88.8335
2024-06,135.8331,96.0415
2024-07,120.8881,97.3583
2024-08,126.5178,101.128
2024-09,130.7543,105.7758
2024-10,178.7846,102.865
2024-11,216.4807,113.7798
2024-12,188.5783,107.7813
2025-01,212.0443,112.3595
2025-02,184.7052,108.6721
2025-03,154.2189,96.0839
2025-04,150.3437,93.6359
2025-05,167.0594,104.9003
2025-06,177.1351,114.5225
2025-07,201.2667,118.4064
2025-08,203.691,121.8959
2025-09,207.5786,128.6764
2025-10,182.0263,133.0211
2025-11,176.7343,132.409
2025-12,182.3834,131.4906
2026-01,192.9194,133.7386
2026-02,168.8969,130.7823
2026-03,159.2112,126.4154
