Date,rate_LINK-USD_5D,rate_VOO_20D
2017-11,0.0,0.0
2017-12,203.2265,3.7241
2018-01,136.5853,9.5581
2018-02,121.0264,3.7524
2018-03,-16.5886,-0.0356
2018-04,69.7448,-0.3034
2018-05,1.0801,1.8808
2018-06,-33.7249,2.0529
2018-07,-8.8552,5.648
2018-08,2.9738,8.8616
2018-09,3.887,8.7465
2018-10,58.1093,-0.7299
2018-11,-2.203,0.9314
2018-12,-12.2067,-10.1272
2019-01,18.3532,-1.8067
2019-02,28.6889,1.5158
2019-03,50.7396,3.2716
2019-04,37.4395,7.573
2019-05,192.2771,-1.0016
2019-06,854.5276,6.7728
2019-07,482.3385,7.9722
2019-08,356.734,5.3144
2019-09,334.6751,7.2137
2019-10,552.8816,9.4029
2019-11,416.5716,13.3973
2019-12,295.1662,16.6203
2020-01,512.9923,15.8436
2020-02,765.1562,4.3228
2020-03,363.659,-11.3504
2020-04,639.8602,2.2903
2020-05,698.3031,7.6491
2020-06,758.857,9.4484
2020-07,1321.7195,16.4043
2020-08,2694.1401,25.1495
2020-09,1603.9998,18.9858
2020-10,1790.2083,14.8351
2020-11,2234.919,28.7815
2020-12,1703.4443,33.4384
2021-01,3428.1229,31.0371
2021-02,3656.9548,34.3171
2021-03,4264.5263,41.4766
2021-04,5437.6871,48.9017
2021-05,4453.9276,48.9685
2021-06,2605.6134,51.7075
2021-07,2990.0886,54.7824
2021-08,3456.5325,58.7905
2021-09,3022.8832,49.4496
2021-10,3724.8897,60.1907
2021-11,3068.2918,57.7666
2021-12,2302.0654,64.6759
2022-01,1973.9248,54.002
2022-02,1685.1785,47.8898
2022-03,1861.4897,53.271
2022-04,1153.1359,37.2941
2022-05,750.9474,36.965
2022-06,589.7348,23.4719
2022-07,732.9715,35.9229
2022-08,609.561,28.8875
2022-09,699.3715,14.7756
2022-10,716.9021,25.1541
2022-11,686.6144,32.5146
2022-12,462.3373,23.2595
2023-01,592.8544,31.6546
2023-02,607.1645,27.309
2023-03,636.7345,33.3304
2023-04,575.181,35.1402
2023-05,512.5672,35.2714
2023-06,489.0366,44.6198
2023-07,595.919,49.2659
2023-08,435.335,45.8035
2023-09,636.798,37.3353
2023-10,912.1525,33.3604
2023-11,1165.8213,46.6707
2023-12,1197.0189,53.5197
2024-01,1219.786,55.5293
2024-02,1532.8129,63.7894
2024-03,1500.3147,70.0999
2024-04,985.1079,61.6769
2024-05,1404.5133,69.9052
2024-06,1051.0367,77.1132
2024-07,923.835,78.4301
2024-08,770.1675,82.1998
2024-09,825.4623,86.8475
2024-10,782.6299,83.9368
2024-11,1354.5577,94.8516
2024-12,1412.836,88.853
2025-01,1781.5785,93.4313
2025-02,996.7529,89.7438
2025-03,890.0111,77.1556
2025-04,936.6822,74.7076
2025-05,903.6573,85.9721
2025-06,851.4495,95.5942
2025-07,1094.0496,99.4781
2025-08,1519.5943,102.9676
2025-09,1372.8167,109.7481
2025-10,1078.8575,114.0929
2025-11,779.3201,113.4807
2025-12,718.1837,112.5623
2026-01,617.82,114.8103
2026-02,472.8252,111.8541
2026-03,488.8903,104.0237
