Date,rate_UPS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.0282,-1.8027
2016-03,10.6316,4.5695
2016-04,7.6908,3.6217
2016-05,4.9506,4.6859
2016-06,8.7875,4.2011
2016-07,7.824,7.3141
2016-08,10.2724,6.5393
2016-09,9.2367,5.8417
2016-10,6.7447,3.4057
2016-11,14.9915,7.0013
2016-12,12.4552,8.6582
2017-01,6.156,9.9058
2017-02,3.51,13.4199
2017-03,4.692,12.5861
2017-04,4.5536,12.9516
2017-05,3.6977,13.7442
2017-06,7.8794,14.6714
2017-07,7.1739,16.2352
2017-08,11.5489,15.7466
2017-09,16.5356,17.3266
2017-10,13.3286,19.2474
2017-11,18.8827,22.0133
2017-12,15.9222,22.6523
2018-01,23.1612,28.4864
2018-02,4.0114,22.6807
2018-03,3.9796,18.8927
2018-04,12.5824,18.6249
2018-05,17.4571,20.8091
2018-06,6.8931,20.9812
2018-07,20.3744,24.5763
2018-08,25.4531,27.7899
2018-09,18.4747,27.6747
2018-10,7.6122,18.1983
2018-11,18.915,19.8597
2018-12,0.1828,8.8011
2019-01,8.2392,17.1215
2019-02,13.9003,20.4441
2019-03,15.067,22.1999
2019-04,8.9716,26.5012
2019-05,-1.8609,17.9266
2019-06,9.0972,25.7011
2019-07,25.9589,26.9004
2019-08,27.5831,24.2426
2019-09,28.2068,26.142
2019-10,22.7203,28.3311
2019-11,30.0367,32.3256
2019-12,26.5266,35.5485
2020-01,11.4505,34.7719
2020-02,-1.6642,23.2511
2020-03,1.5444,7.5779
2020-04,2.9236,21.2186
2020-05,12.7874,26.5774
2020-06,25.5088,28.3766
2020-07,60.4249,35.3325
2020-08,85.9661,44.0777
2020-09,87.8753,37.914
2020-10,75.7134,33.7633
2020-11,91.024,47.7098
2020-12,86.6028,52.3667
2021-01,70.4649,49.9654
2021-02,75.7382,53.2453
2021-03,87.8375,60.4049
2021-04,123.551,67.83
2021-05,136.6391,67.8968
2021-06,127.3524,70.6358
2021-07,107.4648,73.7106
2021-08,113.7639,77.7187
2021-09,97.4464,68.3779
2021-10,129.8045,79.119
2021-11,115.1539,76.6949
2021-12,130.8464,83.6042
2022-01,116.1099,72.9303
2022-02,129.4878,66.8181
2022-03,132.3096,72.1992
2022-04,93.5893,56.2223
2022-05,99.665,55.8933
2022-06,98.765,42.4002
2022-07,110.8465,54.8512
2022-08,113.9464,47.8158
2022-09,76.4879,33.7039
2022-10,82.3169,44.0824
2022-11,106.6748,51.4429
2022-12,88.2204,42.1877
2023-01,99.43,50.5828
2023-02,102.2763,46.2373
2023-03,113.7313,52.2586
2023-04,96.9214,54.0684
2023-05,87.1723,54.1996
2023-06,99.8054,63.548
2023-07,107.4371,68.1942
2023-08,92.1072,64.7317
2023-09,75.9175,56.2636
2023-10,58.7011,52.2886
2023-11,75.1082,65.5989
2023-12,80.6341,72.448
2024-01,62.2919,74.4576
2024-02,76.3068,82.7177
2024-03,75.9776,89.0282
2024-04,73.8701,80.6052
2024-05,68.8553,88.8335
2024-06,65.6581,96.0415
2024-07,57.2193,97.3583
2024-08,56.4392,101.128
2024-09,65.3368,105.7758
2024-10,61.9903,102.865
2024-11,65.3683,113.7798
2024-12,53.0923,107.7813
2025-01,38.2522,112.3595
2025-02,45.6734,108.6721
2025-03,34.241,96.0839
2025-04,16.077,93.6359
2025-05,20.6558,104.9003
2025-06,24.666,114.5225
2025-07,6.222,118.4064
2025-08,9.7801,121.8959
2025-09,4.7953,128.6764
2025-10,20.8912,133.0211
2025-11,21.9786,132.409
2025-12,26.1285,131.4906
2026-01,34.8249,133.7386
2026-02,46.8661,130.7823
2026-03,27.3563,126.4154
