Date,rate_TSLA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,12.6459,-0.6039
2016-03,30.0277,5.2168
2016-04,26.3249,3.9893
2016-05,14.2322,4.6886
2016-06,6.572,4.1237
2016-07,16.449,7.1795
2016-08,3.4983,6.3603
2016-09,-0.5123,5.6281
2016-10,-4.0071,3.196
2016-11,-9.0177,6.7601
2016-12,3.8073,8.3626
2017-01,22.3749,10.2536
2017-02,19.1741,13.6522
2017-03,30.7352,12.7005
2017-04,44.6661,12.9818
2017-05,53.5713,13.693
2017-06,59.4827,13.5288
2017-07,39.9661,15.0481
2017-08,51.2433,14.5515
2017-09,42.3733,16.1037
2017-10,36.2193,17.9557
2017-11,25.6188,20.6805
2017-12,25.5246,21.3029
2018-01,42.8332,28.0338
2018-02,31.1018,22.1441
2018-03,10.4918,18.3021
2018-04,11.8143,18.0902
2018-05,7.8181,20.2208
2018-06,29.3864,20.3415
2018-07,12.0561,23.8746
2018-08,11.9583,27.0072
2018-09,-1.7308,27.7347
2018-10,20.8475,18.1437
2018-11,21.3189,19.7418
2018-12,7.2276,8.5778
2019-01,-2.5626,17.1263
2019-02,1.5144,20.3748
2019-03,-14.8108,22.0514
2019-04,-27.0732,26.2651
2019-05,-33.107,17.5943
2019-06,-25.1341,25.308
2019-07,-18.7013,26.4355
2019-08,-20.0659,23.7232
2019-09,-18.0717,26.1617
2019-10,2.7839,28.2707
2019-11,7.615,32.1761
2019-12,35.7968,35.3247
2020-01,111.1578,35.2749
2020-02,155.3053,23.5454
2020-03,146.1269,7.7105
2020-04,265.9974,21.425
2020-05,267.2397,26.7132
2020-06,298.9278,28.4357
2020-07,401.9955,35.3124
2020-08,611.2731,43.9511
2020-09,488.0412,37.6938
2020-10,434.7947,33.4637
2020-11,558.4161,47.2943
2020-12,616.5162,51.8455
2021-01,696.3196,50.305
2021-02,657.651,53.4604
2021-03,572.4856,59.4101
2021-04,603.2012,66.6882
2021-05,510.8095,66.6274
2021-06,554.6059,69.2184
2021-07,552.4756,72.1455
2021-08,556.1404,75.992
2021-09,547.9171,66.6118
2021-10,817.9159,77.1553
2021-11,791.2625,74.6519
2021-12,734.3063,81.397
2022-01,677.7274,70.7122
2022-02,574.2821,64.6001
2022-03,727.8842,69.8532
2022-04,614.4066,54.0273
2022-05,580.8334,53.6333
2022-06,499.6627,40.2902
2022-07,684.4547,52.5094
2022-08,618.9357,45.531
2022-09,602.0017,31.5965
2022-10,573.8349,41.7445
2022-11,479.6038,48.9584
2022-12,350.4402,39.838
2023-01,538.293,48.5632
2023-02,632.602,44.2258
2023-03,669.7819,48.9578
2023-04,554.4603,50.6836
2023-05,680.4752,50.7741
2023-06,890.9019,59.884
2023-07,921.5031,64.3798
2023-08,926.4066,60.953
2023-09,866.6542,52.6248
2023-10,749.607,48.7132
2023-11,838.3963,61.6976
2023-12,861.3658,68.3392
2024-01,624.6717,71.0275
2024-02,673.503,79.0476
2024-03,579.6095,83.99
2024-04,562.3465,75.7344
2024-05,537.7594,83.6813
2024-06,602.2196,89.2836
2024-07,730.5206,90.5002
2024-08,680.4526,94.0822
2024-09,853.5781,98.2932
2024-10,736.5091,95.412
2024-11,1044.7503,105.8418
2024-12,1226.694,99.9875
2025-01,1229.1904,105.351
2025-02,853.8402,101.7087
2025-03,671.7471,89.4719
2025-04,732.9399,87.0451
2025-05,913.8573,97.8575
2025-06,824.6354,107.0685
2025-07,777.3905,110.7404
2025-08,776.4586,114.0337
2025-09,1067.4135,121.6081
2025-10,1025.8083,125.7153
2025-11,998.2042,125.0226
2025-12,1038.43,124.0393
2026-01,989.565,127.2713
2026-02,972.1481,125.3185
