Date,rate_FTV_5D,rate_VOO_20D
2016-07,-0.787,4.2444
2016-08,9.1731,3.4696
2016-09,2.6056,2.7721
2016-10,2.2518,0.336
2016-11,9.878,3.9317
2016-12,5.8024,5.5886
2017-01,8.2572,6.8362
2017-02,11.784,10.3503
2017-03,15.1341,9.5164
2017-04,19.3334,9.8819
2017-05,16.2081,10.6746
2017-06,16.437,11.6017
2017-07,17.6942,13.1656
2017-08,16.7929,12.677
2017-09,26.0092,14.2569
2017-10,26.9619,16.1777
2017-11,29.467,18.9436
2017-12,23.9028,19.5827
2018-01,28.8568,25.4167
2018-02,28.751,19.611
2018-03,28.7077,15.823
2018-04,15.5814,15.5552
2018-05,18.6756,17.7394
2018-06,24.9866,17.9115
2018-07,31.9604,21.5066
2018-08,33.8094,24.7203
2018-09,32.9039,24.6051
2018-10,16.1669,15.1287
2018-11,18.4135,16.79
2018-12,4.7885,5.7315
2019-01,15.9514,14.0519
2019-02,25.5944,17.3744
2019-03,28.3251,19.1302
2019-04,31.1674,23.4316
2019-05,14.9426,14.857
2019-06,22.589,22.6314
2019-07,13.7744,23.8308
2019-08,5.8211,21.173
2019-09,2.1909,23.0724
2019-10,2.8771,25.2615
2019-11,7.4221,29.2559
2019-12,13.5054,32.4789
2020-01,11.0309,31.7022
2020-02,2.2625,20.1814
2020-03,-18.4024,4.5082
2020-04,-4.9257,18.1489
2020-05,-9.1972,23.5077
2020-06,0.9057,25.307
2020-07,4.6603,32.2629
2020-08,7.4244,41.0081
2020-09,13.329,34.8444
2020-10,9.2448,30.6937
2020-11,24.158,44.6402
2020-12,24.9153,49.2971
2021-01,16.1428,46.8957
2021-02,15.3845,50.1757
2021-03,23.4753,57.3353
2021-04,23.3776,64.7604
2021-05,25.93,64.8271
2021-06,20.7009,67.5661
2021-07,25.3737,70.641
2021-08,27.0426,74.6491
2021-09,20.9638,65.3082
2021-10,29.4018,76.0493
2021-11,25.8025,73.6252
2021-12,29.5215,80.5346
2022-01,19.3605,69.8607
2022-02,9.3145,63.7484
2022-03,2.7782,69.1296
2022-04,-3.0296,53.1527
2022-05,4.21,52.8236
2022-06,-8.2848,39.3305
2022-07,8.792,51.7815
2022-08,6.7871,44.7461
2022-09,-1.7676,30.6342
2022-10,7.6841,41.0127
2022-11,13.7205,48.3732
2022-12,7.9969,39.1181
2023-01,14.2345,47.5132
2023-02,11.8028,43.1676
2023-03,14.1807,49.189
2023-04,5.5203,50.9988
2023-05,8.8114,51.13
2023-06,24.8105,60.4784
2023-07,30.4728,65.1246
2023-08,30.9485,61.6621
2023-09,22.831,53.1939
2023-10,7.9104,49.219
2023-11,13.9259,62.5293
2023-12,21.4281,69.3783
2024-01,28.6757,71.3879
2024-02,39.7079,79.648
2024-03,40.7293,85.9586
2024-04,22.7934,77.5355
2024-05,21.2015,85.7639
2024-06,20.4287,92.9718
2024-07,16.5992,94.2887
2024-08,20.5767,98.0584
2024-09,27.6893,102.7061
2024-10,15.3345,99.7954
2024-11,27.9098,110.7102
2024-12,20.6751,104.7116
2025-01,30.6306,109.2899
2025-02,27.471,105.6024
2025-03,17.0486,93.0142
2025-04,11.316,90.5662
2025-05,12.0485,101.8307
2025-06,10.3224,111.4529
2025-07,1.3397,115.3367
2025-08,1.206,118.8262
2025-09,3.5814,125.6067
2025-10,6.3794,129.9515
2025-11,12.9474,129.3393
2025-12,16.4923,128.4209
2026-01,11.2964,130.6689
2026-02,24.64,127.7127
2026-03,23.1274,126.7073
