Date,rate_SPG_5D,rate_VOO_20D
2016-01,-0.5665,1.4254
2016-02,0.374,0.6142
2016-03,8.7542,6.1243
2016-04,3.033,4.6014
2016-05,2.4002,5.2878
2016-06,11.8707,4.687
2016-07,15.294,7.7174
2016-08,8.9674,6.8637
2016-09,3.6906,5.9421
2016-10,-6.7386,3.4868
2016-11,-8.3785,6.843
2016-12,-8.5861,8.2789
2017-01,-4.7835,9.3935
2017-02,-1.4668,12.821
2017-03,-7.8717,12.0413
2017-04,-11.0313,12.4367
2017-05,-15.235,13.2406
2017-06,-10.2494,14.1802
2017-07,-11.5358,15.6892
2017-08,-11.07,15.2834
2017-09,-8.2165,16.8657
2017-10,-11.1551,18.7799
2017-11,-6.0793,21.509
2017-12,-0.0304,22.1709
2018-01,-4.9052,27.9258
2018-02,-9.2099,22.2578
2018-03,-8.4152,18.4465
2018-04,-6.9299,18.162
2018-05,-3.2796,20.337
2018-06,2.8388,20.5057
2018-07,6.2647,24.0401
2018-08,11.3752,27.2093
2018-09,7.2179,27.1082
2018-10,11.1518,17.9327
2018-11,12.2629,19.5577
2018-12,1.1149,8.5722
2019-01,9.5896,16.8959
2019-02,10.0319,20.2219
2019-03,10.4712,21.9603
2019-04,5.0504,26.2654
2019-05,-1.0177,20.4953
2019-06,-2.4344,25.3574
2019-07,-0.9634,26.514
2019-08,-7.2397,24.0717
2019-09,-2.9222,25.9454
2019-10,-5.8671,27.4086
2019-11,-4.1486,31.384
2019-12,-5.4917,34.5804
2020-01,-15.3755,33.8021
2020-02,-20.408,22.3336
2020-03,-61.5875,15.1867
2020-04,-51.0165,29.6272
2020-05,-57.4046,28.2305
2020-06,-43.9851,28.0341
2020-07,-46.9121,33.4885
2020-08,-43.6479,42.106
2020-09,-48.769,38.2475
2020-10,-50.7503,34.0563
2020-11,-37.613,42.9575
2020-12,-37.4657,47.5016
2021-01,-31.9154,45.1166
2021-02,-22.6337,43.0879
2021-03,-22.8926,49.8512
2021-04,-18.0249,56.911
2021-05,-16.9648,54.6413
2021-06,-15.7928,57.2758
2021-07,-17.2427,60.2291
2021-08,-14.5321,64.0213
2021-09,-16.2687,55.5224
2021-10,-5.3521,65.5435
2021-11,2.1013,65.5034
2021-12,6.9579,68.4598
2022-01,-1.5467,58.7763
2022-02,-7.9777,53.2596
2022-03,-11.7177,58.2953
2022-04,-18.3071,52.2757
2022-05,-25.1562,51.0659
2022-06,-36.6701,38.0304
2022-07,-26.9994,50.1558
2022-08,-31.1254,43.3725
2022-09,-38.0583,29.6913
2022-10,-24.2593,39.7003
2022-11,-18.9567,46.8631
2022-12,-19.0054,40.5677
2023-01,-11.2545,48.7988
2023-02,-14.4701,45.5387
2023-03,-20.8884,49.6635
2023-04,-19.6943,48.4614
2023-05,-23.9343,48.1923
2023-06,-14.7275,57.2072
2023-07,-7.8204,61.7125
2023-08,-15.8664,59.5229
2023-09,-16.5676,51.3631
2023-10,-14.4091,47.5518
2023-11,-2.6042,60.474
2023-12,12.6989,67.125
2024-01,9.3593,69.1001
2024-02,16.7365,77.1309
2024-03,24.6346,83.2841
2024-04,15.6186,75.177
2024-05,24.3161,83.1784
2024-06,29.4496,90.182
2024-07,30.5915,90.9416
2024-08,42.0868,97.1965
2024-09,41.4435,98.31
2024-10,41.9528,95.5089
2024-11,49.1016,105.9957
2024-12,41.1724,100.2436
2025-01,42.1401,104.6582
2025-02,51.7278,101.1287
2025-03,36.8194,89.045
2025-04,31.2333,88.6819
2025-05,35.674,99.6712
2025-06,35.1974,109.046
2025-07,37.4085,112.823
2025-08,46.522,112.1707
2025-09,53.561,118.6779
2025-10,43.3979,122.8639
2025-11,51.5928,122.3204
2025-12,51.9758,121.4705
2026-01,56.6211,123.6468
2026-02,66.392,120.852
