Date,rate_USB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.146,-3.7423
2016-03,-1.877,0.3764
2016-04,1.3255,5.1946
2016-05,5.9055,3.5695
2016-06,5.4647,4.8356
2016-07,-1.9902,4.3651
2016-08,2.2536,7.2005
2016-09,7.7081,6.5176
2016-10,4.7537,5.8316
2016-11,8.0845,2.6321
2016-12,21.6574,6.5262
2017-01,22.841,8.6002
2017-02,24.9882,9.8701
2017-03,31.0484,14.9815
2017-04,18.3861,12.5254
2017-05,17.6854,13.1716
2017-06,16.2557,14.581
2017-07,16.8468,14.626
2017-08,18.2546,16.4591
2017-09,14.5226,15.9061
2017-10,18.6938,17.2911
2017-11,19.796,19.4181
2017-12,19.8478,21.7575
2018-01,16.8054,22.6249
2018-02,24.538,28.3844
2018-03,14.3631,21.0506
2018-04,8.7537,18.8566
2018-05,8.9092,18.843
2018-06,8.6842,22.0592
2018-07,7.4519,20.962
2018-08,12.7588,24.4135
2018-09,15.5604,27.7869
2018-10,13.1504,28.1445
2018-11,11.2659,19.3954
2018-12,15.8997,19.8359
2019-01,-0.7627,8.7501
2019-02,11.3935,17.203
2019-03,12.0224,21.2677
2019-04,6.7869,23.6016
2019-05,15.3916,25.5902
2019-06,8.712,17.8911
2019-07,15.3754,26.7327
2019-08,20.8295,25.8061
2019-09,13.8704,24.2046
2019-10,18.6248,24.595
2019-11,26.5679,29.5299
2019-12,31.3618,32.3145
2020-01,30.0096,35.5516
2020-02,16.1471,34.7733
2020-03,1.0669,23.2161
2020-04,-29.613,2.6957
2020-05,-22.3576,17.923
2020-06,-18.0278,27.1545
2020-07,-18.3464,29.2791
2020-08,-16.0559,35.3897
2020-09,-16.1139,45.4969
2020-10,-16.4524,38.8421
2020-11,-9.3021,33.8054
2020-12,3.2165,49.4413
2021-01,9.5957,52.4925
2021-02,0.416,52.5474
2021-03,20.1604,57.1165
2021-04,31.7618,62.2404
2021-05,39.5389,68.0147
2021-06,42.7681,67.9506
2021-07,35.1513,71.7835
2021-08,29.8546,73.9065
2021-09,30.882,78.108
2021-10,42.1597,70.559
2021-11,41.6015,79.7147
2021-12,27.2561,74.8714
2022-01,30.9936,83.8439
2022-02,37.7725,74.2485
2022-03,24.732,64.4857
2022-04,23.246,72.8765
2022-05,12.8518,56.3809
2022-06,20.086,54.7432
2022-07,8.9443,43.9638
2022-08,10.9778,54.5402
2022-09,7.0132,48.4061
2022-10,-4.893,33.808
2022-11,1.2065,43.6413
2022-12,7.0196,51.6237
2023-01,3.9638,42.3283
2023-02,17.2825,52.4008
2023-03,12.5371,45.8599
2023-04,-13.2177,52.4428
2023-05,-20.5691,54.1535
2023-06,-26.1916,55.8684
2023-07,-18.6181,63.7729
2023-08,-4.415,67.9151
2023-09,-8.4197,65.3142
2023-10,-17.0595,56.4671
2023-11,-19.8973,54.158
2023-12,-0.7329,66.8181
2024-01,10.3405,72.7134
2024-02,4.1445,77.0248
2024-03,5.4505,84.7703
2024-04,13.0789,89.0895
2024-05,5.4933,80.3005
2024-06,4.1536,89.1407
2024-07,4.5227,96.817
2024-08,15.7628,94.9948
2024-09,25.5813,101.4737
2024-10,19.3127,104.2286
2024-11,28.1848,104.0979
2024-12,42.4933,114.1559
2025-01,30.2063,108.1307
2025-02,29.7898,112.719
2025-03,27.1326,109.0154
2025-04,14.3609,97.097
2025-05,10.7573,95.2965
2025-06,19.1042,105.2137
2025-07,28.2127,114.7559
2025-08,20.9462,115.142
2025-09,34.2045,122.2543
2025-10,32.732,129.8729
2025-11,29.1328,133.4127
2025-12,36.4249,131.7276
2026-01,49.8675,131.8756
2026-02,28.8013,120.852
